Loop Time (ms)	IR (16 bit)	Force (N)	Force (N)	Color	Speed (mm/s)	Spatial (mm)	Angle (deg)
266.000	18110.000	1534.850	50.000	4.000	1.000	0.000	0.000
3283.000	18522.000	1536.130	50.000	4.000	1.000	0.000	0.000
64.000	18967.000	1537.660	50.000	4.000	1.000	0.000	0.000
64.000	19379.000	1538.940	50.000	4.000	1.000	0.000	0.000
80.000	19754.000	1540.090	50.000	4.000	1.000	0.000	0.000
64.000	20118.000	1540.730	50.000	4.000	1.000	0.000	0.000
63.000	20476.000	1541.240	50.000	4.000	1.000	0.000	0.000
65.000	20857.000	1541.630	50.000	4.000	1.000	0.000	0.000
64.000	21248.000	1541.750	50.000	4.000	1.000	0.000	0.000
64.000	21618.000	1541.630	50.000	4.000	1.000	0.000	0.000
64.000	21974.000	1541.630	50.000	4.000	1.000	0.000	0.000
64.000	22323.000	1541.370	50.000	4.000	1.000	0.000	0.000
64.000	22688.000	1541.110	50.000	4.000	1.000	0.000	0.000
69.000	23079.000	1540.860	50.000	4.000	1.000	0.000	0.000
58.000	23498.000	1540.600	50.000	4.000	1.000	0.000	0.000
64.000	23909.000	1540.600	50.000	4.000	1.000	0.000	0.000
80.000	24350.000	1540.730	50.000	4.000	1.000	0.000	0.000
64.000	24804.000	1540.990	50.000	4.000	1.000	0.000	0.000
64.000	25260.000	1541.370	50.000	4.000	1.000	0.000	0.000
64.000	25751.000	1542.010	50.000	4.000	1.000	0.000	0.000
64.000	26265.000	1542.900	50.000	4.000	1.000	0.000	0.000
64.000	26786.000	1543.930	50.000	4.000	1.000	0.000	0.000
63.000	27370.000	1545.460	50.000	4.000	1.000	0.000	0.000
64.000	28065.000	1547.380	50.000	4.000	1.000	0.000	0.000
64.000	28751.000	1549.550	50.000	4.000	1.000	0.000	0.000
64.000	29419.000	1552.490	50.000	4.000	1.000	0.000	0.000
65.000	29980.000	1555.680	50.000	4.000	1.000	0.000	0.000
64.000	30443.000	1559.260	50.000	4.000	1.000	0.000	0.000
79.000	30862.000	1563.230	50.000	4.000	1.000	0.000	0.000
64.000	31285.000	1566.930	50.000	4.000	1.000	0.000	0.000
63.000	31709.000	1571.150	50.000	4.000	1.000	0.000	0.000
64.000	32140.000	1575.500	50.000	4.000	1.000	0.000	0.000
65.000	32580.000	1580.100	50.000	4.000	1.000	0.000	0.000
64.000	33035.000	1584.570	50.000	4.000	1.000	0.000	0.000
64.000	33477.000	1589.300	50.000	4.000	1.000	0.000	0.000
63.000	33903.000	1593.900	50.000	4.000	1.000	0.000	0.000
64.000	34306.000	1598.370	50.000	4.000	1.000	0.000	0.000
65.000	34656.000	1602.720	50.000	4.000	1.000	0.000	0.000
64.000	34959.000	1607.070	50.000	4.000	1.000	0.000	0.000
79.000	35216.000	1611.030	50.000	4.000	1.000	0.000	0.000
64.000	35412.000	1614.990	50.000	4.000	1.000	0.000	0.000
64.000	35546.000	1617.420	50.000	4.000	1.000	0.000	0.000
64.000	35475.000	1613.330	50.000	4.000	1.000	0.000	0.000
64.000	35285.000	1606.940	50.000	4.000	1.000	0.000	0.000
63.000	35034.000	1600.420	50.000	4.000	1.000	0.000	0.000
65.000	34743.000	1594.030	50.000	4.000	1.000	0.000	0.000
63.000	34403.000	1587.130	50.000	4.000	1.000	0.000	0.000
64.000	34001.000	1580.220	50.000	4.000	1.000	0.000	0.000
64.000	33550.000	1573.200	50.000	4.000	1.000	0.000	0.000
64.000	33046.000	1566.420	50.000	4.000	1.000	0.000	0.000
64.000	32529.000	1559.650	50.000	4.000	1.000	0.000	0.000
81.000	32015.000	1553.260	50.000	4.000	1.000	0.000	0.000
63.000	31513.000	1546.610	50.000	4.000	1.000	0.000	0.000
64.000	31028.000	1540.480	50.000	4.000	1.000	0.000	0.000
64.000	30625.000	1534.210	50.000	4.000	1.000	0.000	0.000
64.000	30393.000	1528.590	50.000	4.000	1.000	0.000	0.000
63.000	30418.000	1523.220	50.000	4.000	1.000	0.000	0.000
64.000	30418.000	1518.240	50.000	4.000	1.000	0.000	0.000
65.000	30221.000	1513.890	50.000	4.000	1.000	0.000	0.000
63.000	29860.000	1510.310	50.000	4.000	1.000	0.000	0.000
64.000	29375.000	1507.500	50.000	4.000	1.000	0.000	0.000
64.000	28782.000	1505.330	50.000	4.000	1.000	0.000	0.000
64.000	28144.000	1504.050	50.000	4.000	1.000	0.000	0.000
80.000	27516.000	1503.280	50.000	4.000	1.000	0.000	0.000
64.000	26935.000	1503.540	50.000	4.000	1.000	0.000	0.000
64.000	26407.000	1504.050	50.000	4.000	1.000	0.000	0.000
64.000	25895.000	1505.200	50.000	4.000	1.000	0.000	0.000
64.000	25432.000	1506.350	50.000	4.000	1.000	0.000	0.000
64.000	25003.000	1507.880	50.000	4.000	1.000	0.000	0.000
64.000	24611.000	1509.670	50.000	4.000	1.000	0.000	0.000
63.000	24226.000	1511.330	50.000	4.000	1.000	0.000	0.000
65.000	23905.000	1512.610	50.000	4.000	1.000	0.000	0.000
63.000	23593.000	1514.150	50.000	4.000	1.000	0.000	0.000
65.000	23286.000	1515.810	50.000	4.000	1.000	0.000	0.000
80.000	23002.000	1517.340	50.000	4.000	1.000	0.000	0.000
63.000	22721.000	1518.750	50.000	4.000	1.000	0.000	0.000
64.000	22416.000	1520.030	50.000	4.000	1.000	0.000	0.000
64.000	22050.000	1521.300	50.000	4.000	1.000	0.000	0.000
