""
"Test Method","Radhen_Load_Cntrl_Cmprsn_250N_12-7.msm"
"Sample I. D.","Sample1.mss"
"Specimen Number","9"

"TheCycle_Output ()","_Time (s)","_Load (N)","_Extension (mm)","RealTimeDepth (mm)","CycleNumber ()"

1,0.200,0.00,0.0000,0.00000,1.000
1,0.267,0.00,0.0461,0.04607,1.000
1,0.333,0.00,0.1128,0.11277,1.000
1,0.400,0.00,0.1796,0.17960,1.000
1,0.467,0.00,0.2462,0.24620,1.000
1,0.533,0.00,0.3129,0.31290,1.000
1,0.600,0.00,0.3796,0.37960,1.000
1,0.667,0.00,0.4461,0.44613,1.000
1,0.733,0.00,0.5129,0.51293,1.000
1,0.800,0.00,0.5796,0.57960,1.000
1,0.867,0.00,0.6462,0.64623,1.000
1,0.933,0.00,0.7130,0.71297,1.000
1,1.000,0.00,0.7797,0.77970,1.000
1,1.067,0.00,0.8463,0.84633,1.000
1,1.133,0.00,0.9130,0.91297,1.000
1,1.200,0.00,0.9795,0.97950,1.000
1,1.267,0.00,1.0461,1.04613,1.000
1,1.333,0.00,1.1129,1.11293,1.000
1,1.400,0.00,1.1795,1.17950,1.000
1,1.467,0.00,1.2462,1.24620,1.000
1,1.533,0.00,1.3130,1.31303,1.000
1,1.600,0.00,1.3797,1.37970,1.000
1,1.667,0.00,1.4463,1.44627,1.000
1,1.733,0.00,1.5130,1.51297,1.000
1,1.800,0.00,1.5797,1.57970,1.000
1,1.867,0.01,1.6463,1.64627,1.000
1,1.933,0.03,1.7131,1.71307,1.000
1,2.000,0.06,1.7796,1.77960,1.000
1,2.067,0.12,1.8462,1.84623,1.000
1,2.133,0.21,1.9130,1.91300,1.000
1,2.200,0.34,1.9798,1.97980,1.000
1,2.267,0.49,2.0464,2.04637,1.000
1,2.333,0.69,2.1132,2.11317,1.000
1,2.400,0.90,2.1797,2.17970,1.000
1,2.467,1.15,2.2464,2.24643,1.000
1,2.533,1.44,2.3132,2.31320,1.000
1,2.600,1.76,2.3799,2.37990,1.000
1,2.667,2.12,2.4463,2.44627,1.000
1,2.733,2.53,2.5130,2.51300,1.000
1,2.800,2.98,2.5797,2.57970,1.000
1,2.867,3.48,2.6463,2.64633,1.000
1,2.933,4.02,2.7131,2.71307,1.000
1,3.000,4.60,2.7796,2.77960,1.000
1,3.200,4.82,2.8063,2.80630,1.000
1,3.267,4.06,2.7398,2.73983,1.000
1,3.333,3.41,2.6732,2.67320,1.000
1,3.400,2.85,2.6063,2.60630,1.000
1,3.467,2.36,2.5397,2.53973,1.000
1,3.533,1.95,2.4730,2.47300,1.000
1,3.600,1.57,2.4064,2.40640,1.000
1,3.667,1.25,2.3399,2.33987,1.000
1,3.733,0.97,2.2732,2.27320,1.000
1,3.800,0.73,2.2063,2.20630,1.000
1,3.867,0.54,2.1399,2.13990,1.000
1,3.933,0.36,2.0732,2.07323,1.000
1,4.000,0.22,2.0064,2.00640,1.000
1,4.067,0.12,1.9398,1.93980,1.000
1,4.133,0.05,1.8731,1.87307,1.000
1,4.200,0.02,1.8063,1.80630,1.000
1,4.267,0.00,1.7398,1.73983,1.000
1,4.333,0.00,1.6732,1.67320,1.000
1,4.400,0.00,1.6063,1.60630,1.000
1,4.467,0.00,1.5398,1.53980,1.000
1,4.533,0.00,1.4731,1.47307,1.000
1,4.600,0.00,1.4063,1.40630,1.000
1,4.667,0.00,1.3398,1.33980,1.000
1,4.733,0.00,1.2730,1.27300,1.000
1,4.800,0.00,1.2062,1.20620,1.000
1,4.867,0.00,1.1398,1.13980,1.000
1,4.933,0.00,1.0730,1.07300,1.000
1,5.000,0.00,1.0062,1.00620,1.000
1,5.067,0.00,0.9397,0.93967,1.000
1,5.133,0.00,0.8730,0.87303,1.000
1,5.200,0.00,0.8063,0.80630,1.000
1,5.267,0.00,0.7398,0.73983,1.000
1,5.333,0.00,0.6731,0.67307,1.000
1,5.400,0.00,0.6062,0.60620,1.000
1,5.467,0.00,0.5397,0.53973,1.000
1,5.533,0.00,0.4729,0.47293,1.000
1,5.600,0.00,0.4063,0.40630,1.000
1,5.667,0.00,0.3397,0.33973,1.000
1,5.733,0.00,0.2730,0.27297,1.000
1,5.800,0.00,0.2062,0.20620,1.000
1,5.867,0.00,0.1397,0.13967,1.000
1,5.933,0.00,0.0729,0.07293,1.000
1,6.000,0.00,0.0063,0.00630,1.000
1,6.133,0.00,-0.0055,-0.00550,1.000
1,6.200,0.00,-0.0002,-0.00020,1.000
1,6.267,0.00,-0.0003,-0.00030,1.000
1,6.333,0.00,-0.0002,-0.00020,1.000
1,6.400,0.00,-0.0003,-0.00030,1.000
1,6.467,0.00,-0.0002,-0.00020,1.000
1,6.533,0.00,-0.0002,-0.00020,1.000
1,6.600,0.00,-0.0002,-0.00020,1.000
1,6.667,0.00,-0.0002,-0.00020,1.000
1,6.733,0.00,-0.0002,-0.00020,1.000
1,6.800,0.00,-0.0002,-0.00020,1.000
1,6.867,0.00,-0.0002,-0.00020,1.000
1,6.933,0.00,-0.0002,-0.00020,1.000
1,7.000,0.00,-0.0002,-0.00020,1.000
1,7.067,0.00,-0.0002,-0.00020,1.000
1,7.133,0.00,-0.0002,-0.00020,1.000
1,7.200,0.00,-0.0002,-0.00020,1.000
1,7.267,0.00,-0.0002,-0.00020,1.000
1,7.333,0.00,-0.0002,-0.00020,1.000
1,7.400,0.00,-0.0002,-0.00020,1.000
1,7.467,0.00,-0.0002,-0.00020,1.000
1,7.533,0.00,-0.0002,-0.00020,1.000
1,7.600,0.00,-0.0002,-0.00020,1.000
1,7.667,0.00,-0.0002,-0.00020,1.000
1,7.733,0.00,-0.0002,-0.00020,1.000
1,7.800,0.00,-0.0002,-0.00020,1.000
1,7.867,0.00,-0.0002,-0.00020,1.000
1,7.933,0.00,-0.0002,-0.00020,1.000
1,8.000,0.00,-0.0002,-0.00020,1.000
1,8.067,0.00,-0.0002,-0.00020,1.000
1,8.133,0.00,-0.0002,-0.00020,1.000
1,8.200,0.00,-0.0002,-0.00020,1.000
1,8.267,0.00,-0.0002,-0.00020,1.000
1,8.333,0.00,-0.0002,-0.00020,1.000
1,8.400,0.00,-0.0002,-0.00020,1.000
1,8.467,0.00,-0.0002,-0.00020,1.000
1,8.533,0.00,-0.0002,-0.00020,1.000
1,8.600,0.00,-0.0002,-0.00020,1.000
1,8.667,0.00,-0.0002,-0.00020,1.000
1,8.733,0.00,-0.0002,-0.00020,1.000
1,8.800,0.00,-0.0002,-0.00020,1.000
1,8.867,0.00,-0.0002,-0.00020,1.000
1,8.933,0.00,-0.0002,-0.00020,1.000
1,9.000,0.00,-0.0002,-0.00020,1.000
1,9.067,0.00,-0.0002,-0.00020,1.000
1,9.200,0.00,-0.0002,-0.00020,1.000
1,9.267,0.00,-0.0002,-0.00020,1.000
1,9.333,0.00,-0.0002,-0.00020,1.000
1,9.400,0.00,-0.0002,-0.00020,1.000
1,9.467,0.00,-0.0002,-0.00020,1.000
1,9.533,0.00,-0.0002,-0.00020,1.000
1,9.600,0.00,-0.0002,-0.00020,1.000
1,9.667,0.00,-0.0002,-0.00020,1.000
1,9.733,0.00,-0.0002,-0.00020,1.000
1,9.800,0.00,-0.0002,-0.00020,1.000
1,9.867,0.00,-0.0002,-0.00020,1.000
1,9.933,0.00,-0.0002,-0.00020,1.000
1,10.000,0.01,-0.0002,-0.00020,1.000
1,10.067,0.00,-0.0002,-0.00020,1.000
2,10.333,0.00,0.0629,0.06290,2.000
2,10.400,-0.01,0.1296,0.12960,2.000
2,10.467,0.00,0.1963,0.19627,2.000
2,10.533,0.00,0.2631,0.26313,2.000
2,10.600,-0.01,0.3296,0.32960,2.000
2,10.667,-0.01,0.3963,0.39630,2.000
2,10.733,0.00,0.4631,0.46313,2.000
2,10.800,0.00,0.5296,0.52960,2.000
2,10.867,0.00,0.5963,0.59630,2.000
2,10.933,-0.01,0.6631,0.66310,2.000
2,11.000,-0.01,0.7298,0.72980,2.000
2,11.067,-0.01,0.7965,0.79650,2.000
2,11.133,-0.01,0.8632,0.86323,2.000
2,11.200,0.00,0.9297,0.92970,2.000
2,11.267,-0.01,0.9963,0.99630,2.000
2,11.333,0.00,1.0631,1.06310,2.000
2,11.400,-0.01,1.1296,1.12960,2.000
2,11.467,-0.01,1.1963,1.19630,2.000
2,11.533,0.00,1.2631,1.26313,2.000
2,11.600,-0.01,1.3297,1.32970,2.000
2,11.667,-0.01,1.3964,1.39643,2.000
2,11.733,-0.01,1.4631,1.46307,2.000
2,11.800,-0.01,1.5297,1.52970,2.000
2,11.867,-0.01,1.5964,1.59643,2.000
2,11.933,0.00,1.6632,1.66320,2.000
2,12.000,0.02,1.7298,1.72980,2.000
2,12.067,0.06,1.7964,1.79643,2.000
2,12.133,0.13,1.8631,1.86310,2.000
2,12.200,0.23,1.9297,1.92970,2.000
2,12.267,0.36,1.9965,1.99650,2.000
2,12.333,0.54,2.0632,2.06323,2.000
2,12.400,0.73,2.1298,2.12980,2.000
2,12.467,0.96,2.1965,2.19653,2.000
2,12.533,1.22,2.2632,2.26320,2.000
2,12.600,1.52,2.3298,2.32980,2.000
2,12.667,1.86,2.3965,2.39650,2.000
2,12.733,2.24,2.4631,2.46310,2.000
2,12.800,2.66,2.5296,2.52960,2.000
2,12.867,3.13,2.5964,2.59640,2.000
2,12.933,3.63,2.6632,2.66317,2.000
2,13.000,4.19,2.7297,2.72970,2.000
2,13.067,4.79,2.7965,2.79647,2.000
2,13.200,5.24,2.8301,2.83010,2.000
2,13.267,4.39,2.7638,2.76377,2.000
2,13.333,3.69,2.6973,2.69727,2.000
2,13.400,3.09,2.6306,2.63060,2.000
2,13.467,2.57,2.5637,2.56367,2.000
2,13.533,2.12,2.4970,2.49703,2.000
2,13.600,1.72,2.4306,2.43060,2.000
2,13.667,1.38,2.3638,2.36383,2.000
2,13.733,1.09,2.2973,2.29730,2.000
2,13.800,0.83,2.2306,2.23060,2.000
2,13.867,0.62,2.1638,2.16383,2.000
2,13.933,0.43,2.0973,2.09730,2.000
2,14.000,0.27,2.0306,2.03060,2.000
2,14.067,0.16,1.9638,1.96377,2.000
2,14.133,0.08,1.8971,1.89710,2.000
2,14.200,0.03,1.8305,1.83050,2.000
2,14.267,0.00,1.7638,1.76377,2.000
2,14.333,-0.01,1.6972,1.69720,2.000
2,14.400,-0.01,1.6305,1.63050,2.000
2,14.467,0.00,1.5637,1.56373,2.000
2,14.533,0.00,1.4971,1.49710,2.000
2,14.600,0.00,1.4306,1.43060,2.000
2,14.667,0.00,1.3637,1.36373,2.000
2,14.733,0.00,1.2971,1.29713,2.000
2,14.800,0.00,1.2303,1.23030,2.000
2,14.867,0.00,1.1637,1.16370,2.000
2,14.933,0.00,1.0971,1.09710,2.000
2,15.000,0.00,1.0303,1.03030,2.000
2,15.067,0.00,0.9637,0.96367,2.000
2,15.133,-0.01,0.8971,0.89713,2.000
2,15.200,-0.01,0.8304,0.83040,2.000
2,15.267,-0.01,0.7637,0.76373,2.000
2,15.333,0.00,0.6972,0.69720,2.000
2,15.400,0.00,0.6305,0.63050,2.000
2,15.467,-0.01,0.5637,0.56367,2.000
2,15.533,0.00,0.4971,0.49710,2.000
2,15.600,-0.01,0.4304,0.43040,2.000
2,15.667,0.00,0.3637,0.36370,2.000
2,15.733,-0.01,0.2971,0.29707,2.000
2,15.800,-0.01,0.2305,0.23050,2.000
2,15.867,-0.01,0.1636,0.16363,2.000
2,15.933,-0.01,0.0971,0.09710,2.000
2,16.000,0.00,0.0303,0.03030,2.000
2,16.133,0.00,-0.0363,-0.03630,2.000
2,16.200,-0.01,-0.0005,-0.00050,2.000
2,16.267,0.00,-0.0002,-0.00020,2.000
2,16.333,-0.01,-0.0002,-0.00020,2.000
2,16.400,0.00,-0.0002,-0.00020,2.000
2,16.467,-0.01,-0.0002,-0.00020,2.000
2,16.533,-0.01,-0.0002,-0.00020,2.000
2,16.600,0.00,-0.0002,-0.00020,2.000
2,16.667,0.00,-0.0002,-0.00020,2.000
2,16.733,0.00,-0.0002,-0.00020,2.000
2,16.800,0.00,-0.0002,-0.00020,2.000
2,16.867,0.00,-0.0002,-0.00020,2.000
2,16.933,0.00,-0.0002,-0.00020,2.000
2,17.000,-0.01,-0.0002,-0.00020,2.000
2,17.067,0.00,-0.0002,-0.00020,2.000
2,17.133,-0.01,-0.0002,-0.00020,2.000
2,17.200,0.00,-0.0002,-0.00020,2.000
2,17.267,0.00,-0.0002,-0.00020,2.000
2,17.333,-0.01,-0.0002,-0.00020,2.000
2,17.400,0.00,-0.0002,-0.00020,2.000
2,17.467,0.00,-0.0002,-0.00020,2.000
2,17.533,0.00,-0.0002,-0.00020,2.000
2,17.600,-0.01,-0.0002,-0.00020,2.000
2,17.667,0.00,-0.0002,-0.00020,2.000
2,17.733,0.00,-0.0002,-0.00020,2.000
2,17.800,-0.01,-0.0002,-0.00020,2.000
2,17.867,0.00,-0.0002,-0.00020,2.000
2,17.933,-0.01,-0.0002,-0.00020,2.000
2,18.000,-0.01,-0.0002,-0.00020,2.000
2,18.067,-0.01,-0.0002,-0.00020,2.000
2,18.133,-0.01,-0.0002,-0.00020,2.000
2,18.200,-0.01,-0.0002,-0.00020,2.000
2,18.267,-0.01,-0.0002,-0.00020,2.000
2,18.333,0.00,-0.0002,-0.00020,2.000
2,18.400,-0.01,-0.0002,-0.00020,2.000
2,18.467,0.00,-0.0002,-0.00020,2.000
2,18.533,-0.01,-0.0002,-0.00020,2.000
2,18.600,-0.01,-0.0002,-0.00020,2.000
2,18.667,-0.01,-0.0002,-0.00020,2.000
2,18.733,-0.01,-0.0002,-0.00020,2.000
2,18.800,0.00,-0.0001,-0.00010,2.000
2,18.867,-0.01,-0.0001,-0.00010,2.000
2,18.933,0.00,-0.0001,-0.00010,2.000
2,19.000,-0.01,-0.0001,-0.00010,2.000
2,19.067,0.00,-0.0001,-0.00010,2.000
2,19.133,-0.01,-0.0001,-0.00010,2.000
2,19.267,0.00,-0.0001,-0.00010,2.000
2,19.333,-0.01,-0.0001,-0.00010,2.000
2,19.400,0.00,-0.0001,-0.00010,2.000
2,19.467,-0.01,-0.0001,-0.00010,2.000
2,19.533,-0.01,-0.0001,-0.00010,2.000
2,19.600,-0.01,-0.0001,-0.00010,2.000
2,19.667,0.00,-0.0001,-0.00010,2.000
2,19.733,-0.01,-0.0001,-0.00010,2.000
2,19.800,-0.01,-0.0001,-0.00010,2.000
2,19.867,0.00,-0.0001,-0.00010,2.000
2,19.933,0.00,-0.0001,-0.00010,2.000
2,20.000,0.00,-0.0001,-0.00010,2.000
2,20.067,-0.01,-0.0001,-0.00010,2.000
2,20.133,0.00,-0.0001,-0.00010,2.000
3,20.400,0.00,0.0896,0.08960,3.000
3,20.467,0.00,0.1563,0.15627,3.000
3,20.533,0.00,0.2231,0.22310,3.000
3,20.600,0.00,0.2897,0.28970,3.000
3,20.667,0.00,0.3563,0.35633,3.000
3,20.733,0.00,0.4231,0.42310,3.000
3,20.800,0.00,0.4897,0.48970,3.000
3,20.867,0.00,0.5563,0.55627,3.000
3,20.933,0.00,0.6231,0.62307,3.000
3,21.000,0.00,0.6897,0.68970,3.000
3,21.067,0.00,0.7565,0.75647,3.000
3,21.133,0.00,0.8232,0.82320,3.000
3,21.200,0.00,0.8898,0.88980,3.000
3,21.267,0.00,0.9564,0.95640,3.000
3,21.333,0.00,1.0230,1.02300,3.000
3,21.400,0.00,1.0897,1.08970,3.000
3,21.467,0.00,1.1563,1.15633,3.000
3,21.533,0.00,1.2231,1.22307,3.000
3,21.600,0.00,1.2897,1.28970,3.000
3,21.667,0.00,1.3565,1.35650,3.000
3,21.733,0.00,1.4232,1.42320,3.000
3,21.800,0.00,1.4898,1.48980,3.000
3,21.867,0.00,1.5565,1.55647,3.000
3,21.933,0.00,1.6232,1.62320,3.000
3,22.000,0.01,1.6898,1.68980,3.000
3,22.067,0.04,1.7564,1.75643,3.000
3,22.133,0.09,1.8231,1.82310,3.000
3,22.200,0.17,1.8897,1.88970,3.000
3,22.267,0.28,1.9564,1.95643,3.000
3,22.333,0.43,2.0232,2.02323,3.000
3,22.400,0.62,2.0898,2.08980,3.000
3,22.467,0.83,2.1566,2.15657,3.000
3,22.533,1.07,2.2232,2.22323,3.000
3,22.600,1.34,2.2899,2.28990,3.000
3,22.667,1.66,2.3566,2.35657,3.000
3,22.733,2.01,2.4232,2.42317,3.000
3,22.800,2.42,2.4896,2.48960,3.000
3,22.867,2.85,2.5564,2.55637,3.000
3,22.933,3.34,2.6231,2.62307,3.000
3,23.000,3.88,2.6896,2.68960,3.000
3,23.067,4.46,2.7565,2.75647,3.000
3,23.133,5.07,2.8231,2.82313,3.000
3,23.267,5.13,2.8238,2.82383,3.000
3,23.333,4.31,2.7572,2.75720,3.000
3,23.400,3.62,2.6905,2.69050,3.000
3,23.467,3.04,2.6239,2.62387,3.000
3,23.533,2.53,2.5571,2.55710,3.000
3,23.600,2.08,2.4903,2.49030,3.000
3,23.667,1.69,2.4239,2.42387,3.000
3,23.733,1.36,2.3573,2.35730,3.000
3,23.800,1.07,2.2905,2.29050,3.000
3,23.867,0.82,2.2240,2.22397,3.000
3,23.933,0.61,2.1573,2.15730,3.000
3,24.000,0.42,2.0905,2.09050,3.000
3,24.067,0.27,2.0240,2.02397,3.000
3,24.133,0.16,1.9572,1.95717,3.000
3,24.200,0.07,1.8903,1.89030,3.000
3,24.267,0.03,1.8238,1.82380,3.000
3,24.333,0.01,1.7572,1.75717,3.000
3,24.400,0.00,1.6905,1.69050,3.000
3,24.467,-0.01,1.6240,1.62397,3.000
3,24.533,0.00,1.5571,1.55710,3.000
3,24.600,0.00,1.4904,1.49040,3.000
3,24.667,0.00,1.4239,1.42390,3.000
3,24.733,0.00,1.3571,1.35713,3.000
3,24.800,0.00,1.2903,1.29030,3.000
3,24.867,0.00,1.2238,1.22377,3.000
3,24.933,0.00,1.1571,1.15707,3.000
3,25.000,0.00,1.0904,1.09040,3.000
3,25.067,0.00,1.0238,1.02377,3.000
3,25.133,0.00,0.9570,0.95697,3.000
3,25.200,0.00,0.8905,0.89050,3.000
3,25.267,0.00,0.8239,0.82390,3.000
3,25.333,0.00,0.7572,0.75717,3.000
3,25.400,0.00,0.6904,0.69040,3.000
3,25.467,0.00,0.6238,0.62380,3.000
3,25.533,0.00,0.5569,0.55693,3.000
3,25.600,0.00,0.4903,0.49030,3.000
3,25.667,0.00,0.4238,0.42383,3.000
3,25.733,0.00,0.3570,0.35703,3.000
3,25.800,0.00,0.2904,0.29040,3.000
3,25.867,0.00,0.2238,0.22377,3.000
3,25.933,0.00,0.1570,0.15700,3.000
3,26.000,0.00,0.0903,0.09030,3.000
3,26.067,0.00,0.0238,0.02377,3.000
3,26.200,0.00,-0.0491,-0.04910,3.000
3,26.267,0.00,-0.0001,-0.00007,3.000
3,26.333,0.00,-0.0002,-0.00020,3.000
3,26.400,0.00,-0.0002,-0.00020,3.000
3,26.467,0.00,-0.0002,-0.00020,3.000
3,26.533,0.00,-0.0002,-0.00020,3.000
3,26.600,0.00,-0.0002,-0.00020,3.000
3,26.667,0.00,-0.0002,-0.00020,3.000
3,26.733,0.00,-0.0002,-0.00020,3.000
3,26.800,0.00,-0.0002,-0.00020,3.000
3,26.867,0.00,-0.0002,-0.00020,3.000
3,26.933,0.00,-0.0002,-0.00020,3.000
3,27.000,0.00,-0.0002,-0.00020,3.000
3,27.067,-0.01,-0.0002,-0.00020,3.000
3,27.133,-0.01,-0.0002,-0.00020,3.000
3,27.200,-0.01,-0.0002,-0.00020,3.000
3,27.267,0.00,-0.0002,-0.00020,3.000
3,27.333,0.00,-0.0002,-0.00020,3.000
3,27.400,-0.01,-0.0002,-0.00020,3.000
3,27.467,0.00,-0.0002,-0.00020,3.000
3,27.533,0.00,-0.0002,-0.00020,3.000
3,27.600,0.00,-0.0002,-0.00020,3.000
