""
"Test Method","Radhen_Load_Cntrl_Cmprsn_250N_12-7.msm"
"Sample I. D.","Sample1.mss"
"Specimen Number","26"

"TheCycle_Output ()","_Time (s)","_Load (N)","_Extension (mm)","RealTimeDepth (mm)","CycleNumber ()"

1,0.333,0.00,0.1020,0.10203,1.000
1,0.400,-0.01,0.1686,0.16860,1.000
1,0.467,-0.01,0.2354,0.23537,1.000
1,0.533,-0.01,0.3021,0.30213,1.000
1,0.600,-0.01,0.3688,0.36880,1.000
1,0.667,-0.01,0.4354,0.43543,1.000
1,0.733,-0.01,0.5022,0.50223,1.000
1,0.800,-0.01,0.5686,0.56860,1.000
1,0.867,-0.01,0.6355,0.63550,1.000
1,0.933,-0.01,0.7022,0.70223,1.000
1,1.000,-0.01,0.7687,0.76870,1.000
1,1.067,-0.01,0.8356,0.83557,1.000
1,1.133,-0.01,0.9022,0.90217,1.000
1,1.200,-0.01,0.9688,0.96880,1.000
1,1.267,-0.01,1.0354,1.03543,1.000
1,1.333,-0.01,1.1022,1.10223,1.000
1,1.400,-0.01,1.1689,1.16890,1.000
1,1.467,-0.01,1.2356,1.23560,1.000
1,1.533,-0.01,1.3022,1.30223,1.000
1,1.600,-0.01,1.3688,1.36880,1.000
1,1.667,-0.01,1.4354,1.43540,1.000
1,1.733,-0.01,1.5022,1.50220,1.000
1,1.800,-0.01,1.5687,1.56870,1.000
1,1.867,-0.01,1.6355,1.63550,1.000
1,1.933,-0.01,1.7022,1.70220,1.000
1,2.000,-0.01,1.7688,1.76880,1.000
1,2.067,-0.01,1.8355,1.83550,1.000
1,2.133,-0.01,1.9021,1.90213,1.000
1,2.200,-0.01,1.9688,1.96880,1.000
1,2.267,-0.01,2.0356,2.03560,1.000
1,2.333,-0.01,2.1023,2.10227,1.000
1,2.400,-0.01,2.1688,2.16880,1.000
1,2.467,-0.01,2.2356,2.23557,1.000
1,2.533,-0.01,2.3022,2.30223,1.000
1,2.600,-0.01,2.3687,2.36870,1.000
1,2.667,-0.01,2.4357,2.43567,1.000
1,2.733,-0.01,2.5022,2.50223,1.000
1,2.800,-0.01,2.5687,2.56870,1.000
1,2.867,-0.01,2.6355,2.63553,1.000
1,2.933,-0.01,2.7023,2.70227,1.000
1,3.000,-0.01,2.7688,2.76880,1.000
1,3.067,-0.01,2.8356,2.83557,1.000
1,3.133,-0.01,2.9022,2.90220,1.000
1,3.200,-0.01,2.9687,2.96870,1.000
1,3.267,-0.01,3.0356,3.03560,1.000
1,3.333,-0.01,3.1022,3.10223,1.000
1,3.400,-0.01,3.1688,3.16880,1.000
1,3.467,-0.01,3.2356,3.23560,1.000
1,3.533,-0.01,3.3022,3.30223,1.000
1,3.600,-0.01,3.3688,3.36880,1.000
1,3.667,-0.01,3.4356,3.43557,1.000
1,3.733,-0.01,3.5022,3.50220,1.000
1,3.800,-0.01,3.5689,3.56890,1.000
1,3.867,-0.01,3.6356,3.63563,1.000
1,3.933,-0.01,3.7024,3.70237,1.000
1,4.000,-0.01,3.7688,3.76880,1.000
1,4.067,-0.01,3.8356,3.83560,1.000
1,4.133,0.00,3.9022,3.90217,1.000
1,4.200,-0.01,3.9687,3.96870,1.000
1,4.267,0.00,4.0356,4.03560,1.000
1,4.333,0.00,4.1022,4.10217,1.000
1,4.400,0.00,4.1687,4.16870,1.000
1,4.467,0.00,4.2356,4.23563,1.000
1,4.533,0.01,4.3022,4.30223,1.000
1,4.600,0.01,4.3689,4.36890,1.000
1,4.667,0.02,4.4357,4.43570,1.000
1,4.733,0.05,4.5023,4.50230,1.000
1,4.800,0.09,4.5689,4.56890,1.000
1,4.867,0.16,4.6356,4.63560,1.000
1,4.933,0.24,4.7022,4.70223,1.000
1,5.000,0.36,4.7689,4.76890,1.000
1,5.067,0.49,4.8356,4.83563,1.000
1,5.133,0.66,4.9023,4.90230,1.000
1,5.200,0.86,4.9689,4.96890,1.000
1,5.267,1.08,5.0357,5.03570,1.000
1,5.333,1.33,5.1023,5.10230,1.000
1,5.400,1.61,5.1689,5.16890,1.000
1,5.467,1.92,5.2357,5.23573,1.000
1,5.533,2.26,5.3023,5.30227,1.000
1,5.600,2.63,5.3688,5.36880,1.000
1,5.667,3.04,5.4356,5.43557,1.000
1,5.733,3.46,5.5022,5.50223,1.000
1,5.800,3.93,5.5690,5.56900,1.000
1,5.867,4.43,5.6359,5.63587,1.000
1,5.933,4.97,5.7024,5.70240,1.000
1,6.000,5.55,5.7688,5.76880,1.000
1,6.067,6.16,5.8356,5.83563,1.000
1,6.133,6.80,5.9022,5.90220,1.000
1,6.200,7.49,5.9689,5.96890,1.000
1,6.267,8.23,6.0356,6.03560,1.000
1,6.333,9.01,6.1022,6.10220,1.000
1,6.400,9.84,6.1688,6.16880,1.000
1,6.467,10.73,6.2357,6.23570,1.000
1,6.533,11.67,6.3022,6.30223,1.000
1,6.600,12.67,6.3689,6.36890,1.000
1,6.667,13.73,6.4356,6.43560,1.000
1,6.733,14.86,6.5022,6.50223,1.000
1,6.800,16.06,6.5689,6.56890,1.000
1,6.867,17.33,6.6356,6.63563,1.000
1,6.933,18.68,6.7022,6.70223,1.000
1,7.000,20.12,6.7689,6.76890,1.000
1,7.133,20.69,6.8110,6.81100,1.000
1,7.200,20.37,6.8110,6.81100,1.000
1,7.267,20.16,6.8110,6.81100,1.000
1,7.333,19.99,6.8110,6.81100,1.000
1,7.400,19.86,6.8110,6.81100,1.000
1,7.467,19.75,6.8110,6.81100,1.000
1,7.533,19.65,6.8110,6.81100,1.000
1,7.600,19.57,6.8110,6.81100,1.000
1,7.667,19.50,6.8110,6.81100,1.000
1,7.733,19.43,6.8110,6.81100,1.000
1,7.800,19.37,6.8110,6.81100,1.000
1,7.867,19.33,6.8110,6.81100,1.000
1,7.933,19.28,6.8110,6.81100,1.000
1,8.000,19.22,6.8110,6.81100,1.000
1,8.067,19.19,6.8110,6.81100,1.000
1,8.133,19.15,6.8111,6.81110,1.000
1,8.200,19.11,6.8111,6.81110,1.000
1,8.267,19.08,6.8111,6.81110,1.000
1,8.333,19.05,6.8111,6.81110,1.000
1,8.400,19.02,6.8111,6.81110,1.000
1,8.467,18.99,6.8111,6.81110,1.000
1,8.533,18.96,6.8111,6.81110,1.000
1,8.600,18.93,6.8111,6.81110,1.000
1,8.667,18.91,6.8111,6.81110,1.000
1,8.733,18.89,6.8111,6.81110,1.000
1,8.800,18.87,6.8111,6.81110,1.000
1,8.867,18.85,6.8111,6.81110,1.000
1,8.933,18.82,6.8111,6.81110,1.000
1,9.000,18.80,6.8111,6.81110,1.000
1,9.067,18.79,6.8111,6.81110,1.000
1,9.133,18.77,6.8111,6.81110,1.000
1,9.200,18.75,6.8111,6.81110,1.000
1,9.267,18.74,6.8111,6.81110,1.000
1,9.333,18.72,6.8111,6.81110,1.000
1,9.400,18.70,6.8111,6.81110,1.000
1,9.467,18.69,6.8111,6.81110,1.000
1,9.533,18.67,6.8111,6.81110,1.000
1,9.600,18.66,6.8111,6.81110,1.000
1,9.667,18.64,6.8111,6.81110,1.000
1,9.733,18.64,6.8111,6.81110,1.000
1,9.800,18.62,6.8111,6.81110,1.000
1,9.867,18.61,6.8111,6.81110,1.000
1,9.933,18.59,6.8111,6.81110,1.000
1,10.000,18.59,6.8111,6.81110,1.000
1,10.067,18.57,6.8111,6.81110,1.000
1,10.133,18.57,6.8111,6.81110,1.000
1,10.200,18.55,6.8111,6.81110,1.000
1,10.267,18.54,6.8111,6.81110,1.000
1,10.333,18.53,6.8111,6.81110,1.000
1,10.400,18.52,6.8111,6.81110,1.000
1,10.467,18.51,6.8111,6.81110,1.000
1,10.533,18.50,6.8111,6.81110,1.000
1,10.600,18.49,6.8111,6.81110,1.000
1,10.667,18.48,6.8111,6.81110,1.000
1,10.733,18.48,6.8111,6.81110,1.000
1,10.800,18.46,6.8111,6.81110,1.000
1,10.867,18.46,6.8111,6.81110,1.000
1,10.933,18.44,6.8111,6.81110,1.000
1,11.000,18.44,6.8111,6.81110,1.000
1,11.067,18.43,6.8111,6.81110,1.000
1,11.133,18.42,6.8111,6.81110,1.000
1,11.200,18.41,6.8111,6.81110,1.000
1,11.267,18.41,6.8111,6.81110,1.000
1,11.333,18.40,6.8111,6.81110,1.000
1,11.400,18.39,6.8111,6.81110,1.000
1,11.467,18.39,6.8111,6.81110,1.000
1,11.533,18.38,6.8111,6.81110,1.000
1,11.600,18.37,6.8111,6.81110,1.000
1,11.667,18.37,6.8111,6.81110,1.000
1,11.733,18.36,6.8111,6.81110,1.000
1,11.800,18.35,6.8111,6.81110,1.000
1,11.867,18.35,6.8111,6.81110,1.000
1,11.933,18.34,6.8111,6.81110,1.000
1,12.000,18.33,6.8111,6.81110,1.000
1,12.067,18.33,6.8111,6.81110,1.000
1,12.133,18.32,6.8111,6.81110,1.000
1,12.200,18.31,6.8111,6.81110,1.000
1,12.267,18.31,6.8111,6.81110,1.000
1,12.333,18.30,6.8111,6.81110,1.000
1,12.400,18.30,6.8111,6.81110,1.000
1,12.467,18.30,6.8111,6.81110,1.000
1,12.533,18.29,6.8111,6.81110,1.000
1,12.600,18.28,6.8111,6.81110,1.000
1,12.667,18.27,6.8111,6.81110,1.000
1,12.733,18.27,6.8111,6.81110,1.000
1,12.800,18.26,6.8111,6.81110,1.000
1,12.867,18.26,6.8111,6.81110,1.000
1,12.933,18.25,6.8111,6.81110,1.000
1,13.000,18.25,6.8111,6.81110,1.000
1,13.067,18.24,6.8111,6.81110,1.000
1,13.133,18.24,6.8111,6.81110,1.000
1,13.200,18.23,6.8111,6.81110,1.000
1,13.267,18.23,6.8111,6.81110,1.000
1,13.333,18.22,6.8111,6.81110,1.000
1,13.400,18.22,6.8111,6.81110,1.000
1,13.467,18.22,6.8111,6.81110,1.000
1,13.533,18.21,6.8111,6.81110,1.000
1,13.600,18.21,6.8111,6.81110,1.000
1,13.667,18.20,6.8111,6.81110,1.000
1,13.733,18.20,6.8111,6.81110,1.000
1,13.800,18.19,6.8111,6.81110,1.000
1,13.867,18.19,6.8111,6.81110,1.000
1,13.933,18.18,6.8111,6.81110,1.000
1,14.000,18.18,6.8111,6.81110,1.000
1,14.067,18.18,6.8111,6.81110,1.000
1,14.133,18.17,6.8111,6.81110,1.000
1,14.200,18.16,6.8111,6.81110,1.000
1,14.267,18.16,6.8111,6.81110,1.000
1,14.333,18.16,6.8111,6.81110,1.000
1,14.400,18.15,6.8111,6.81110,1.000
1,14.467,18.15,6.8111,6.81110,1.000
1,14.533,18.15,6.8111,6.81110,1.000
1,14.600,18.14,6.8111,6.81110,1.000
1,14.667,18.14,6.8111,6.81110,1.000
1,14.733,18.13,6.8111,6.81110,1.000
1,14.800,18.13,6.8111,6.81110,1.000
1,14.867,18.12,6.8111,6.81110,1.000
1,14.933,18.13,6.8111,6.81110,1.000
1,15.000,18.12,6.8111,6.81110,1.000
1,15.067,18.11,6.8111,6.81110,1.000
1,15.133,18.11,6.8111,6.81110,1.000
1,15.200,18.11,6.8111,6.81110,1.000
1,15.267,18.10,6.8110,6.81100,1.000
1,15.333,18.10,6.8110,6.81100,1.000
1,15.400,18.10,6.8110,6.81100,1.000
1,15.467,18.09,6.8110,6.81100,1.000
1,15.533,18.09,6.8110,6.81100,1.000
1,15.600,18.09,6.8110,6.81100,1.000
1,15.667,18.09,6.8110,6.81100,1.000
1,15.733,18.08,6.8110,6.81100,1.000
1,15.800,18.08,6.8110,6.81100,1.000
1,15.867,18.08,6.8110,6.81100,1.000
1,15.933,18.07,6.8110,6.81100,1.000
1,16.000,18.07,6.8110,6.81100,1.000
1,16.067,18.07,6.8110,6.81100,1.000
1,16.133,18.06,6.8110,6.81100,1.000
1,16.200,18.06,6.8110,6.81100,1.000


