Loop Time (ms)	IR (16 bit)	Force (N)	Force (N)	Color	Speed (mm/s)	Spatial (mm)	Angle (deg)
244.000	6972.000	1568.700	20.000	0.000	3.000	0.000	0.000
3284.000	6969.000	1568.830	20.000	0.000	3.000	0.000	0.000
64.000	6973.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6969.000	1568.830	20.000	0.000	3.000	0.000	0.000
64.000	6977.000	1568.830	20.000	0.000	3.000	0.000	0.000
80.000	6972.000	1568.830	20.000	0.000	3.000	0.000	0.000
64.000	6976.000	1568.700	20.000	0.000	3.000	0.000	0.000
63.000	6972.000	1568.830	20.000	0.000	3.000	0.000	0.000
64.000	6971.000	1568.830	20.000	0.000	3.000	0.000	0.000
65.000	6975.000	1568.830	20.000	0.000	3.000	0.000	0.000
63.000	6972.000	1568.830	20.000	0.000	3.000	0.000	0.000
64.000	6969.000	1568.830	20.000	0.000	3.000	0.000	0.000
64.000	6977.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6977.000	1568.830	20.000	0.000	3.000	0.000	0.000
64.000	6966.000	1568.830	20.000	0.000	3.000	0.000	0.000
64.000	6976.000	1568.830	20.000	0.000	3.000	0.000	0.000
64.000	6968.000	1568.830	20.000	0.000	3.000	0.000	0.000
80.000	6972.000	1568.830	20.000	0.000	3.000	0.000	0.000
64.000	6972.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6972.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6974.000	1568.700	20.000	0.000	3.000	0.000	0.000
63.000	6968.000	1568.830	20.000	0.000	3.000	0.000	0.000
65.000	6970.000	1568.700	20.000	0.000	3.000	0.000	0.000
63.000	6969.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6977.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6970.000	1568.830	20.000	0.000	3.000	0.000	0.000
64.000	6973.000	1568.830	20.000	0.000	3.000	0.000	0.000
64.000	6978.000	1568.830	20.000	0.000	3.000	0.000	0.000
80.000	6976.000	1568.830	20.000	0.000	3.000	0.000	0.000
64.000	6977.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6971.000	1568.830	20.000	0.000	3.000	0.000	0.000
64.000	6973.000	1568.830	20.000	0.000	3.000	0.000	0.000
64.000	6973.000	1568.830	20.000	0.000	3.000	0.000	0.000
63.000	6973.000	1568.830	20.000	0.000	3.000	0.000	0.000
64.000	6975.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6977.000	1568.830	20.000	0.000	3.000	0.000	0.000
65.000	6970.000	1568.700	20.000	0.000	3.000	0.000	0.000
63.000	6976.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6971.000	1568.830	20.000	0.000	3.000	0.000	0.000
63.000	6972.000	1568.830	20.000	0.000	3.000	0.000	0.000
81.000	6971.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6967.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6971.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6972.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6975.000	1568.700	20.000	0.000	3.000	0.000	0.000
63.000	6980.000	1568.830	20.000	0.000	3.000	0.000	0.000
64.000	6973.000	1568.830	20.000	0.000	3.000	0.000	0.000
64.000	6974.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6973.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6972.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6973.000	1568.700	20.000	0.000	3.000	0.000	0.000
80.000	6971.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6972.000	1568.830	20.000	0.000	3.000	0.000	0.000
64.000	6967.000	1568.830	20.000	0.000	3.000	0.000	0.000
64.000	6970.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6970.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6974.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6968.000	1568.830	20.000	0.000	3.000	0.000	0.000
64.000	6973.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6974.000	1568.830	20.000	0.000	3.000	0.000	0.000
64.000	6974.000	1568.830	20.000	0.000	3.000	0.000	0.000
63.000	6974.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6973.000	1568.830	20.000	0.000	3.000	0.000	0.000
80.000	6971.000	1568.830	20.000	0.000	3.000	0.000	0.000
64.000	6973.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6975.000	1568.830	20.000	0.000	3.000	0.000	0.000
64.000	6978.000	1568.570	20.000	0.000	3.000	0.000	0.000
64.000	6972.000	1568.700	20.000	0.000	3.000	0.000	0.000
63.000	6974.000	1568.700	20.000	0.000	3.000	0.000	0.000
65.000	6975.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6970.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6972.000	1568.830	20.000	0.000	3.000	0.000	0.000
63.000	6972.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6972.000	1568.700	20.000	0.000	3.000	0.000	0.000
65.000	6970.000	1568.700	20.000	0.000	3.000	0.000	0.000
79.000	6975.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6973.000	1568.700	20.000	0.000	3.000	0.000	0.000
65.000	6970.000	1568.830	20.000	0.000	3.000	0.000	0.000
63.000	6977.000	1568.830	20.000	0.000	3.000	0.000	0.000
64.000	6974.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6978.000	1568.830	20.000	0.000	3.000	0.000	0.000
63.000	6971.000	1568.700	20.000	0.000	3.000	0.000	0.000
65.000	6968.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6973.000	1568.830	20.000	0.000	3.000	0.000	0.000
63.000	6977.000	1568.700	20.000	0.000	3.000	0.000	0.000
65.000	6974.000	1568.830	20.000	0.000	3.000	0.000	0.000
79.000	6978.000	1568.700	20.000	0.000	3.000	0.000	0.000
64.000	6974.000	1568.830	20.000	0.000	3.000	0.000	0.000
64.000	6974.000	1568.830	20.000	0.000	3.000	0.000	0.000
64.000	6969.000	1568.830	20.000	0.000	3.000	0.000	0.000
64.000	6977.000	1568.830	20.000	0.000	3.000	0.000	0.000
63.000	6974.000	1568.700	20.000	0.000	3.000	0.000	0.000
