Loop Time (ms)	IR (16 bit)	Force (N)	Force (N)	Color	Speed (mm/s)	Spatial (mm)	Angle (deg)
246.000	7435.000	1570.350	1.000	0.000	1.000	0.000	0.000
3283.000	7438.000	1570.480	1.000	0.000	1.000	0.000	0.000
64.000	7433.000	1570.480	1.000	0.000	1.000	0.000	0.000
64.000	7437.000	1570.350	1.000	0.000	1.000	0.000	0.000
81.000	7437.000	1570.350	1.000	0.000	1.000	0.000	0.000
63.000	7434.000	1570.350	1.000	0.000	1.000	0.000	0.000
64.000	7430.000	1570.480	1.000	0.000	1.000	0.000	0.000
63.000	7434.000	1570.350	1.000	0.000	1.000	0.000	0.000
65.000	7437.000	1570.480	1.000	0.000	1.000	0.000	0.000
64.000	7435.000	1570.350	1.000	0.000	1.000	0.000	0.000
63.000	7432.000	1570.350	1.000	0.000	1.000	0.000	0.000
64.000	7440.000	1570.350	1.000	0.000	1.000	0.000	0.000
64.000	7432.000	1570.480	1.000	0.000	1.000	0.000	0.000
64.000	7434.000	1570.350	1.000	0.000	1.000	0.000	0.000
64.000	7439.000	1570.230	1.000	0.000	1.000	0.000	0.000
64.000	7434.000	1570.350	1.000	0.000	1.000	0.000	0.000
80.000	7438.000	1570.350	1.000	0.000	1.000	0.000	0.000
64.000	7435.000	1570.350	1.000	0.000	1.000	0.000	0.000
64.000	7438.000	1570.350	1.000	0.000	1.000	0.000	0.000
64.000	7429.000	1570.480	1.000	0.000	1.000	0.000	0.000
63.000	7432.000	1570.350	1.000	0.000	1.000	0.000	0.000
65.000	7438.000	1570.350	1.000	0.000	1.000	0.000	0.000
63.000	7433.000	1570.230	1.000	0.000	1.000	0.000	0.000
64.000	7431.000	1570.350	1.000	0.000	1.000	0.000	0.000
64.000	7443.000	1570.350	1.000	0.000	1.000	0.000	0.000
65.000	7438.000	1570.480	1.000	0.000	1.000	0.000	0.000
63.000	7438.000	1570.350	1.000	0.000	1.000	0.000	0.000
65.000	7430.000	1570.350	1.000	0.000	1.000	0.000	0.000
80.000	7432.000	1570.350	1.000	0.000	1.000	0.000	0.000
63.000	7436.000	1570.350	1.000	0.000	1.000	0.000	0.000
64.000	7433.000	1570.350	1.000	0.000	1.000	0.000	0.000
64.000	7440.000	1570.350	1.000	0.000	1.000	0.000	0.000
64.000	7433.000	1570.350	1.000	0.000	1.000	0.000	0.000
63.000	7437.000	1570.350	1.000	0.000	1.000	0.000	0.000
64.000	7437.000	1570.350	1.000	0.000	1.000	0.000	0.000
64.000	7427.000	1570.480	1.000	0.000	1.000	0.000	0.000
64.000	7440.000	1570.350	1.000	0.000	1.000	0.000	0.000
64.000	7440.000	1570.350	1.000	0.000	1.000	0.000	0.000
64.000	7430.000	1570.350	1.000	0.000	1.000	0.000	0.000
80.000	7433.000	1570.480	1.000	0.000	1.000	0.000	0.000
64.000	7433.000	1570.350	1.000	0.000	1.000	0.000	0.000
64.000	7437.000	1570.350	1.000	0.000	1.000	0.000	0.000
64.000	7431.000	1570.350	1.000	0.000	1.000	0.000	0.000
64.000	7437.000	1570.350	1.000	0.000	1.000	0.000	0.000
64.000	7435.000	1570.350	1.000	0.000	1.000	0.000	0.000
64.000	7436.000	1570.350	1.000	0.000	1.000	0.000	0.000
