Loop Time (ms)	IR (16 bit)	Force (N)	Force (N)	Color	Speed (mm/s)	Spatial (mm)	Angle (deg)
267.000	6238.000	1568.320	5.000	0.000	3.000	0.000	0.000
3283.000	6233.000	1568.440	5.000	0.000	3.000	0.000	0.000
63.000	6233.000	1568.190	5.000	0.000	3.000	0.000	0.000
65.000	6233.000	1568.320	5.000	0.000	3.000	0.000	0.000
79.000	6228.000	1568.320	5.000	0.000	3.000	0.000	0.000
64.000	6226.000	1568.190	5.000	0.000	3.000	0.000	0.000
65.000	6231.000	1568.320	5.000	0.000	3.000	0.000	0.000
63.000	6231.000	1568.190	5.000	0.000	3.000	0.000	0.000
64.000	6235.000	1568.320	5.000	0.000	3.000	0.000	0.000
64.000	6230.000	1568.320	5.000	0.000	3.000	0.000	0.000
64.000	6231.000	1568.320	5.000	0.000	3.000	0.000	0.000
64.000	6228.000	1568.320	5.000	0.000	3.000	0.000	0.000
64.000	6229.000	1568.190	5.000	0.000	3.000	0.000	0.000
64.000	6229.000	1568.320	5.000	0.000	3.000	0.000	0.000
64.000	6225.000	1568.320	5.000	0.000	3.000	0.000	0.000
63.000	6231.000	1568.190	5.000	0.000	3.000	0.000	0.000
80.000	6233.000	1568.320	5.000	0.000	3.000	0.000	0.000
65.000	6229.000	1568.320	5.000	0.000	3.000	0.000	0.000
63.000	6232.000	1568.320	5.000	0.000	3.000	0.000	0.000
64.000	6223.000	1568.190	5.000	0.000	3.000	0.000	0.000
64.000	6229.000	1568.320	5.000	0.000	3.000	0.000	0.000
64.000	6231.000	1568.320	5.000	0.000	3.000	0.000	0.000
64.000	6229.000	1568.320	5.000	0.000	3.000	0.000	0.000
64.000	6237.000	1568.320	5.000	0.000	3.000	0.000	0.000
64.000	6234.000	1568.190	5.000	0.000	3.000	0.000	0.000
64.000	6236.000	1568.320	5.000	0.000	3.000	0.000	0.000
64.000	6230.000	1568.320	5.000	0.000	3.000	0.000	0.000
79.000	6227.000	1568.320	5.000	0.000	3.000	0.000	0.000
64.000	6234.000	1568.320	5.000	0.000	3.000	0.000	0.000
64.000	6240.000	1568.320	5.000	0.000	3.000	0.000	0.000
64.000	6234.000	1568.190	5.000	0.000	3.000	0.000	0.000
64.000	6230.000	1568.190	5.000	0.000	3.000	0.000	0.000
64.000	6230.000	1568.190	5.000	0.000	3.000	0.000	0.000
64.000	6229.000	1568.320	5.000	0.000	3.000	0.000	0.000
64.000	6236.000	1568.190	5.000	0.000	3.000	0.000	0.000
63.000	6221.000	1568.440	5.000	0.000	3.000	0.000	0.000
65.000	6236.000	1568.320	5.000	0.000	3.000	0.000	0.000
64.000	6233.000	1568.320	5.000	0.000	3.000	0.000	0.000
64.000	6230.000	1568.320	5.000	0.000	3.000	0.000	0.000
80.000	6226.000	1568.320	5.000	0.000	3.000	0.000	0.000
64.000	6237.000	1568.320	5.000	0.000	3.000	0.000	0.000
64.000	6227.000	1568.320	5.000	0.000	3.000	0.000	0.000
63.000	6231.000	1568.320	5.000	0.000	3.000	0.000	0.000
64.000	6231.000	1568.320	5.000	0.000	3.000	0.000	0.000
64.000	6233.000	1568.320	5.000	0.000	3.000	0.000	0.000
64.000	6222.000	1568.320	5.000	0.000	3.000	0.000	0.000
64.000	6236.000	1568.320	5.000	0.000	3.000	0.000	0.000
64.000	6224.000	1568.190	5.000	0.000	3.000	0.000	0.000
64.000	6230.000	1568.320	5.000	0.000	3.000	0.000	0.000
64.000	6226.000	1568.320	5.000	0.000	3.000	0.000	0.000
64.000	6227.000	1568.320	5.000	0.000	3.000	0.000	0.000
80.000	6230.000	1568.190	5.000	0.000	3.000	0.000	0.000
