Loop Time (ms)	IR (16 bit)	Force (N)	Force (N)	Color	Speed (mm/s)	Spatial (mm)	Angle (deg)
275.000	13818.000	1542.140	5.000	3.000	1.000	0.000	0.000
3282.000	13822.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	13820.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	13820.000	1542.140	5.000	3.000	1.000	0.000	0.000
79.000	13817.000	1542.010	5.000	3.000	1.000	0.000	0.000
65.000	13817.000	1541.880	5.000	3.000	1.000	0.000	0.000
63.000	13820.000	1542.010	5.000	3.000	1.000	0.000	0.000
65.000	13826.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	13819.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	13827.000	1542.010	5.000	3.000	1.000	0.000	0.000
63.000	13827.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	13827.000	1542.140	5.000	3.000	1.000	0.000	0.000
65.000	13821.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	13822.000	1542.010	5.000	3.000	1.000	0.000	0.000
63.000	13822.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	13821.000	1542.010	5.000	3.000	1.000	0.000	0.000
80.000	13822.000	1542.010	5.000	3.000	1.000	0.000	0.000
63.000	13819.000	1542.010	5.000	3.000	1.000	0.000	0.000
65.000	13823.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	13821.000	1542.010	5.000	3.000	1.000	0.000	0.000
63.000	13823.000	1542.010	5.000	3.000	1.000	0.000	0.000
65.000	13822.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	13824.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	13821.000	1542.010	5.000	3.000	1.000	0.000	0.000
63.000	13824.000	1542.010	5.000	3.000	1.000	0.000	0.000
65.000	13823.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	13824.000	1542.010	5.000	3.000	1.000	0.000	0.000
79.000	13819.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	13823.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	13822.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	13823.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	13826.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	13821.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	13825.000	1542.140	5.000	3.000	1.000	0.000	0.000
63.000	13824.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	13821.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	13825.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	13827.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	13826.000	1542.010	5.000	3.000	1.000	0.000	0.000
80.000	13827.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	13799.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	13733.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	13649.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	13532.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	13385.000	1542.010	5.000	3.000	1.000	0.000	0.000
63.000	13223.000	1542.010	5.000	3.000	1.000	0.000	0.000
65.000	13035.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	12852.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	12651.000	1542.010	5.000	3.000	1.000	0.000	0.000
63.000	12452.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	12256.000	1542.010	5.000	3.000	1.000	0.000	0.000
80.000	12059.000	1542.140	5.000	3.000	1.000	0.000	0.000
63.000	11869.000	1542.010	5.000	3.000	1.000	0.000	0.000
65.000	11700.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	11517.000	1542.010	5.000	3.000	1.000	0.000	0.000
63.000	11364.000	1542.140	5.000	3.000	1.000	0.000	0.000
65.000	11224.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	11089.000	1542.010	5.000	3.000	1.000	0.000	0.000
63.000	10972.000	1542.010	5.000	3.000	1.000	0.000	0.000
65.000	10856.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	10761.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	10670.000	1542.140	5.000	3.000	1.000	0.000	0.000
79.000	10590.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	10521.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	10457.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	10400.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	10352.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	10307.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	10270.000	1542.140	5.000	3.000	1.000	0.000	0.000
63.000	10239.000	1542.010	5.000	3.000	1.000	0.000	0.000
65.000	10208.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	10182.000	1542.010	5.000	3.000	1.000	0.000	0.000
63.000	10169.000	1542.140	5.000	3.000	1.000	0.000	0.000
65.000	10157.000	1542.010	5.000	3.000	1.000	0.000	0.000
79.000	10150.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	10152.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	10141.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	10151.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	10144.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	10145.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	10143.000	1542.010	5.000	3.000	1.000	0.000	0.000
63.000	10142.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	10144.000	1542.010	5.000	3.000	1.000	0.000	0.000
65.000	10144.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	10144.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	10145.000	1542.010	5.000	3.000	1.000	0.000	0.000
79.000	10140.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	10145.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	10146.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	10147.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	10145.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	10139.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	10145.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	10146.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	10142.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	10144.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	10147.000	1542.010	5.000	3.000	1.000	0.000	0.000
80.000	10140.000	1542.140	5.000	3.000	1.000	0.000	0.000
63.000	10147.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	10146.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	10147.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	10145.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	10145.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	10144.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	10143.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	10143.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	10143.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	10144.000	1542.010	5.000	3.000	1.000	0.000	0.000
63.000	10143.000	1542.010	5.000	3.000	1.000	0.000	0.000
81.000	10149.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	10146.000	1542.010	5.000	3.000	1.000	0.000	0.000
63.000	10150.000	1542.140	5.000	3.000	1.000	0.000	0.000
65.000	10147.000	1542.010	5.000	3.000	1.000	0.000	0.000
63.000	10149.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	10151.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	10144.000	1542.140	5.000	3.000	1.000	0.000	0.000
64.000	10143.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	10147.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	10146.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	10150.000	1542.010	5.000	3.000	1.000	0.000	0.000
63.000	10146.000	1542.010	5.000	3.000	1.000	0.000	0.000
81.000	10144.000	1542.010	5.000	3.000	1.000	0.000	0.000
64.000	10149.000	1542.010	5.000	3.000	1.000	0.000	0.000
