""
"Test Method","Radhen_Load_Cntrl_Cmprsn_250N_12-7.msm"
"Sample I. D.","Sample1.mss"
"Specimen Number","22"

"TheCycle_Output ()","_Time (s)","_Load (N)","_Extension (mm)","RealTimeDepth (mm)","CycleNumber ()"

1,0.312,0.02,0.1051,0.10513,1.000
1,0.375,0.02,0.1676,0.16755,1.000
1,0.438,0.02,0.2302,0.23018,1.000
1,0.500,0.02,0.2928,0.29280,1.000
1,0.562,0.01,0.3553,0.35535,1.000
1,0.625,0.01,0.4179,0.41785,1.000
1,0.688,0.01,0.4802,0.48025,1.000
1,0.750,0.01,0.5428,0.54280,1.000
1,0.812,0.01,0.6051,0.60510,1.000
1,0.875,0.02,0.6677,0.66765,1.000
1,0.938,0.01,0.7303,0.73027,1.000
1,1.000,0.02,0.7930,0.79300,1.000
1,1.062,0.01,0.8553,0.85530,1.000
1,1.125,0.01,0.9178,0.91775,1.000
1,1.188,0.02,0.9804,0.98038,1.000
1,1.250,0.01,1.0427,1.04270,1.000
1,1.312,0.01,1.1053,1.10530,1.000
1,1.375,0.01,1.1677,1.16775,1.000
1,1.438,0.01,1.2303,1.23032,1.000
1,1.500,0.01,1.2926,1.29260,1.000
1,1.562,0.02,1.3553,1.35528,1.000
1,1.625,0.01,1.4178,1.41780,1.000
1,1.688,0.02,1.4802,1.48023,1.000
1,1.750,0.02,1.5429,1.54290,1.000
1,1.812,0.01,1.6053,1.60530,1.000
1,1.875,0.02,1.6679,1.66790,1.000
1,1.938,0.00,1.7304,1.73038,1.000
1,2.000,0.01,1.7930,1.79300,1.000
1,2.062,0.02,1.8553,1.85530,1.000
1,2.125,0.01,1.9178,1.91780,1.000
1,2.188,0.02,1.9803,1.98030,1.000
1,2.250,0.02,2.0427,2.04270,1.000
1,2.312,0.01,2.1054,2.10535,1.000
1,2.375,0.02,2.1678,2.16780,1.000
1,2.438,0.02,2.2304,2.23040,1.000
1,2.500,0.03,2.2928,2.29280,1.000
1,2.562,0.02,2.3555,2.35552,1.000
1,2.625,0.03,2.4179,2.41790,1.000
1,2.688,0.04,2.4804,2.48035,1.000
1,2.750,0.06,2.5429,2.54290,1.000
1,2.812,0.08,2.6052,2.60522,1.000
1,2.875,0.11,2.6678,2.66780,1.000
1,2.938,0.15,2.7303,2.73028,1.000
1,3.000,0.20,2.7929,2.79290,1.000
1,3.062,0.28,2.8553,2.85532,1.000
1,3.125,0.37,2.9180,2.91795,1.000
1,3.188,0.48,2.9804,2.98038,1.000
1,3.250,0.62,3.0428,3.04280,1.000
1,3.312,0.76,3.1054,3.10540,1.000
1,3.375,0.93,3.1678,3.16780,1.000
1,3.438,1.14,3.2304,3.23043,1.000
1,3.500,1.36,3.2928,3.29280,1.000
1,3.562,1.61,3.3555,3.35550,1.000
1,3.625,1.88,3.4178,3.41780,1.000
1,3.688,2.18,3.4805,3.48048,1.000
1,3.750,2.51,3.5429,3.54290,1.000
1,3.812,2.87,3.6054,3.60543,1.000
1,3.875,3.25,3.6680,3.66795,1.000
1,3.938,3.66,3.7304,3.73040,1.000
1,4.000,4.10,3.7930,3.79300,1.000
1,4.062,4.58,3.8553,3.85535,1.000
1,4.125,5.09,3.9180,3.91800,1.000
1,4.188,5.63,3.9804,3.98040,1.000
1,4.250,6.20,4.0430,4.04300,1.000
1,4.312,6.80,4.1053,4.10535,1.000
1,4.375,7.43,4.1679,4.16785,1.000
1,4.438,8.08,4.2304,4.23045,1.000
1,4.500,8.77,4.2928,4.29280,1.000
1,4.562,9.48,4.3554,4.35538,1.000
1,4.625,10.21,4.4178,4.41780,1.000
1,4.688,10.99,4.4803,4.48035,1.000
1,4.750,11.80,4.5428,4.54280,1.000
1,4.812,12.69,4.6054,4.60538,1.000
1,4.875,13.73,4.6679,4.66790,1.000
1,4.938,14.82,4.7303,4.73032,1.000
1,5.000,15.94,4.7928,4.79280,1.000
1,5.062,17.18,4.8552,4.85525,1.000
1,5.125,18.48,4.9180,4.91795,1.000
1,5.188,19.85,4.9803,4.98030,1.000
1,5.250,21.29,5.0429,5.04290,1.000
1,5.312,22.79,5.1053,5.10532,1.000
1,5.375,24.38,5.1678,5.16785,1.000
1,5.438,26.03,5.2304,5.23038,1.000
1,5.500,27.80,5.2928,5.29280,1.000
1,5.562,29.61,5.3554,5.35542,1.000
1,5.688,30.16,5.3880,5.38795,1.000
1,5.750,26.39,5.3257,5.32570,1.000
1,5.812,23.46,5.2633,5.26325,1.000
1,5.875,20.96,5.2007,5.20070,1.000
1,5.938,18.79,5.1381,5.13805,1.000
1,6.000,16.87,5.0758,5.07580,1.000
1,6.062,15.20,5.0131,5.01310,1.000
1,6.125,13.77,4.9507,4.95065,1.000
1,6.188,12.47,4.8881,4.88810,1.000
1,6.250,11.29,4.8257,4.82570,1.000
1,6.312,10.34,4.7632,4.76318,1.000
1,6.375,9.47,4.7006,4.70060,1.000
1,6.438,8.66,4.6382,4.63820,1.000
1,6.500,7.90,4.5756,4.57560,1.000
1,6.562,7.19,4.5131,4.51313,1.000
1,6.625,6.55,4.4505,4.45050,1.000
1,6.688,5.94,4.3880,4.38803,1.000
1,6.750,5.39,4.3255,4.32550,1.000
1,6.812,4.87,4.2631,4.26305,1.000
1,6.875,4.40,4.2005,4.20050,1.000
1,6.938,3.97,4.1380,4.13795,1.000
