""
"Test Method","Radhen_Load_Cntrl_Cmprsn_250N_12-7.msm"
"Sample I. D.","Sample1.mss"
"Specimen Number","3"

"TheCycle_Output ()","_Time (s)","_Load (N)","_Extension (mm)","RealTimeDepth (mm)","CycleNumber ()"

1,0.250,0.00,0.0147,0.01470,1.000
1,0.300,0.00,0.0647,0.06470,1.000
1,0.350,0.00,0.1145,0.11450,1.000
1,0.400,0.00,0.1646,0.16460,1.000
1,0.450,0.00,0.2147,0.21470,1.000
1,0.500,0.00,0.2647,0.26470,1.000
1,0.550,0.00,0.3146,0.31460,1.000
1,0.600,0.00,0.3648,0.36480,1.000
1,0.650,0.00,0.4149,0.41490,1.000
1,0.700,0.00,0.4648,0.46480,1.000
1,0.750,0.00,0.5146,0.51460,1.000
1,0.800,0.00,0.5648,0.56480,1.000
1,0.850,0.00,0.6149,0.61490,1.000
1,0.900,0.00,0.6648,0.66480,1.000
1,0.950,0.00,0.7148,0.71480,1.000
1,1.000,0.00,0.7647,0.76470,1.000
1,1.050,0.00,0.8147,0.81470,1.000
1,1.100,0.00,0.8648,0.86480,1.000
1,1.150,0.00,0.9146,0.91460,1.000
1,1.200,0.00,0.9647,0.96470,1.000
1,1.250,0.00,1.0148,1.01480,1.000
1,1.300,0.00,1.0649,1.06490,1.000
1,1.350,-0.01,1.1146,1.11460,1.000
1,1.400,0.00,1.1648,1.16480,1.000
1,1.450,0.00,1.2149,1.21490,1.000
1,1.500,0.00,1.2648,1.26480,1.000
1,1.550,0.00,1.3148,1.31480,1.000
1,1.600,0.00,1.3647,1.36470,1.000
1,1.650,0.00,1.4148,1.41480,1.000
1,1.700,0.00,1.4648,1.46480,1.000
1,1.750,0.00,1.5147,1.51470,1.000
1,1.800,0.00,1.5647,1.56470,1.000
1,1.850,0.00,1.6148,1.61480,1.000
1,1.900,0.00,1.6649,1.66490,1.000
1,1.950,0.00,1.7147,1.71470,1.000
1,2.000,0.00,1.7647,1.76470,1.000
1,2.050,0.00,1.8149,1.81490,1.000
1,2.100,0.00,1.8650,1.86500,1.000
1,2.150,0.00,1.9147,1.91470,1.000
1,2.200,0.00,1.9647,1.96470,1.000
1,2.250,0.00,2.0149,2.01490,1.000
1,2.300,-0.01,2.0649,2.06490,1.000
1,2.350,0.00,2.1149,2.11490,1.000
1,2.400,0.00,2.1649,2.16490,1.000
1,2.450,0.00,2.2148,2.21480,1.000
1,2.500,0.00,2.2649,2.26490,1.000
1,2.550,0.00,2.3148,2.31480,1.000
1,2.600,0.00,2.3648,2.36480,1.000
1,2.650,-0.01,2.4149,2.41490,1.000
1,2.700,0.00,2.4650,2.46500,1.000
1,2.750,0.00,2.5149,2.51490,1.000
1,2.800,0.00,2.5648,2.56480,1.000
1,2.850,0.00,2.6150,2.61500,1.000
1,2.900,0.00,2.6650,2.66500,1.000
1,2.950,0.00,2.7149,2.71490,1.000
1,3.000,0.00,2.7648,2.76480,1.000
1,3.050,0.00,2.8149,2.81490,1.000
1,3.100,0.00,2.8650,2.86500,1.000
1,3.150,0.00,2.9149,2.91490,1.000
1,3.200,0.00,2.9647,2.96470,1.000
1,3.250,0.00,3.0148,3.01480,1.000
1,3.300,0.00,3.0649,3.06490,1.000
1,3.350,0.00,3.1148,3.11480,1.000
1,3.400,0.00,3.1648,3.16480,1.000
1,3.450,0.00,3.2149,3.21490,1.000
1,3.500,0.00,3.2650,3.26500,1.000
1,3.550,0.00,3.3149,3.31490,1.000
1,3.600,0.00,3.3648,3.36480,1.000
1,3.650,0.00,3.4149,3.41490,1.000
1,3.700,0.00,3.4650,3.46500,1.000
1,3.750,0.00,3.5149,3.51490,1.000
1,3.800,0.00,3.5648,3.56480,1.000
1,3.850,0.00,3.6148,3.61480,1.000
1,3.900,0.00,3.6650,3.66500,1.000
1,3.950,0.00,3.7149,3.71490,1.000
1,4.000,0.00,3.7648,3.76480,1.000
1,4.050,0.00,3.8149,3.81490,1.000
1,4.100,0.00,3.8650,3.86500,1.000
1,4.150,0.00,3.9150,3.91500,1.000
1,4.200,0.00,3.9648,3.96480,1.000
1,4.250,0.00,4.0150,4.01500,1.000
1,4.300,0.00,4.0649,4.06490,1.000
1,4.350,0.00,4.1150,4.11500,1.000
1,4.400,0.00,4.1649,4.16490,1.000
1,4.450,0.00,4.2150,4.21500,1.000
1,4.500,0.00,4.2651,4.26510,1.000
1,4.550,0.00,4.3150,4.31500,1.000
