""
"Test Method","Radhen_Load_Cntrl_Cmprsn_250N_12-7.msm"
"Sample I. D.","Sample1.mss"
"Specimen Number","5"

"TheCycle_Output ()","_Time (s)","_Load (N)","_Extension (mm)","RealTimeDepth (mm)","CycleNumber ()"

1,0.250,0.00,0.0277,0.02770,1.000
1,0.300,0.00,0.0775,0.07750,1.000
1,0.350,0.00,0.1276,0.12760,1.000
1,0.400,-0.01,0.1777,0.17770,1.000
1,0.450,-0.01,0.2275,0.22750,1.000
1,0.500,0.00,0.2776,0.27760,1.000
1,0.550,-0.01,0.3277,0.32770,1.000
1,0.600,-0.01,0.3776,0.37760,1.000
1,0.650,-0.01,0.4277,0.42770,1.000
1,0.700,-0.01,0.4776,0.47760,1.000
1,0.750,0.00,0.5278,0.52780,1.000
1,0.800,-0.01,0.5777,0.57770,1.000
1,0.850,-0.01,0.6274,0.62740,1.000
1,0.900,0.00,0.6777,0.67770,1.000
1,0.950,0.00,0.7277,0.72770,1.000
1,1.000,0.00,0.7776,0.77760,1.000
1,1.050,0.01,0.8276,0.82760,1.000
1,1.100,-0.01,0.8777,0.87770,1.000
1,1.150,0.00,0.9277,0.92770,1.000
1,1.200,-0.01,0.9778,0.97780,1.000
1,1.250,-0.01,1.0275,1.02750,1.000
1,1.300,-0.01,1.0777,1.07770,1.000
1,1.350,-0.01,1.1278,1.12780,1.000
1,1.400,-0.01,1.1778,1.17780,1.000
1,1.450,-0.01,1.2275,1.22750,1.000
1,1.500,-0.01,1.2776,1.27760,1.000
1,1.550,-0.01,1.3278,1.32780,1.000
1,1.600,-0.01,1.3776,1.37760,1.000
1,1.650,0.00,1.4277,1.42770,1.000
1,1.700,-0.01,1.4776,1.47760,1.000
1,1.750,0.00,1.5278,1.52780,1.000
1,1.800,-0.01,1.5777,1.57770,1.000
1,1.850,-0.01,1.6276,1.62760,1.000
1,1.900,0.00,1.6777,1.67770,1.000
1,1.950,-0.01,1.7278,1.72780,1.000
1,2.000,-0.01,1.7779,1.77790,1.000
1,2.050,-0.01,1.8276,1.82760,1.000
1,2.100,-0.01,1.8777,1.87770,1.000
