""
"Test Method","Radhen_Load_Cntrl_Cmprsn_250N_12-7.msm"
"Sample I. D.","Sample1.mss"
"Specimen Number","16"

"TheCycle_Output ()","_Time (s)","_Load (N)","_Extension (mm)","RealTimeDepth (mm)","CycleNumber ()"

0,0.180,0.04,0.0000,0.00000,0.000
1,0.190,0.02,0.0000,0.00000,1.000
1,0.210,0.01,0.0000,0.00000,1.000
1,0.220,0.01,0.0000,0.00000,1.000
1,0.230,0.02,0.0003,0.00030,1.000
1,0.240,0.01,0.0037,0.00370,1.000
1,0.250,0.02,0.0092,0.00920,1.000
1,0.260,0.02,0.0175,0.01750,1.000
1,0.270,0.03,0.0278,0.02780,1.000
1,0.280,0.00,0.0376,0.03760,1.000
1,0.290,0.02,0.0478,0.04780,1.000
1,0.300,0.02,0.0577,0.05770,1.000
1,0.310,0.02,0.0678,0.06780,1.000
1,0.320,0.02,0.0776,0.07760,1.000
1,0.330,0.01,0.0877,0.08770,1.000
1,0.340,0.02,0.0978,0.09780,1.000
1,0.350,0.02,0.1077,0.10770,1.000
1,0.360,0.02,0.1176,0.11760,1.000
1,0.370,0.02,0.1276,0.12760,1.000
1,0.380,0.01,0.1378,0.13780,1.000
1,0.390,0.03,0.1477,0.14770,1.000
1,0.400,0.02,0.1577,0.15770,1.000
1,0.410,0.02,0.1677,0.16770,1.000
1,0.420,0.01,0.1778,0.17780,1.000
1,0.430,0.02,0.1878,0.18780,1.000
1,0.440,0.02,0.1976,0.19760,1.000
1,0.450,0.02,0.2078,0.20780,1.000
1,0.460,0.02,0.2177,0.21770,1.000
1,0.470,0.02,0.2278,0.22780,1.000
1,0.480,0.02,0.2376,0.23760,1.000
1,0.490,0.02,0.2477,0.24770,1.000
1,0.500,0.02,0.2578,0.25780,1.000
1,0.510,0.02,0.2677,0.26770,1.000
1,0.520,0.02,0.2777,0.27770,1.000
1,0.530,0.02,0.2877,0.28770,1.000
1,0.540,0.02,0.2978,0.29780,1.000
1,0.550,0.01,0.3078,0.30780,1.000
1,0.560,0.02,0.3176,0.31760,1.000
1,0.570,0.02,0.3278,0.32780,1.000
1,0.580,0.02,0.3378,0.33780,1.000
1,0.590,0.02,0.3478,0.34780,1.000
1,0.600,0.03,0.3577,0.35770,1.000
1,0.610,0.01,0.3678,0.36780,1.000
1,0.620,0.02,0.3777,0.37770,1.000
1,0.630,0.03,0.3879,0.38790,1.000
1,0.640,0.02,0.3976,0.39760,1.000
1,0.650,0.02,0.4078,0.40780,1.000
1,0.660,0.02,0.4178,0.41780,1.000
1,0.670,0.02,0.4278,0.42780,1.000
1,0.680,0.02,0.4377,0.43770,1.000
1,0.690,0.01,0.4477,0.44770,1.000
1,0.700,0.03,0.4579,0.45790,1.000
1,0.710,0.00,0.4677,0.46770,1.000
1,0.720,0.00,0.4778,0.47780,1.000
1,0.730,0.01,0.4878,0.48780,1.000
1,0.740,0.01,0.4979,0.49790,1.000
1,0.750,0.02,0.5079,0.50790,1.000
1,0.760,0.01,0.5177,0.51770,1.000
1,0.770,0.02,0.5279,0.52790,1.000
1,0.780,0.02,0.5379,0.53790,1.000
1,0.790,0.01,0.5479,0.54790,1.000
1,0.800,0.01,0.5577,0.55770,1.000
1,0.810,0.02,0.5679,0.56790,1.000
1,0.820,0.03,0.5779,0.57790,1.000
1,0.830,0.01,0.5880,0.58800,1.000
1,0.840,0.03,0.5978,0.59780,1.000
1,0.850,0.02,0.6079,0.60790,1.000
1,0.860,0.03,0.6179,0.61790,1.000
1,0.870,0.02,0.6279,0.62790,1.000
1,0.880,0.01,0.6378,0.63780,1.000
1,0.890,0.00,0.6478,0.64780,1.000
1,0.900,0.04,0.6580,0.65800,1.000
1,0.910,0.02,0.6678,0.66780,1.000
1,0.920,0.02,0.6779,0.67790,1.000
1,0.930,0.02,0.6878,0.68780,1.000
1,0.940,0.01,0.6979,0.69790,1.000
1,0.950,0.02,0.7079,0.70790,1.000
1,0.960,0.02,0.7178,0.71780,1.000
1,0.970,0.03,0.7279,0.72790,1.000
1,0.980,0.02,0.7378,0.73780,1.000
1,0.990,0.03,0.7479,0.74790,1.000
1,1.000,0.01,0.7577,0.75770,1.000
1,1.010,0.02,0.7678,0.76780,1.000
1,1.020,0.02,0.7778,0.77780,1.000
1,1.030,0.02,0.7879,0.78790,1.000
1,1.040,0.03,0.7977,0.79770,1.000
1,1.050,0.02,0.8078,0.80780,1.000
1,1.060,0.01,0.8179,0.81790,1.000
1,1.070,0.03,0.8279,0.82790,1.000
1,1.080,0.00,0.8378,0.83780,1.000
1,1.090,0.01,0.8477,0.84770,1.000
1,1.100,0.02,0.8578,0.85780,1.000
1,1.110,0.02,0.8679,0.86790,1.000
1,1.120,0.02,0.8777,0.87770,1.000
1,1.130,0.01,0.8877,0.88770,1.000
1,1.140,0.02,0.8979,0.89790,1.000
1,1.150,0.00,0.9079,0.90790,1.000
1,1.160,0.02,0.9177,0.91770,1.000
1,1.170,0.00,0.9278,0.92780,1.000
1,1.180,0.02,0.9379,0.93790,1.000
1,1.190,0.01,0.9478,0.94780,1.000
1,1.200,0.02,0.9577,0.95770,1.000
1,1.210,0.01,0.9677,0.96770,1.000
1,1.220,0.02,0.9779,0.97790,1.000
1,1.230,0.01,0.9878,0.98780,1.000
1,1.240,0.03,0.9977,0.99770,1.000
1,1.250,0.01,1.0077,1.00770,1.000
1,1.260,0.02,1.0179,1.01790,1.000
1,1.270,0.02,1.0278,1.02780,1.000
1,1.280,0.02,1.0377,1.03770,1.000
1,1.290,0.02,1.0477,1.04770,1.000
1,1.300,0.02,1.0578,1.05780,1.000
1,1.310,0.02,1.0679,1.06790,1.000
1,1.320,0.02,1.0776,1.07760,1.000
1,1.330,0.02,1.0878,1.08780,1.000
1,1.340,0.02,1.0978,1.09780,1.000
1,1.350,0.02,1.1078,1.10780,1.000
1,1.360,0.02,1.1178,1.11780,1.000
1,1.370,0.02,1.1278,1.12780,1.000
1,1.380,0.02,1.1379,1.13790,1.000
1,1.390,0.03,1.1478,1.14780,1.000
1,1.400,0.02,1.1577,1.15770,1.000
1,1.410,0.02,1.1678,1.16780,1.000
1,1.420,0.02,1.1778,1.17780,1.000
1,1.430,0.01,1.1880,1.18800,1.000
1,1.440,0.02,1.1977,1.19770,1.000
1,1.450,0.02,1.2079,1.20790,1.000
1,1.460,0.01,1.2179,1.21790,1.000
1,1.470,0.01,1.2280,1.22800,1.000
1,1.480,0.01,1.2378,1.23780,1.000
1,1.490,0.03,1.2478,1.24780,1.000
1,1.500,0.01,1.2580,1.25800,1.000
1,1.510,0.03,1.2679,1.26790,1.000
1,1.520,0.02,1.2778,1.27780,1.000
1,1.530,0.02,1.2878,1.28780,1.000
1,1.540,0.01,1.2980,1.29800,1.000
1,1.550,0.01,1.3079,1.30790,1.000
1,1.560,0.03,1.3179,1.31790,1.000
1,1.570,0.02,1.3278,1.32780,1.000
1,1.580,0.03,1.3380,1.33800,1.000
1,1.590,0.03,1.3480,1.34800,1.000
1,1.600,0.02,1.3579,1.35790,1.000
1,1.610,0.02,1.3678,1.36780,1.000
1,1.620,0.02,1.3780,1.37800,1.000
1,1.630,0.02,1.3879,1.38790,1.000
1,1.640,0.02,1.3979,1.39790,1.000
1,1.650,0.01,1.4078,1.40780,1.000
1,1.660,0.02,1.4180,1.41800,1.000
1,1.670,0.01,1.4280,1.42800,1.000
1,1.680,0.02,1.4378,1.43780,1.000
1,1.690,0.02,1.4478,1.44780,1.000
1,1.700,0.02,1.4580,1.45800,1.000
1,1.710,0.03,1.4679,1.46790,1.000
1,1.720,0.02,1.4778,1.47780,1.000
1,1.730,0.01,1.4878,1.48780,1.000
1,1.740,0.02,1.4979,1.49790,1.000
1,1.750,0.02,1.5079,1.50790,1.000
1,1.760,0.00,1.5178,1.51780,1.000
1,1.770,0.02,1.5279,1.52790,1.000
1,1.780,0.02,1.5379,1.53790,1.000
1,1.790,0.01,1.5480,1.54800,1.000
1,1.800,0.02,1.5578,1.55780,1.000
1,1.810,0.02,1.5678,1.56780,1.000
1,1.820,0.01,1.5778,1.57780,1.000
1,1.830,0.03,1.5879,1.58790,1.000
1,1.840,0.02,1.5978,1.59780,1.000
1,1.850,0.03,1.6077,1.60770,1.000
1,1.860,0.02,1.6179,1.61790,1.000
1,1.870,0.01,1.6279,1.62790,1.000
1,1.880,0.02,1.6378,1.63780,1.000
1,1.890,0.02,1.6478,1.64780,1.000
1,1.900,0.02,1.6578,1.65780,1.000
1,1.910,0.01,1.6679,1.66790,1.000
1,1.920,0.02,1.6778,1.67780,1.000
1,1.930,0.02,1.6877,1.68770,1.000
1,1.940,0.02,1.6979,1.69790,1.000
1,1.950,0.01,1.7079,1.70790,1.000
1,1.960,0.03,1.7178,1.71780,1.000
1,1.970,0.02,1.7278,1.72780,1.000
1,1.980,0.03,1.7379,1.73790,1.000
1,1.990,0.01,1.7480,1.74800,1.000
1,2.000,0.03,1.7577,1.75770,1.000
1,2.010,0.01,1.7678,1.76780,1.000
1,2.020,0.00,1.7778,1.77780,1.000
1,2.030,0.02,1.7879,1.78790,1.000
1,2.040,0.01,1.7977,1.79770,1.000
1,2.050,0.03,1.8078,1.80780,1.000
1,2.060,0.02,1.8179,1.81790,1.000
1,2.070,0.02,1.8280,1.82800,1.000
1,2.080,0.02,1.8378,1.83780,1.000
1,2.090,0.03,1.8478,1.84780,1.000
1,2.100,0.03,1.8578,1.85780,1.000
1,2.110,0.02,1.8680,1.86800,1.000
1,2.120,0.01,1.8778,1.87780,1.000
1,2.130,0.00,1.8879,1.88790,1.000
1,2.140,0.03,1.8979,1.89790,1.000
1,2.150,0.02,1.9079,1.90790,1.000
1,2.160,0.02,1.9179,1.91790,1.000
1,2.170,0.01,1.9278,1.92780,1.000
1,2.180,0.02,1.9379,1.93790,1.000
1,2.190,0.01,1.9479,1.94790,1.000
1,2.200,0.01,1.9578,1.95780,1.000
1,2.210,0.02,1.9678,1.96780,1.000
1,2.220,0.02,1.9780,1.97800,1.000
1,2.230,0.02,1.9879,1.98790,1.000
1,2.240,0.02,1.9978,1.99780,1.000
1,2.250,0.02,2.0078,2.00780,1.000
1,2.260,0.02,2.0180,2.01800,1.000
1,2.270,0.03,2.0279,2.02790,1.000
1,2.280,0.02,2.0378,2.03780,1.000
1,2.290,0.02,2.0479,2.04790,1.000
1,2.300,0.02,2.0579,2.05790,1.000
1,2.310,0.03,2.0680,2.06800,1.000
1,2.320,0.02,2.0778,2.07780,1.000
1,2.330,0.02,2.0879,2.08790,1.000
1,2.340,0.03,2.0979,2.09790,1.000
1,2.350,0.02,2.1081,2.10810,1.000
1,2.360,0.03,2.1179,2.11790,1.000
1,2.370,0.02,2.1280,2.12800,1.000
1,2.380,0.01,2.1380,2.13800,1.000
1,2.390,0.02,2.1481,2.14810,1.000
1,2.400,0.02,2.1579,2.15790,1.000
1,2.410,0.02,2.1680,2.16800,1.000
1,2.420,0.01,2.1780,2.17800,1.000
1,2.430,0.01,2.1882,2.18820,1.000
1,2.440,0.02,2.1979,2.19790,1.000
1,2.450,0.03,2.2080,2.20800,1.000
1,2.460,0.01,2.2181,2.21810,1.000
1,2.470,0.02,2.2281,2.22810,1.000
1,2.480,0.03,2.2379,2.23790,1.000
1,2.490,0.02,2.2480,2.24800,1.000
1,2.500,0.00,2.2580,2.25800,1.000
1,2.510,0.03,2.2681,2.26810,1.000
1,2.520,0.01,2.2779,2.27790,1.000
1,2.530,0.02,2.2878,2.28780,1.000
1,2.540,0.00,2.2979,2.29790,1.000
1,2.550,0.03,2.3079,2.30790,1.000
1,2.560,0.01,2.3177,2.31770,1.000
1,2.570,0.02,2.3277,2.32770,1.000
1,2.580,0.03,2.3377,2.33770,1.000
1,2.590,0.03,2.3478,2.34780,1.000
1,2.600,0.01,2.3576,2.35760,1.000
1,2.610,0.01,2.3677,2.36770,1.000
1,2.620,0.02,2.3778,2.37780,1.000
1,2.630,0.02,2.3878,2.38780,1.000
1,2.640,0.02,2.3978,2.39780,1.000
1,2.650,0.02,2.4076,2.40760,1.000
1,2.660,0.02,2.4178,2.41780,1.000
1,2.670,0.02,2.4278,2.42780,1.000
1,2.680,0.01,2.4378,2.43780,1.000
1,2.690,0.02,2.4477,2.44770,1.000
1,2.700,0.01,2.4579,2.45790,1.000
1,2.710,0.02,2.4680,2.46800,1.000
1,2.720,0.02,2.4778,2.47780,1.000
1,2.730,0.02,2.4879,2.48790,1.000
1,2.740,0.03,2.4979,2.49790,1.000
1,2.750,0.02,2.5081,2.50810,1.000
1,2.760,0.03,2.5178,2.51780,1.000
1,2.770,0.01,2.5279,2.52790,1.000
1,2.780,0.02,2.5379,2.53790,1.000
1,2.790,0.01,2.5481,2.54810,1.000
1,2.800,0.03,2.5578,2.55780,1.000
1,2.810,0.03,2.5679,2.56790,1.000
1,2.820,0.01,2.5780,2.57800,1.000
1,2.830,0.02,2.5879,2.58790,1.000
1,2.840,0.02,2.5979,2.59790,1.000
1,2.850,0.01,2.6078,2.60780,1.000
1,2.860,0.01,2.6180,2.61800,1.000
