""
"Test Method","Radhen_Load_Cntrl_Cmprsn_250N_12-7.msm"
"Sample I. D.","Sample1.mss"
"Specimen Number","21"

"TheCycle_Output ()","_Time (s)","_Load (N)","_Extension (mm)","RealTimeDepth (mm)","CycleNumber ()"

0,0.180,0.00,0.0000,0.00000,0.000
1,0.190,0.00,0.0000,0.00000,1.000
1,0.210,0.01,0.0000,0.00000,1.000
1,0.220,0.00,0.0000,0.00000,1.000
1,0.230,0.01,0.0000,0.00000,1.000
1,0.240,0.00,0.0012,0.00120,1.000
1,0.250,0.01,0.0055,0.00550,1.000
1,0.260,0.00,0.0120,0.01200,1.000
1,0.270,0.00,0.0214,0.02140,1.000
1,0.280,0.01,0.0320,0.03200,1.000
1,0.290,0.01,0.0415,0.04150,1.000
1,0.300,0.00,0.0516,0.05160,1.000
1,0.310,0.01,0.0615,0.06150,1.000
1,0.320,0.00,0.0718,0.07180,1.000
1,0.330,0.01,0.0815,0.08150,1.000
1,0.340,0.01,0.0916,0.09160,1.000
1,0.350,0.00,0.1015,0.10150,1.000
1,0.360,0.00,0.1118,0.11180,1.000
1,0.370,0.01,0.1215,0.12150,1.000
1,0.380,0.01,0.1316,0.13160,1.000
1,0.390,0.01,0.1416,0.14160,1.000
1,0.400,0.00,0.1518,0.15180,1.000
1,0.410,0.00,0.1615,0.16150,1.000
1,0.420,0.00,0.1716,0.17160,1.000
1,0.430,0.00,0.1816,0.18160,1.000
1,0.440,0.00,0.1918,0.19180,1.000
1,0.450,0.01,0.2015,0.20150,1.000
1,0.460,0.00,0.2116,0.21160,1.000
1,0.470,0.00,0.2216,0.22160,1.000
1,0.480,0.00,0.2317,0.23170,1.000
1,0.490,0.01,0.2416,0.24160,1.000
1,0.500,0.01,0.2516,0.25160,1.000
1,0.510,0.00,0.2616,0.26160,1.000
1,0.520,0.00,0.2718,0.27180,1.000
1,0.530,0.00,0.2816,0.28160,1.000
1,0.540,0.01,0.2916,0.29160,1.000
1,0.550,0.01,0.3017,0.30170,1.000
1,0.560,0.00,0.3117,0.31170,1.000
1,0.570,0.00,0.3218,0.32180,1.000
1,0.580,0.00,0.3316,0.33160,1.000
1,0.590,0.00,0.3418,0.34180,1.000
1,0.600,0.00,0.3518,0.35180,1.000
