Loop Time (ms)	IR (16 bit)	Force (N)
259	10688	1533.83
55	10696	1533.96
64	10694	1533.96
65	10692	1533.83
79	10691	1533.83
64	10693	1533.83
64	10696	1533.96
64	10697	1533.96
64	10694	1533.96
64	10693	1533.96
64	10696	1533.96
64	10698	1533.96
64	10692	1533.96
64	10697	1533.83
63	10698	1533.83
65	10696	1533.96
80	10694	1533.96
64	10692	1533.96
63	10694	1533.96
65	10696	1533.96
64	10694	1533.83
63	10691	1533.96
65	10696	1533.96
64	10699	1533.96
64	10694	1533.96
63	10695	1533.96
64	10696	1534.08
65	10695	1533.96
63	10695	1533.96
81	10696	1533.83
63	10695	1533.96
64	10698	1533.96
64	10693	1533.96
64	10695	1533.96
64	10694	1533.83
64	10702	1533.96
64	10696	1533.83
64	10697	1533.96
64	10693	1533.83
64	10697	1533.96
64	10695	1533.96
80	10698	1533.96
64	10694	1533.96
64	10695	1533.96
64	10697	1533.96
64	10695	1533.96
63	10695	1533.96
65	10699	1533.96
63	10696	1533.96
64	10693	1533.83
64	10694	1533.96
64	10695	1533.83
64	10698	1533.96
81	10700	1533.96
63	10697	1533.96
64	10695	1534.08
64	10695	1533.83
65	10698	1533.83
63	10693	1533.96
64	10696	1533.96
64	10696	1533.83
64	10694	1533.96
64	10696	1533.96
64	10695	1533.96
64	10694	1533.96
80	10698	1533.96
64	10699	1533.96
64	10696	1534.08
64	10696	1533.83
64	10696	1533.96
64	10695	1533.96
64	10694	1533.96
64	10697	1533.96
64	10696	1533.96
64	10699	1533.96
64	10693	1533.96
64	10698	1533.96
80	10697	1533.96
63	10695	1533.96
64	10694	1533.96
64	10699	1533.96
64	10691	1534.08
64	10698	1533.96
64	10697	1533.96
64	10699	1533.96
65	10696	1533.96
63	10700	1533.96
64	10697	1533.96
64	10696	1533.96
80	10693	1533.96
65	10699	1533.96
64	10699	1533.96
63	10699	1533.96
65	10698	1533.96
63	10699	1533.96
64	10697	1533.96
65	10693	1533.96
63	10700	1533.96
64	10698	1533.96
64	10697	1533.83
63	10697	1533.96
81	10694	1533.96
64	10698	1533.96
63	10696	1533.96
65	10692	1533.96
63	10698	1533.96
65	10696	1533.96
64	10698	1534.08
63	10698	1533.96
64	10700	1533.96
65	10698	1533.96
63	10700	1533.96
65	10695	1533.96
80	10694	1533.96
64	10693	1533.96
64	10698	1533.96
63	10697	1533.96
64	10702	1533.96
64	10696	1533.96
64	10699	1533.96
64	10698	1533.96
64	10700	1533.96
64	10698	1533.96
65	10700	1533.96
63	10698	1533.96
80	10697	1533.96
64	10697	1533.96
64	10694	1533.96
64	10699	1533.96
64	10699	1534.08
64	10695	1533.96
63	10701	1533.96
65	10695	1533.96
64	10696	1533.96
64	10696	1533.96
64	10699	1534.08
64	10698	1533.96
80	10701	1533.96
64	10697	1533.96
64	10701	1533.96
63	10697	1533.96
64	10696	1533.96
64	10697	1533.96
64	10700	1533.96
64	10698	1533.96
64	10703	1533.96
65	10698	1533.96
63	10703	1533.96
64	10699	1533.96
81	10701	1533.96
64	10701	1533.96
64	10700	1533.96
64	10698	1533.96
63	10698	1533.96
64	10697	1533.96
64	10700	1533.96
64	10696	1533.96
64	10701	1533.96
64	10699	1533.96
64	10702	1533.96
64	10697	1533.96
80	10699	1534.08
64	10699	1533.96
64	10696	1534.08
64	10700	1534.08
64	10700	1533.96
63	10698	1533.96
64	10697	1534.08
64	10701	1533.96
64	10701	1534.08
64	10693	1533.96
64	10698	1533.96
64	10699	1533.96
80	10701	1533.83
64	10704	1533.96
64	10699	1533.96
64	10699	1533.96
64	10700	1534.08
65	10701	1533.96
63	10696	1533.96
64	10702	1533.96
64	10698	1534.08
65	10698	1533.96
63	10698	1534.08
64	10700	1533.96
80	10699	1533.96
64	10698	1533.96
64	10700	1533.83
64	10704	1534.08
64	10722	1533.83
64	10735	1534.08
64	10746	1533.96
64	10761	1533.96
64	10777	1533.96
63	10796	1533.96
65	10807	1533.96
64	10821	1533.96
79	10841	1533.96
64	10861	1533.96
64	10879	1533.83
64	10903	1533.96
64	10922	1533.96
65	10941	1533.83
64	10962	1533.83
63	10985	1533.96
65	11001	1533.96
64	11027	1533.96
63	11045	1534.08
64	11072	1533.96
64	11100	1533.83
81	11124	1534.08
64	11149	1533.96
63	11180	1533.96
64	11204	1533.96
65	11235	1534.08
64	11258	1533.96
63	11294	1533.96
64	11315	1533.96
64	11343	1533.96
64	11379	1534.08
64	11411	1534.08
64	11450	1533.96
80	11479	1533.96
64	11516	1534.08
64	11551	1533.96
64	11593	1534.08
64	11634	1534.08
64	11680	1534.08
64	11718	1534.08
63	11766	1533.96
65	11806	1533.96
63	11859	1533.96
65	11910	1533.96
64	11957	1533.96
80	12010	1533.96
63	12064	1534.08
64	12106	1534.21
64	12159	1534.6
64	12214	1534.98
64	12265	1535.49
65	12329	1536
64	12393	1536.64
63	12459	1537.15
64	12412	1536.64
64	12347	1536
65	12281	1535.49
79	12221	1534.98
64	12175	1534.6
64	12120	1534.47
64	12074	1534.21
64	12028	1534.21
64	11974	1534.21
64	11928	1534.21
64	11875	1534.21
64	11825	1534.08
64	11781	1534.08
63	11736	1533.96
65	11692	1534.08
79	11647	1534.08
65	11614	1534.08
64	11570	1534.08
63	11533	1533.96
65	11498	1534.08
64	11461	1534.08
64	11423	1534.08
63	11390	1534.08
64	11361	1534.08
64	11331	1534.08
64	11298	1533.96
64	11271	1534.08
81	11244	1534.08
63	11212	1533.96
64	11189	1534.08
64	11162	1533.96
66	11138	1534.08
63	11107	1534.08
64	11085	1533.96
63	11068	1534.08
64	11035	1534.08
64	11011	1533.96
64	10990	1534.08
65	10973	1533.96
79	10948	1534.08
64	10928	1534.08
64	10908	1534.08
64	10890	1534.08
64	10870	1534.08
64	10850	1534.08
64	10834	1533.96
63	10815	1534.08
64	10799	1534.08
64	10785	1534.08
64	10765	1533.96
64	10754	1534.08
80	10742	1534.08
64	10724	1534.08
64	10708	1534.08
65	10698	1533.96
64	10702	1534.08
64	10707	1534.08
64	10704	1534.08
63	10704	1534.08
64	10705	1534.08
65	10702	1534.08
63	10700	1534.08
64	10701	1533.96
81	10702	1534.08
63	10704	1534.08
64	10702	1534.08
64	10700	1533.96
79	10703	1534.08
49	10703	1533.96
63	10703	1534.08
65	10705	1534.08
64	10702	1534.08
64	10704	1534.08
63	10703	1534.08
64	10702	1534.08
81	10703	1533.96
64	10701	1534.08
64	10704	1534.08
63	10701	1534.08
65	10701	1534.08
63	10700	1534.08
64	10700	1533.96
64	10703	1534.08
65	10704	1534.21
63	10705	1534.08
65	10704	1534.08
64	10700	1533.96
80	10704	1534.08
95	10701	1534.08
32	10702	1533.96
64	10705	1533.96
64	10703	1534.08
64	10701	1534.08
64	10702	1534.08
64	10707	1534.08
64	10702	1534.08
64	10706	1534.08
64	10704	1534.08
64	10704	1533.96
83	10705	1534.08
61	10707	1534.08
63	10706	1533.96
64	10702	1534.08
65	10707	1534.08
65	10707	1534.08
63	10704	1534.21
64	10702	1534.08
65	10705	1533.96
62	10703	1534.08
64	10705	1534.08
65	10707	1534.08
79	10703	1534.08
66	10701	1533.96
62	10702	1534.08
65	10705	1534.08
63	10705	1534.08
64	10704	1534.08
64	10707	1534.08
64	10705	1534.08
64	10705	1534.08
64	10704	1534.08
64	10704	1534.08
64	10704	1533.96
65	10700	1534.08
79	10705	1534.08
64	10705	1534.08
64	10703	1534.08
64	10704	1534.08
64	10701	1534.08
65	10704	1534.08
63	10706	1534.08
69	10701	1534.08
59	10701	1534.08
64	10706	1534.08
96	10707	1534.08
32	10705	1533.96
80	10706	1534.08
64	10703	1534.08
64	10703	1534.08
64	10705	1534.08
63	10705	1534.08
64	10708	1534.21
64	10701	1534.08
65	10704	1534.08
63	10703	1534.08
65	10706	1534.21
63	10703	1533.96
65	10705	1534.08
79	10709	1534.08
65	10706	1534.08
63	10711	1534.08
64	10728	1534.08
65	10740	1534.08
63	10755	1534.08
65	10771	1533.96
63	10788	1534.08
64	10801	1534.08
65	10819	1534.08
63	10829	1534.08
64	10854	1534.08
80	10875	1533.96
64	10894	1534.08
64	10911	1534.08
64	10932	1533.96
64	10948	1533.96
64	10973	1533.96
64	10991	1534.08
64	11010	1534.08
64	11037	1534.08
64	11058	1534.08
64	11085	1534.08
64	11110	1533.96
79	11137	1533.96
65	11164	1534.08
64	11191	1533.96
63	11215	1534.08
64	11242	1533.96
64	11278	1534.08
65	11300	1534.21
64	11333	1533.96
63	11362	1534.21
64	11398	1534.21
64	11426	1534.08
64	11461	1533.96
80	11497	1534.08
64	11534	1534.08
64	11572	1534.08
64	11610	1534.08
64	11649	1534.08
64	11696	1533.96
63	11736	1534.08
65	11784	1534.08
64	11835	1534.21
64	11874	1534.08
64	11922	1534.21
64	11977	1534.08
80	12029	1534.21
64	12081	1534.34
64	12125	1534.34
64	12177	1534.72
63	12235	1535.11
65	12290	1535.62
64	12352	1536.13
63	12417	1536.9
65	12465	1537.41
63	12411	1536.77
64	12339	1535.87
64	12280	1535.49
80	12220	1534.98
64	12167	1534.6
65	12118	1534.34
63	12078	1534.21
65	12026	1534.08
63	11971	1534.21
64	11922	1534.08
64	11871	1534.08
65	11826	1534.08
63	11780	1534.21
64	11730	1534.08
64	11685	1534.08
79	11649	1534.08
65	11606	1534.08
64	11571	1534.21
64	11526	1534.08
64	11496	1534.08
64	11456	1534.21
63	11427	1534.08
64	11393	1534.08
65	11364	1534.08
64	11325	1534.21
64	11294	1534.08
63	11274	1533.96
81	11241	1534.08
64	11220	1534.21
63	11195	1534.08
65	11164	1534.08
63	11140	1534.08
64	11115	1534.08
65	11084	1534.08
63	11058	1534.08
64	11037	1534.08
64	11015	1534.08
64	11000	1534.08
65	10973	1534.21
79	10952	1534.21
64	10933	1534.21
64	10907	1534.21
64	10892	1534.08
64	10875	1534.08
63	10858	1534.21
65	10837	1534.08
64	10820	1534.21
64	10802	1534.21
64	10789	1534.08
64	10771	1534.08
64	10758	1534.08
79	10745	1534.08
64	10728	1534.21
64	10716	1534.08
65	10702	1534.08
64	10705	1534.08
64	10712	1534.08
64	10707	1534.08
64	10707	1534.21
63	10710	1534.08
65	10706	1534.08
63	10711	1534.21
64	10712	1534.08
81	10709	1534.08
63	10708	1534.21
64	10708	1534.21
64	10708	1534.21
64	10712	1534.21
64	10709	1534.21
64	10707	1534.21
64	10706	1534.08
64	10706	1534.08
63	10708	1534.08
65	10711	1534.08
64	10704	1534.08
80	10709	1534.08
64	10707	1534.21
64	10710	1534.08
63	10707	1534.08
64	10708	1533.96
64	10706	1533.96
64	10709	1534.08
65	10708	1534.08
64	10705	1534.08
64	10708	1534.08
63	10707	1534.21
64	10707	1534.08
80	10712	1534.21
65	10712	1534.08
63	10714	1534.21
64	10712	1534.21
64	10708	1534.08
64	10709	1534.08
64	10706	1534.21
64	10708	1534.08
64	10706	1534.08
64	10709	1534.08
64	10708	1534.21
65	10707	1534.08
63	10711	1534.08
80	10712	1534.08
64	10711	1534.08
65	10711	1534.08
63	10709	1534.08
64	10710	1534.21
64	10708	1534.34
64	10708	1534.08
63	10705	1534.21
64	10706	1534.08
65	10707	1534.08
63	10708	1534.21
65	10710	1534.21
80	10710	1534.08
64	10707	1534.08
63	10708	1534.08
64	10708	1534.08
65	10709	1534.08
64	10709	1534.21
63	10710	1534.21
64	10709	1534.21
65	10709	1534.08
64	10710	1534.21
63	10708	1534.21
64	10709	1534.08
80	10713	1534.21
64	10708	1534.21
64	10707	1534.21
64	10709	1534.08
65	10709	1534.08
63	10709	1534.21
64	10711	1534.21
64	10709	1534.08
64	10710	1534.08
64	10715	1534.21
64	10711	1534.08
64	10708	1534.21
80	10706	1534.08
64	10712	1534.08
64	10710	1534.08
64	10712	1534.08
64	10710	1533.96
63	10709	1534.21
65	10709	1534.21
64	10712	1534.21
64	10712	1534.08
64	10709	1534.08
63	10709	1534.08
64	10707	1534.34
80	10712	1534.21
65	10715	1534.21
63	10727	1534.08
65	10747	1534.08
63	10756	1534.08
65	10770	1534.08
63	10790	1534.08
64	10806	1534.08
64	10819	1534.08
65	10842	1534.08
63	10852	1534.21
64	10878	1534.08
80	10884	1534.08
64	10905	1534.21
63	10930	1534.21
65	10947	1534.21
64	10970	1534.21
64	10997	1534.21
64	11013	1534.08
64	11034	1534.21
64	11061	1534.21
63	11083	1534.21
65	11116	1534.21
64	11136	1534.21
80	11160	1534.08
63	11193	1534.08
64	11214	1534.08
65	11244	1534.08
63	11274	1534.08
65	11303	1534.08
63	11333	1534.08
65	11358	1534.21
63	11392	1534.08
65	11427	1534.21
63	11462	1534.08
64	11496	1534.21
80	11542	1534.21
64	11568	1534.21
64	11609	1534.21
65	11652	1534.08
63	11693	1534.21
64	11740	1534.21
64	11781	1534.21
64	11826	1534.21
64	11876	1534.08
63	11926	1534.08
65	11975	1534.21
64	12027	1534.21
80	12080	1534.21
64	12125	1534.47
63	12178	1534.72
65	12225	1535.11
63	12284	1535.62
64	12345	1536.26
65	12411	1536.77
64	12478	1537.66
63	12448	1537.15
64	12374	1536.39
64	12314	1535.75
64	12251	1535.23
80	12196	1534.85
64	12147	1534.6
65	12097	1534.47
63	12052	1534.21
64	12000	1534.34
64	11949	1534.21
64	11899	1534.34
65	11850	1534.21
63	11799	1534.08
64	11761	1534.21
64	11714	1534.08
64	11672	1534.21
80	11627	1534.34
64	11589	1534.08
64	11552	1534.21
64	11510	1534.21
64	11483	1534.21
64	11443	1534.21
63	11413	1534.08
65	11378	1534.21
64	11352	1534.21
64	11321	1534.21
63	11293	1534.21
64	11264	1534.08
80	11235	1534.21
64	11202	1534.21
64	11181	1534.21
65	11152	1534.21
63	11128	1534.21
64	11100	1534.08
64	11074	1534.08
64	11050	1534.21
64	11025	1534.21
64	11003	1534.21
65	10988	1534.21
63	10964	1534.21
80	10947	1534.08
64	10926	1534.21
64	10900	1534.21
64	10888	1534.21
64	10869	1534.08
64	10851	1534.21
64	10834	1534.21
64	10814	1534.08
63	10801	1534.21
64	10785	1534.08
64	10766	1534.21
65	10743	1534.08
79	10739	1534.21
65	10726	1534.21
63	10710	1534.08
65	10705	1534.21
63	10715	1534.21
64	10714	1534.08
64	10711	1534.21
65	10714	1534.21
63	10711	1534.08
64	10714	1534.21
64	10712	1534.21
64	10716	1534.21
80	10716	1534.21
65	10721	1534.21
63	10711	1534.21
65	10711	1534.21
63	10718	1534.08
64	10716	1534.08
64	10717	1534.21
64	10714	1534.08
64	10714	1534.21
65	10716	1534.21
63	10714	1534.21
63	10716	1534.21
81	10711	1534.08
63	10713	1534.34
65	10718	1534.21
64	10712	1534.08
64	10717	1534.21
64	10714	1534.21
63	10715	1534.08
64	10712	1534.34
65	10716	1534.08
