time	IR (20)	baro(20)
265724	18535	1570.25
312004	18535	1570.38
358256	18540	1570.25
404532	18530	1570.38
450796	18537	1570.38
497072	18526	1570.38
543344	18534	1570.38
589624	18536	1570.25
635884	18530	1570.38
682168	18533	1570.25
728452	18528	1570.25
774716	18529	1570.25
820980	18532	1570.38
867236	18536	1570.25
913504	18533	1570.38
959776	18531	1570.38
6036	18533	1570.25
52300	18533	1570.25
98564	18536	1570.38
144832	18530	1570.25
191108	18532	1570.25
237400	18533	1570.38
283672	18526	1570.38
329936	18537	1570.38
376208	18525	1570.25
422484	18525	1570.25
468752	18527	1570.25
515012	18528	1570.25
561276	18538	1570.38
607532	18528	1570.25
653808	18537	1570.25
700080	18525	1570.38
746344	18537	1570.25
792620	18528	1570.25
838900	18528	1570.25
885164	18524	1570.25
931448	18522	1570.25
977736	18527	1570.25
24000	18526	1570.38
70268	18527	1570.25
116544	18529	1570.12
162812	18534	1570.38
209080	18528	1570.25
255348	18530	1570.25
301616	18521	1570.25
347872	18527	1570.12
394152	18525	1570.25
440428	18534	1570.12
486696	18530	1570.25
532968	18527	1570.25
579252	18535	1570.25
625512	18531	1570.12
671788	18531	1570.25
718080	18524	1570.25
764348	18526	1570.25
810608	18527	1570.25
856872	18520	1570.25
903140	18528	1570.25
949408	18523	1570.25
995668	18524	1570.12
41932	18531	1570.12
88196	18521	1570.25
134468	18529	1570.25
180736	18516	1570.12
227028	18527	1570.25
273308	18528	1570.25
319576	18524	1570.12
365848	18523	1570.25
412128	18521	1570.12
458392	18523	1570.25
504656	18526	1570.25
550920	18522	1570.12
597188	18514	1570.12
643460	18525	1570.12
689728	18516	1570.25
735992	18527	1570.12
782264	18572	1570.25
828540	18609	1570.25
874804	18654	1569.99
921080	18700	1569.99
967380	18740	1570.25
13656	18786	1570.12
59924	18839	1570.12
106200	18889	1570.12
152472	18940	1570.12
198736	18988	1570.12
245000	19029	1570.12
291280	19089	1570.12
337540	19144	1569.99
383816	19196	1570.12
430068	19257	1569.99
476336	19309	1570.12
522608	19376	1570.12
568888	19434	1570.12
615152	19500	1569.99
661436	19566	1569.99
707716	19635	1570.12
753980	19703	1569.99
800252	19775	1570.12
846516	19842	1569.99
892792	19929	1570.12
939060	20003	1570.12
985336	20083	1570.25
31604	20161	1570.78
77860	20246	1571.96
124144	20316	1573.8
170412	20394	1576.16
216676	20486	1578.78
262952	20560	1581.8
309224	20652	1585.35
355484	20745	1588.89
401760	20842	1592.83
448016	20946	1596.9
494284	21061	1603.07
540552	21186	1607
586816	21331	1611.07
633076	21496	1615.8
679348	21674	1620.92
725612	21903	1626.43
771884	22165	1632.2
818164	22473	1638.11
864424	22785	1644.54
910700	23095	1651.5
956968	23344	1658.58
3228	23517	1665.54
49504	23570	1672.89
95772	23555	1680.9
142040	23483	1689.17
188304	23370	1697.96
234568	23230	1707.54
280836	23059	1717.65
327096	22878	1727.49
373360	22655	1737.47
419640	22430	1748.36
465928	22235	1759.25
512196	22045	1770.28
558468	21868	1782.09
604752	21663	1793.64
651016	21432	1805.98
697284	21186	1818.45
743552	21020	1831.44
789816	20767	1844.3
836072	20489	1856.64
882348	20297	1869.63
928616	20289	1883.42
974888	20346	1897.07
21160	20371	1911.77
67428	20520	1926.33
113700	20633	1940.9
159976	20818	1956
206248	21088	1971.62
252504	21337	1987.76
298776	21472	1995.63
345040	21587	1963.74
391316	21576	1915.57
437584	21561	1879.87
483848	21534	1850.34
530120	21524	1824.09
576384	21510	1800.86
622648	21515	1779.2
668920	21527	1759.78
715220	21549	1742.06
761496	21567	1725.65
807760	21620	1710.82
854036	21640	1697.17
900304	21686	1685.23
946572	21714	1674.47
992832	21743	1664.49
39096	21806	1655.57
85400	21833	1647.69
131720	21868	1640.6
178032	21889	1634.17
224336	21934	1628.53
270628	21916	1623.41
316936	21840	1618.68
363264	21736	1614.35
409572	21586	1610.02
455880	21210	1605.82
502176	20924	1601.62
548488	20737	1598.08
594800	20524	1594.67
641108	20356	1591.65
687408	20199	1589.28
733712	20006	1587.71
780036	19811	1585.87
826352	19646	1583.38
872660	19509	1580.62
918960	19386	1578.13
965280	19265	1575.24
1011604	19152	1572.75
1057932	19048	1570.52
1104252	18954	1568.15
1150572	18855	1566.58
1196884	18765	1565.27
1243196	18611	1564.08
1289496	18418	1562.9
1335800	18230	1561.85
1382128	18039	1561.59
1428440	17852	1561.46
1474748	17625	1561.33
1521048	17385	1561.33
1567368	17213	1561.33
1613684	17069	1561.46
1659996	16934	1561.46
1706300	16798	1561.46
1752604	16672	1561.46
1798924	16558	1561.33
1845232	16452	1561.46
1891540	16374	1561.59
1937844	16253	1561.59
1984156	16097	1561.59
2030468	15956	1561.72
2076788	15842	1561.72
2123112	15736	1561.72
2169444	15643	1561.85
2215760	15563	1561.85
2262072	15481	1561.85
2308376	15406	1561.85
2354688	15327	1561.98
2401016	15253	1561.98
2447324	15178	1561.98
2493632	15104	1561.98
2539936	15040	1561.98
2586248	14979	1561.98
2632560	14925	1562.25
2678880	14863	1562.12
