Loop Time (ms)	IR (16 bit)	Force (N)
259	11060	1545.46
69	11062	1545.46
64	11061	1545.33
64	11060	1545.46
64	11057	1545.46
64	11059	1545.46
64	11060	1545.46
79	11059	1545.46
64	11062	1545.46
65	11067	1545.46
64	11059	1545.46
64	11055	1545.46
63	11061	1545.46
65	11059	1545.33
64	11060	1545.33
64	11056	1545.59
63	11059	1545.33
65	11058	1545.46
63	11059	1545.46
80	11060	1545.46
64	11059	1545.46
65	11059	1545.46
63	11057	1545.46
64	11057	1545.46
64	11064	1545.33
64	11057	1545.33
64	11060	1545.46
65	11050	1545.59
63	11059	1545.46
64	11058	1545.46
64	11051	1545.33
80	11060	1545.46
64	11053	1545.46
64	11060	1545.33
64	11058	1545.33
64	11060	1545.46
64	11060	1545.33
64	11053	1545.46
64	11061	1545.33
64	11059	1545.46
64	11057	1545.33
64	11059	1545.46
63	11060	1545.33
81	11058	1545.46
63	11058	1545.46
64	11060	1545.46
64	11059	1545.59
65	11060	1545.46
63	11062	1545.46
65	11056	1545.33
63	11064	1545.33
64	11060	1545.46
66	11060	1545.33
62	11057	1545.59
64	11059	1545.46
80	11058	1545.33
64	11060	1545.46
64	11056	1545.33
64	11052	1545.46
64	11059	1545.33
64	11061	1545.46
64	11058	1545.46
63	11056	1545.33
65	11059	1545.33
64	11061	1545.46
64	11061	1545.33
63	11060	1545.46
81	11056	1545.46
64	11052	1545.33
63	11065	1545.46
65	11059	1545.33
63	11054	1545.46
64	11060	1545.33
65	11054	1545.33
64	11053	1545.46
64	11059	1545.46
63	11059	1545.33
64	11057	1545.46
64	11060	1545.33
81	11057	1545.33
64	11060	1545.46
63	11063	1545.46
64	11053	1545.46
65	11057	1545.46
63	11063	1545.46
64	11061	1545.33
64	11058	1545.46
64	11059	1545.46
64	11059	1545.2
64	11061	1545.33
64	11063	1545.33
80	11058	1545.33
64	11058	1545.33
64	11061	1545.46
64	11055	1545.46
63	11058	1545.46
65	11057	1545.46
64	11056	1545.46
64	11062	1545.33
63	11060	1545.33
64	11060	1545.46
64	11054	1545.33
65	11058	1545.46
79	11055	1545.33
64	11060	1545.46
64	11055	1545.33
64	11059	1545.33
65	11060	1545.46
63	11056	1545.33
65	11058	1545.33
63	11057	1545.46
64	11057	1545.33
64	11057	1545.46
64	11054	1545.46
64	11060	1545.46
80	11056	1545.33
64	11054	1545.46
64	11055	1545.33
63	11060	1545.46
64	11061	1545.46
65	11058	1545.46
64	11059	1545.33
64	11061	1545.46
64	11054	1545.33
64	11054	1545.46
64	11056	1545.46
63	11059	1545.46
81	11054	1545.46
64	11058	1545.33
64	11058	1545.33
63	11051	1545.46
64	11059	1545.46
64	11060	1545.46
64	11060	1545.33
65	11060	1545.46
63	11057	1545.46
64	11054	1545.46
64	11053	1545.46
64	11059	1545.33
80	11059	1545.46
64	11058	1545.46
64	11062	1545.46
64	11054	1545.33
65	11062	1545.46
63	11055	1545.33
64	11058	1545.46
64	11057	1545.46
64	11061	1545.33
63	11056	1545.46
65	11056	1545.33
64	11057	1545.46
63	11059	1545.33
80	11056	1545.33
65	11055	1545.46
63	11055	1545.33
65	11053	1545.46
64	11055	1545.46
63	11057	1545.46
65	11055	1545.33
63	11062	1545.33
64	11057	1545.33
65	11057	1545.33
63	11063	1545.46
64	11063	1545.46
81	11069	1545.46
63	11074	1545.33
64	11078	1545.2
64	11090	1545.33
65	11095	1545.33
63	11102	1545.33
64	11110	1545.46
64	11115	1545.33
63	11126	1545.33
65	11137	1545.33
64	11147	1545.46
64	11147	1545.33
80	11161	1545.46
64	11171	1545.33
64	11168	1545.46
64	11180	1545.33
63	11193	1545.46
65	11198	1545.46
63	11213	1545.46
65	11224	1545.46
64	11233	1545.33
63	11237	1545.33
64	11246	1545.33
65	11262	1545.46
79	11274	1545.33
64	11285	1545.46
64	11299	1545.33
64	11315	1545.33
64	11319	1545.33
64	11334	1545.33
64	11344	1545.46
64	11359	1545.33
64	11372	1545.46
64	11389	1545.46
64	11403	1545.33
64	11415	1545.46
80	11441	1545.46
64	11450	1545.46
64	11467	1545.33
64	11483	1545.46
64	11504	1545.33
63	11522	1545.33
65	11537	1545.33
64	11558	1545.33
63	11577	1545.46
65	11596	1545.46
63	11622	1545.33
64	11650	1545.33
80	11668	1545.33
65	11681	1545.46
64	11714	1545.33
63	11739	1545.33
65	11756	1545.33
63	11790	1545.33
64	11819	1545.46
64	11852	1545.33
65	11873	1545.46
63	11907	1545.33
64	11935	1545.46
65	11965	1545.33
79	11998	1545.33
64	12040	1545.33
64	12069	1545.46
64	12115	1545.46
64	12149	1545.33
64	12188	1545.33
64	12225	1545.46
64	12266	1545.33
64	12309	1545.46
64	12352	1545.33
64	12398	1545.33
63	12440	1545.33
80	12490	1545.33
64	12545	1545.46
64	12601	1545.33
64	12649	1545.46
65	12706	1545.46
64	12764	1545.46
64	12827	1545.33
63	12893	1545.46
65	12955	1545.46
63	13021	1545.46
64	13089	1545.59
65	13170	1545.72
80	13239	1546.1
64	13326	1546.23
63	13418	1546.61
64	13507	1547.12
64	13612	1547.63
64	13720	1548.27
64	13854	1548.91
64	14003	1549.68
64	14143	1550.57
65	14255	1551.72
63	14339	1552.75
64	14362	1553.9
80	14363	1555.17
64	14357	1556.58
64	14358	1557.99
64	14344	1557.22
63	14335	1555.81
65	14360	1554.53
64	14360	1553.38
64	14320	1552.36
64	14213	1551.47
64	14082	1550.57
64	13898	1549.68
63	13741	1548.91
81	13640	1548.4
63	13539	1547.76
65	13451	1547.25
63	13365	1546.87
64	13283	1546.61
64	13207	1546.23
64	13133	1545.97
64	13059	1545.97
64	12991	1545.84
64	12926	1545.72
65	12859	1545.72
63	12798	1545.72
81	12738	1545.72
64	12683	1545.72
63	12625	1545.72
64	12572	1545.59
64	12517	1545.72
64	12465	1545.72
64	12422	1545.59
64	12375	1545.72
64	12328	1545.59
64	12283	1545.59
64	12240	1545.59
63	12202	1545.59
80	12162	1545.46
64	12124	1545.59
65	12088	1545.59
64	12049	1545.46
64	12014	1545.59
63	11983	1545.59
64	11944	1545.59
65	11919	1545.59
64	11884	1545.59
63	11850	1545.59
65	11825	1545.46
63	11800	1545.46
81	11771	1545.59
63	11747	1545.46
65	11721	1545.59
63	11696	1545.46
64	11672	1545.59
64	11650	1545.59
64	11628	1545.46
64	11606	1545.46
64	11578	1545.46
64	11565	1545.46
64	11535	1545.59
64	11520	1545.59
81	11504	1545.46
62	11485	1545.59
65	11470	1545.46
63	11450	1545.46
65	11436	1545.46
64	11418	1545.46
64	11404	1545.46
63	11387	1545.46
65	11373	1545.46
63	11363	1545.46
65	11342	1545.46
64	11332	1545.46
79	11322	1545.59
65	11308	1545.59
63	11295	1545.46
64	11282	1545.46
65	11271	1545.46
64	11262	1545.46
64	11251	1545.46
63	11239	1545.46
65	11223	1545.46
63	11221	1545.46
65	11205	1545.46
63	11198	1545.33
64	11189	1545.46
80	11178	1545.59
64	11170	1545.46
64	11167	1545.33
64	11156	1545.46
63	11147	1545.46
65	11141	1545.46
64	11131	1545.46
63	11122	1545.46
65	11112	1545.46
64	11104	1545.46
63	11102	1545.33
64	11091	1545.46
81	11083	1545.46
63	11079	1545.46
65	11067	1545.33
63	11066	1545.46
65	11064	1545.46
64	11056	1545.33
64	11045	1545.46
64	11047	1545.46
64	11047	1545.46
63	11047	1545.33
64	11048	1545.59
65	11048	1545.46
79	11055	1545.46
64	11053	1545.46
64	11049	1545.46
64	11046	1545.46
64	11053	1545.46
64	11052	1545.46
64	11052	1545.46
64	11050	1545.46
64	11050	1545.46
64	11049	1545.46
64	11053	1545.33
64	11055	1545.46
80	11058	1545.46
64	11049	1545.46
64	11052	1545.33
64	11049	1545.46
64	11054	1545.46
64	11048	1545.46
64	11054	1545.46
64	11051	1545.33
64	11052	1545.33
63	11052	1545.33
64	11048	1545.33
65	11045	1545.33
79	11047	1545.46
64	11053	1545.46
64	11049	1545.46
65	11050	1545.46
63	11050	1545.46
65	11054	1545.33
63	11049	1545.46
64	11045	1545.46
64	11055	1545.33
64	11053	1545.46
64	11051	1545.46
64	11051	1545.33
80	11052	1545.46
64	11049	1545.46
63	11050	1545.33
65	11050	1545.33
63	11047	1545.46
65	11052	1545.46
64	11048	1545.33
64	11056	1545.33
64	11051	1545.46
64	11055	1545.33
64	11055	1545.33
64	11049	1545.33
80	11052	1545.33
63	11058	1545.46
65	11049	1545.33
64	11048	1545.46
64	11053	1545.46
64	11050	1545.33
63	11051	1545.33
65	11050	1545.46
63	11051	1545.33
64	11056	1545.46
64	11053	1545.46
64	11053	1545.33
80	11048	1545.33
65	11051	1545.33
64	11055	1545.46
63	11051	1545.46
64	11042	1545.46
64	11052	1545.46
63	11052	1545.33
65	11051	1545.33
64	11055	1545.46
64	11055	1545.46
64	11052	1545.46
64	11049	1545.46
80	11052	1545.46
63	11049	1545.33
64	11046	1545.46
65	11049	1545.46
63	11047	1545.46
64	11048	1545.33
64	11048	1545.33
64	11053	1545.33
64	11055	1545.33
64	11048	1545.46
65	11053	1545.46
64	11055	1545.33
79	11045	1545.33
64	11048	1545.46
64	11053	1545.33
64	11050	1545.33
64	11046	1545.33
64	11049	1545.33
64	11059	1545.33
65	11066	1545.2
64	11074	1545.46
63	11074	1545.46
64	11079	1545.46
64	11094	1545.46
80	11097	1545.33
64	11106	1545.33
63	11116	1545.33
64	11115	1545.33
64	11129	1545.33
65	11131	1545.33
64	11142	1545.33
63	11147	1545.33
65	11156	1545.33
63	11174	1545.46
65	11173	1545.33
64	11182	1545.33
79	11196	1545.33
64	11206	1545.33
65	11208	1545.33
63	11223	1545.33
64	11231	1545.33
64	11245	1545.33
64	11259	1545.33
65	11271	1545.46
63	11275	1545.46
64	11288	1545.33
65	11302	1545.33
63	11315	1545.33
80	11327	1545.46
64	11341	1545.33
64	11357	1545.2
63	11365	1545.46
65	11378	1545.33
64	11393	1545.2
64	11412	1545.33
64	11433	1545.33
64	11441	1545.33
63	11462	1545.33
64	11476	1545.33
65	11499	1545.33
80	11515	1545.33
64	11532	1545.33
63	11551	1545.33
65	11572	1545.46
63	11591	1545.46
65	11607	1545.33
63	11636	1545.46
64	11661	1545.33
65	11687	1545.2
63	11703	1545.2
64	11734	1545.33
65	11761	1545.33
79	11786	1545.2
64	11809	1545.33
64	11842	1545.33
64	11872	1545.33
64	11905	1545.33
64	11932	1545.33
64	11967	1545.33
64	11998	1545.2
64	12031	1545.33
64	12066	1545.2
64	12105	1545.33
63	12141	1545.33
81	12182	1545.33
63	12220	1545.33
64	12260	1545.33
64	12299	1545.33
65	12345	1545.46
64	12389	1545.46
63	12433	1545.33
64	12488	1545.33
64	12535	1545.33
65	12588	1545.33
63	12642	1545.33
65	12700	1545.2
63	12756	1545.33
80	12820	1545.33
65	12882	1545.46
63	12946	1545.46
64	13019	1545.46
64	13081	1545.59
64	13159	1545.72
64	13232	1546.1
64	13318	1546.23
64	13398	1546.61
64	13492	1547.12
64	13604	1547.63
64	13716	1548.4
80	13843	1549.04
64	14006	1549.81
64	14140	1550.7
64	14255	1551.72
64	14336	1552.75
63	14360	1553.9
64	14358	1555.3
64	14354	1556.58
65	14357	1557.73
64	14346	1556.96
64	14343	1555.43
63	14354	1554.28
80	14360	1553.13
65	14305	1552.11
64	14199	1551.08
63	14051	1550.19
64	13873	1549.55
65	13725	1548.78
63	13621	1548.02
64	13522	1547.5
64	13436	1547.12
65	13353	1546.74
63	13273	1546.48
64	13199	1546.1
80	13126	1545.97
64	13051	1545.84
64	12979	1545.72
64	12910	1545.72
64	12848	1545.59
64	12786	1545.59
64	12725	1545.59
64	12669	1545.46
64	12614	1545.59
64	12559	1545.59
63	12509	1545.59
65	12456	1545.59
80	12407	1545.46
64	12364	1545.46
64	12317	1545.46
63	12276	1545.46
64	12233	1545.46
65	12192	1545.46
64	12154	1545.46
64	12119	1545.46
63	12081	1545.46
65	12037	1545.46
63	12003	1545.46
64	11971	1545.46
81	11939	1545.46
63	11910	1545.59
64	11879	1545.33
64	11848	1545.46
64	11820	1545.46
64	11782	1545.46
64	11767	1545.46
64	11739	1545.46
65	11713	1545.33
63	11695	1545.46
64	11668	1545.33
64	11643	1545.46
80	11619	1545.33
63	11596	1545.46
65	11575	1545.46
63	11553	1545.46
65	11531	1545.33
63	11516	1545.46
64	11495	1545.46
64	11480	1545.46
65	11467	1545.46
63	11451	1545.46
65	11430	1545.33
64	11416	1545.46
79	11401	1545.46
64	11381	1545.46
64	11371	1545.46
64	11350	1545.46
64	11339	1545.33
64	11328	1545.33
64	11316	1545.46
64	11306	1545.33
64	11292	1545.46
65	11282	1545.46
63	11266	1545.33
64	11255	1545.46
80	11248	1545.46
64	11237	1545.33
64	11227	1545.33
64	11214	1545.33
64	11207	1545.33
64	11194	1545.46
64	11182	1545.59
64	11176	1545.46
64	11166	1545.33
64	11159	1545.46
64	11141	1545.46
64	11140	1545.33
79	11137	1545.33
65	11130	1545.46
64	11120	1545.33
64	11114	1545.46
