""
"Test Method","Radhen_Load_Cntrl_Cmprsn_250N_12-7.msm"
"Sample I. D.","Sample1.mss"
"Specimen Number","5"

"TheCycle_Output ()","_Time (s)","_Load (N)","_Extension (mm)","RealTimeDepth (mm)","CycleNumber ()"

1,0.300,0.00,0.0576,0.05760,1.000
1,0.350,0.00,0.1075,0.10750,1.000
1,0.400,0.01,0.1574,0.15740,1.000
1,0.450,0.00,0.2076,0.20760,1.000
1,0.500,0.00,0.2576,0.25760,1.000
1,0.550,0.01,0.3077,0.30770,1.000
1,0.600,0.00,0.3576,0.35760,1.000
1,0.650,0.01,0.4076,0.40760,1.000
1,0.700,0.00,0.4578,0.45780,1.000
1,0.750,0.00,0.5076,0.50760,1.000
1,0.800,0.00,0.5575,0.55750,1.000
1,0.850,0.00,0.6077,0.60770,1.000
1,0.900,0.01,0.6578,0.65780,1.000
1,0.950,0.00,0.7077,0.70770,1.000
1,1.000,0.00,0.7574,0.75740,1.000
1,1.050,0.00,0.8076,0.80760,1.000
1,1.100,0.00,0.8577,0.85770,1.000
1,1.150,0.01,0.9076,0.90760,1.000
1,1.200,0.00,0.9576,0.95760,1.000
1,1.250,0.00,1.0077,1.00770,1.000
1,1.300,0.00,1.0577,1.05770,1.000
1,1.350,0.00,1.1076,1.10760,1.000
1,1.400,0.01,1.1576,1.15760,1.000
1,1.450,0.00,1.2077,1.20770,1.000
1,1.500,0.00,1.2578,1.25780,1.000
1,1.550,0.00,1.3077,1.30770,1.000
1,1.600,0.00,1.3576,1.35760,1.000
1,1.650,0.00,1.4076,1.40760,1.000
1,1.700,0.00,1.4576,1.45760,1.000
1,1.750,0.00,1.5076,1.50760,1.000
1,1.800,0.01,1.5576,1.55760,1.000
1,1.850,0.01,1.6077,1.60770,1.000
1,1.900,0.00,1.6577,1.65770,1.000
1,1.950,0.01,1.7077,1.70770,1.000
1,2.000,0.01,1.7576,1.75760,1.000
1,2.050,0.01,1.8076,1.80760,1.000
1,2.100,0.01,1.8577,1.85770,1.000
1,2.150,0.00,1.9077,1.90770,1.000
1,2.200,0.01,1.9576,1.95760,1.000
1,2.250,0.00,2.0078,2.00780,1.000
1,2.300,0.01,2.0578,2.05780,1.000
1,2.350,0.00,2.1078,2.10780,1.000
1,2.400,0.00,2.1577,2.15770,1.000
1,2.450,0.00,2.2077,2.20770,1.000
1,2.500,0.00,2.2577,2.25770,1.000
1,2.550,0.00,2.3078,2.30780,1.000
1,2.600,0.01,2.3577,2.35770,1.000
