""
"Test Method","Radhen_Load_Cntrl_Cmprsn_250N_12-7.msm"
"Sample I. D.","Sample1.mss"
"Specimen Number","4"

"TheCycle_Output ()","_Time (s)","_Load (N)","_Extension (mm)","RealTimeDepth (mm)","CycleNumber ()"

1,0.250,0.00,0.0157,0.01570,1.000
1,0.300,0.00,0.0658,0.06580,1.000
1,0.350,-0.01,0.1156,0.11560,1.000
1,0.400,-0.01,0.1656,0.16560,1.000
1,0.450,0.00,0.2157,0.21570,1.000
1,0.500,0.00,0.2659,0.26590,1.000
1,0.550,-0.01,0.3158,0.31580,1.000
1,0.600,0.00,0.3658,0.36580,1.000
1,0.650,-0.01,0.4158,0.41580,1.000
1,0.700,-0.01,0.4659,0.46590,1.000
1,0.750,-0.01,0.5158,0.51580,1.000
1,0.800,0.00,0.5658,0.56580,1.000
1,0.850,0.00,0.6158,0.61580,1.000
1,0.900,0.00,0.6660,0.66600,1.000
1,0.950,0.00,0.7158,0.71580,1.000
1,1.000,-0.01,0.7656,0.76560,1.000
1,1.050,0.00,0.8157,0.81570,1.000
1,1.100,0.00,0.8658,0.86580,1.000
1,1.150,0.00,0.9157,0.91570,1.000
1,1.200,-0.01,0.9656,0.96560,1.000
1,1.250,0.00,1.0158,1.01580,1.000
1,1.300,-0.01,1.0659,1.06590,1.000
1,1.350,-0.01,1.1158,1.11580,1.000
1,1.400,0.00,1.1657,1.16570,1.000
1,1.450,0.00,1.2159,1.21590,1.000
1,1.500,-0.01,1.2659,1.26590,1.000
1,1.550,0.00,1.3159,1.31590,1.000
1,1.600,-0.01,1.3657,1.36570,1.000
1,1.650,0.00,1.4157,1.41570,1.000
1,1.700,0.00,1.4658,1.46580,1.000
1,1.750,0.00,1.5158,1.51580,1.000
1,1.800,0.00,1.5657,1.56570,1.000
1,1.850,-0.01,1.6158,1.61580,1.000
1,1.900,-0.01,1.6658,1.66580,1.000
1,1.950,0.00,1.7159,1.71590,1.000
1,2.000,0.00,1.7656,1.76560,1.000
1,2.050,-0.01,1.8158,1.81580,1.000
1,2.100,0.00,1.8659,1.86590,1.000
1,2.150,0.00,1.9159,1.91590,1.000
1,2.200,0.00,1.9658,1.96580,1.000
1,2.250,0.00,2.0157,2.01570,1.000
1,2.300,0.00,2.0660,2.06600,1.000
1,2.350,-0.01,2.1160,2.11600,1.000
1,2.400,-0.01,2.1658,2.16580,1.000
1,2.450,0.00,2.2157,2.21570,1.000
1,2.500,-0.01,2.2659,2.26590,1.000
1,2.550,0.00,2.3160,2.31600,1.000
1,2.600,-0.01,2.3657,2.36570,1.000
1,2.650,-0.01,2.4159,2.41590,1.000
1,2.700,-0.01,2.4658,2.46580,1.000
1,2.750,-0.01,2.5160,2.51600,1.000
1,2.800,-0.01,2.5658,2.56580,1.000
1,2.850,0.00,2.6159,2.61590,1.000
1,2.900,-0.01,2.6659,2.66590,1.000
1,2.950,-0.01,2.7160,2.71600,1.000
1,3.000,0.00,2.7659,2.76590,1.000
1,3.050,0.00,2.8158,2.81580,1.000
1,3.100,0.00,2.8658,2.86580,1.000
1,3.150,-0.01,2.9159,2.91590,1.000
1,3.200,-0.01,2.9658,2.96580,1.000
1,3.250,0.00,3.0158,3.01580,1.000
1,3.300,-0.01,3.0658,3.06580,1.000
1,3.350,0.00,3.1159,3.11590,1.000
1,3.400,-0.01,3.1657,3.16570,1.000
1,3.450,0.00,3.2158,3.21580,1.000
1,3.500,-0.01,3.2659,3.26590,1.000
1,3.550,-0.01,3.3161,3.31610,1.000
1,3.600,-0.01,3.3659,3.36590,1.000
1,3.650,-0.01,3.4158,3.41580,1.000
1,3.700,-0.01,3.4659,3.46590,1.000
1,3.750,-0.01,3.5160,3.51600,1.000
1,3.800,-0.01,3.5658,3.56580,1.000
1,3.850,0.00,3.6158,3.61580,1.000
1,3.900,-0.01,3.6659,3.66590,1.000
1,3.950,-0.01,3.7159,3.71590,1.000
1,4.000,0.00,3.7658,3.76580,1.000
1,4.050,-0.01,3.8158,3.81580,1.000
1,4.100,-0.01,3.8660,3.86600,1.000
1,4.150,-0.01,3.9161,3.91610,1.000
1,4.200,0.00,3.9658,3.96580,1.000
1,4.250,-0.01,4.0159,4.01590,1.000
1,4.300,0.00,4.0660,4.06600,1.000
1,4.350,-0.01,4.1161,4.11610,1.000
1,4.400,-0.01,4.1659,4.16590,1.000
1,4.450,-0.01,4.2159,4.21590,1.000
1,4.500,-0.01,4.2660,4.26600,1.000
1,4.550,-0.01,4.3160,4.31600,1.000
1,4.600,0.00,4.3658,4.36580,1.000
1,4.650,0.02,4.4158,4.41580,1.000
1,4.700,0.07,4.4660,4.46600,1.000
1,4.750,0.08,4.5161,4.51610,1.000
1,4.800,0.11,4.5660,4.56600,1.000
1,4.850,0.20,4.6158,4.61580,1.000
1,4.900,0.31,4.6660,4.66600,1.000
1,4.950,0.43,4.7160,4.71600,1.000
1,5.000,0.57,4.7659,4.76590,1.000
1,5.050,0.74,4.8159,4.81590,1.000
1,5.100,0.94,4.8660,4.86600,1.000
1,5.150,1.16,4.9160,4.91600,1.000
1,5.200,1.42,4.9658,4.96580,1.000
1,5.250,1.70,5.0158,5.01580,1.000
1,5.300,2.02,5.0659,5.06590,1.000
