""
"Test Method","Radhen_Load_Cntrl_Cmprsn_250N_12-7.msm"
"Sample I. D.","Sample1.mss"
"Specimen Number","7"

"TheCycle_Output ()","_Time (s)","_Load (N)","_Extension (mm)","RealTimeDepth (mm)","CycleNumber ()"

1,0.200,0.00,0.0000,0.00000,1.000
1,0.250,0.00,0.0191,0.01910,1.000
1,0.300,0.00,0.0693,0.06930,1.000
1,0.350,0.00,0.1192,0.11920,1.000
1,0.400,0.00,0.1694,0.16940,1.000
1,0.450,0.00,0.2195,0.21950,1.000
1,0.500,0.00,0.2695,0.26950,1.000
1,0.550,0.00,0.3195,0.31950,1.000
1,0.600,0.00,0.3693,0.36930,1.000
1,0.650,0.00,0.4195,0.41950,1.000
1,0.700,0.00,0.4695,0.46950,1.000
1,0.750,0.00,0.5196,0.51960,1.000
1,0.800,0.00,0.5694,0.56940,1.000
1,0.850,0.00,0.6195,0.61950,1.000
1,0.900,0.00,0.6696,0.66960,1.000
1,0.950,0.00,0.7195,0.71950,1.000
1,1.000,0.00,0.7694,0.76940,1.000
1,1.050,0.00,0.8195,0.81950,1.000
1,1.100,0.00,0.8696,0.86960,1.000
1,1.150,0.00,0.9195,0.91950,1.000
1,1.200,0.00,0.9694,0.96940,1.000
1,1.250,0.00,1.0194,1.01940,1.000
1,1.300,0.00,1.0696,1.06960,1.000
1,1.350,0.00,1.1196,1.11960,1.000
1,1.400,0.00,1.1694,1.16940,1.000
1,1.450,0.00,1.2195,1.21950,1.000
1,1.500,0.00,1.2695,1.26950,1.000
1,1.550,0.00,1.3195,1.31950,1.000
1,1.600,0.00,1.3695,1.36950,1.000
1,1.650,0.00,1.4195,1.41950,1.000
1,1.700,0.00,1.4697,1.46970,1.000
1,1.750,0.00,1.5197,1.51970,1.000
1,1.800,0.00,1.5695,1.56950,1.000
1,1.850,0.00,1.6194,1.61940,1.000
1,1.900,0.00,1.6696,1.66960,1.000
1,1.950,0.00,1.7196,1.71960,1.000
1,2.000,0.00,1.7695,1.76950,1.000
1,2.050,0.00,1.8196,1.81960,1.000
1,2.100,0.00,1.8697,1.86970,1.000
1,2.150,0.00,1.9196,1.91960,1.000
1,2.200,0.00,1.9695,1.96950,1.000
1,2.250,0.00,2.0196,2.01960,1.000
1,2.300,0.00,2.0695,2.06950,1.000
1,2.350,0.00,2.1198,2.11980,1.000
1,2.400,0.00,2.1696,2.16960,1.000
1,2.450,0.00,2.2196,2.21960,1.000
1,2.500,0.00,2.2696,2.26960,1.000
1,2.550,0.00,2.3197,2.31970,1.000
1,2.600,0.00,2.3696,2.36960,1.000
1,2.650,0.00,2.4196,2.41960,1.000
1,2.700,0.00,2.4696,2.46960,1.000
1,2.750,0.00,2.5198,2.51980,1.000
1,2.800,0.00,2.5695,2.56950,1.000
1,2.850,0.00,2.6196,2.61960,1.000
1,2.900,0.00,2.6696,2.66960,1.000
1,2.950,0.00,2.7197,2.71970,1.000
1,3.000,0.00,2.7696,2.76960,1.000
1,3.050,0.00,2.8197,2.81970,1.000
1,3.100,0.00,2.8696,2.86960,1.000
1,3.150,0.00,2.9197,2.91970,1.000
1,3.200,0.00,2.9696,2.96960,1.000
1,3.250,0.00,3.0196,3.01960,1.000
1,3.300,0.00,3.0697,3.06970,1.000
1,3.350,0.00,3.1198,3.11980,1.000
1,3.400,0.00,3.1698,3.16980,1.000
1,3.450,0.00,3.2197,3.21970,1.000
1,3.500,-0.01,3.2697,3.26970,1.000
1,3.550,0.00,3.3197,3.31970,1.000
1,3.600,0.00,3.3696,3.36960,1.000
1,3.650,0.00,3.4195,3.41950,1.000
1,3.700,0.00,3.4698,3.46980,1.000
1,3.750,0.00,3.5198,3.51980,1.000
1,3.800,0.00,3.5698,3.56980,1.000
1,3.850,0.00,3.6196,3.61960,1.000
1,3.900,0.00,3.6697,3.66970,1.000
1,3.950,0.00,3.7198,3.71980,1.000
1,4.000,0.00,3.7698,3.76980,1.000
1,4.050,0.00,3.8197,3.81970,1.000
1,4.100,0.00,3.8697,3.86970,1.000
1,4.150,0.00,3.9197,3.91970,1.000
1,4.200,0.00,3.9698,3.96980,1.000
1,4.250,0.00,4.0197,4.01970,1.000
1,4.300,0.00,4.0698,4.06980,1.000
1,4.350,0.00,4.1198,4.11980,1.000
1,4.400,0.00,4.1697,4.16970,1.000
1,4.450,0.00,4.2195,4.21950,1.000
1,4.500,0.00,4.2699,4.26990,1.000
1,4.550,0.00,4.3199,4.31990,1.000
1,4.600,0.00,4.3700,4.37000,1.000
1,4.650,0.00,4.4198,4.41980,1.000
1,4.700,0.00,4.4698,4.46980,1.000
1,4.750,0.00,4.5198,4.51980,1.000
1,4.800,0.00,4.5697,4.56970,1.000
1,4.850,-0.01,4.6196,4.61960,1.000
1,4.900,0.00,4.6697,4.66970,1.000
1,4.950,0.00,4.7199,4.71990,1.000
1,5.000,0.00,4.7699,4.76990,1.000
1,5.050,0.00,4.8196,4.81960,1.000
1,5.100,0.00,4.8697,4.86970,1.000
1,5.150,-0.01,4.9198,4.91980,1.000
1,5.200,0.00,4.9697,4.96970,1.000
1,5.250,0.00,5.0197,5.01970,1.000
1,5.300,0.00,5.0697,5.06970,1.000
1,5.350,0.00,5.1198,5.11980,1.000
1,5.400,0.00,5.1698,5.16980,1.000
1,5.450,0.00,5.2197,5.21970,1.000
1,5.500,0.00,5.2697,5.26970,1.000
1,5.550,0.00,5.3199,5.31990,1.000
1,5.600,0.01,5.3700,5.37000,1.000
1,5.650,0.03,5.4198,5.41980,1.000
1,5.700,0.09,5.4698,5.46980,1.000
1,5.750,0.16,5.5198,5.51980,1.000
1,5.800,0.26,5.5700,5.57000,1.000
1,5.850,0.38,5.6200,5.62000,1.000
1,5.900,0.52,5.6698,5.66980,1.000
1,5.950,0.67,5.7200,5.72000,1.000
1,6.000,0.86,5.7697,5.76970,1.000
1,6.050,1.07,5.8196,5.81960,1.000
1,6.100,1.31,5.8697,5.86970,1.000
1,6.150,1.57,5.9197,5.91970,1.000
1,6.200,1.87,5.9699,5.96990,1.000
1,6.250,2.20,6.0197,6.01970,1.000
1,6.300,2.56,6.0698,6.06980,1.000
1,6.350,2.96,6.1199,6.11990,1.000
1,6.400,3.41,6.1699,6.16990,1.000
1,6.450,3.89,6.2197,6.21970,1.000
1,6.500,4.42,6.2697,6.26970,1.000
1,6.550,4.98,6.3198,6.31980,1.000
1,6.600,5.60,6.3699,6.36990,1.000
1,6.650,6.26,6.4197,6.41970,1.000
1,6.700,6.98,6.4697,6.46970,1.000
1,6.750,7.74,6.5198,6.51980,1.000
1,6.800,8.58,6.5699,6.56990,1.000
1,6.850,9.49,6.6199,6.61990,1.000
1,6.900,10.47,6.6698,6.66980,1.000
1,6.950,11.53,6.7198,6.71980,1.000
1,7.000,12.68,6.7700,6.77000,1.000
1,7.050,13.89,6.8198,6.81980,1.000
1,7.100,15.22,6.8698,6.86980,1.000
1,7.150,16.64,6.9198,6.91980,1.000
1,7.200,18.19,6.9698,6.96980,1.000
1,7.250,19.85,7.0198,7.01980,1.000
1,7.300,21.61,7.0696,7.06960,1.000
1,7.350,23.51,7.1199,7.11990,1.000
1,7.400,25.51,7.1699,7.16990,1.000
1,7.450,27.65,7.2199,7.21990,1.000
1,7.500,29.90,7.2697,7.26970,1.000
1,7.550,32.23,7.3199,7.31990,1.000
1,7.600,34.64,7.3700,7.37000,1.000
1,7.650,37.05,7.4197,7.41970,1.000
1,7.700,39.38,7.4698,7.46980,1.000
1,7.750,41.40,7.5198,7.51980,1.000
1,7.800,42.13,7.5700,7.57000,1.000
1,7.850,41.49,7.6198,7.61980,1.000
1,7.900,44.33,7.6697,7.66970,1.000
1,7.950,47.24,7.7198,7.71980,1.000
1,8.000,50.20,7.7698,7.76980,1.000
1,8.100,51.94,7.8059,7.80590,1.000
1,8.150,44.71,7.7566,7.75660,1.000
1,8.200,38.33,7.7065,7.70650,1.000
1,8.250,33.40,7.6567,7.65670,1.000
1,8.300,29.38,7.6068,7.60680,1.000
1,8.350,26.07,7.5567,7.55670,1.000
1,8.400,23.22,7.5066,7.50660,1.000
1,8.450,20.72,7.4567,7.45670,1.000
1,8.500,18.56,7.4066,7.40660,1.000
1,8.550,16.67,7.3566,7.35660,1.000
1,8.600,14.96,7.3066,7.30660,1.000
1,8.650,13.42,7.2566,7.25660,1.000
1,8.700,12.07,7.2068,7.20680,1.000
1,8.750,10.87,7.1566,7.15660,1.000
1,8.800,9.78,7.1064,7.10640,1.000
1,8.850,8.81,7.0566,7.05660,1.000
1,8.900,7.91,7.0066,7.00660,1.000
1,8.950,7.12,6.9566,6.95660,1.000
1,9.000,6.41,6.9065,6.90650,1.000
1,9.050,5.76,6.8566,6.85660,1.000
1,9.100,5.16,6.8067,6.80670,1.000
1,9.150,4.63,6.7567,6.75670,1.000
1,9.200,4.13,6.7065,6.70650,1.000
1,9.250,3.68,6.6566,6.65660,1.000
1,9.300,3.27,6.6066,6.60660,1.000
1,9.350,2.90,6.5566,6.55660,1.000
1,9.400,2.56,6.5065,6.50650,1.000
1,9.450,2.25,6.4565,6.45650,1.000
1,9.500,1.96,6.4067,6.40670,1.000
1,9.550,1.70,6.3566,6.35660,1.000
1,9.600,1.46,6.3064,6.30640,1.000
1,9.650,1.25,6.2565,6.25650,1.000
1,9.700,1.06,6.2065,6.20650,1.000
1,9.750,0.89,6.1565,6.15650,1.000
1,9.800,0.74,6.1064,6.10640,1.000
1,9.850,0.60,6.0565,6.05650,1.000
1,9.900,0.48,6.0065,6.00650,1.000
1,9.950,0.37,5.9566,5.95660,1.000
1,10.000,0.28,5.9063,5.90630,1.000
1,10.050,0.20,5.8563,5.85630,1.000
1,10.100,0.14,5.8064,5.80640,1.000
1,10.150,0.09,5.7565,5.75650,1.000
1,10.200,0.04,5.7064,5.70640,1.000
1,10.250,0.01,5.6565,5.65650,1.000
1,10.300,0.00,5.6067,5.60670,1.000
1,10.350,-0.01,5.5565,5.55650,1.000
1,10.400,-0.01,5.5064,5.50640,1.000
1,10.450,0.00,5.4566,5.45660,1.000
1,10.500,0.00,5.4065,5.40650,1.000
1,10.550,0.00,5.3566,5.35660,1.000
1,10.600,0.00,5.3063,5.30630,1.000
1,10.650,0.00,5.2565,5.25650,1.000
1,10.700,0.00,5.2065,5.20650,1.000
1,10.750,0.00,5.1565,5.15650,1.000
1,10.800,0.00,5.1063,5.10630,1.000
1,10.850,0.00,5.0564,5.05640,1.000
1,10.900,0.00,5.0064,5.00640,1.000
1,10.950,0.00,4.9564,4.95640,1.000
1,11.000,0.00,4.9062,4.90620,1.000
1,11.050,0.00,4.8563,4.85630,1.000
1,11.100,0.00,4.8064,4.80640,1.000
1,11.150,0.00,4.7565,4.75650,1.000
1,11.200,0.00,4.7063,4.70630,1.000
1,11.250,0.00,4.6564,4.65640,1.000
1,11.300,0.00,4.6063,4.60630,1.000
1,11.350,0.00,4.5564,4.55640,1.000
1,11.400,0.00,4.5063,4.50630,1.000
1,11.450,0.00,4.4564,4.45640,1.000
1,11.500,0.00,4.4066,4.40660,1.000
1,11.550,-0.01,4.3566,4.35660,1.000
1,11.600,0.00,4.3063,4.30630,1.000
1,11.650,0.00,4.2562,4.25620,1.000
1,11.700,0.00,4.2064,4.20640,1.000
1,11.750,0.00,4.1565,4.15650,1.000
1,11.800,0.00,4.1063,4.10630,1.000
1,11.850,0.00,4.0563,4.05630,1.000
1,11.900,0.00,4.0064,4.00640,1.000
1,11.950,0.00,3.9564,3.95640,1.000
1,12.000,0.00,3.9062,3.90620,1.000
1,12.050,0.00,3.8563,3.85630,1.000
1,12.100,0.00,3.8065,3.80650,1.000
1,12.150,0.00,3.7564,3.75640,1.000
1,12.200,0.00,3.7063,3.70630,1.000
1,12.250,0.00,3.6563,3.65630,1.000
1,12.300,0.00,3.6064,3.60640,1.000
1,12.350,0.00,3.5565,3.55650,1.000
1,12.400,0.00,3.5063,3.50630,1.000
1,12.450,0.00,3.4564,3.45640,1.000
1,12.500,0.00,3.4064,3.40640,1.000
1,12.550,0.00,3.3564,3.35640,1.000
1,12.600,0.00,3.3062,3.30620,1.000
1,12.650,0.00,3.2562,3.25620,1.000
1,12.700,0.00,3.2064,3.20640,1.000
1,12.750,0.00,3.1566,3.15660,1.000
1,12.800,0.00,3.1064,3.10640,1.000
1,12.850,0.00,3.0561,3.05610,1.000
1,12.900,0.00,3.0064,3.00640,1.000
1,12.950,0.00,2.9563,2.95630,1.000
1,13.000,0.00,2.9064,2.90640,1.000
1,13.050,0.00,2.8563,2.85630,1.000
1,13.100,0.00,2.8064,2.80640,1.000
1,13.150,0.00,2.7564,2.75640,1.000
1,13.200,0.00,2.7062,2.70620,1.000
1,13.250,0.00,2.6562,2.65620,1.000
1,13.300,0.00,2.6063,2.60630,1.000
1,13.350,0.00,2.5563,2.55630,1.000
1,13.400,0.00,2.5062,2.50620,1.000
1,13.450,0.00,2.4562,2.45620,1.000
1,13.500,0.00,2.4063,2.40630,1.000
1,13.550,0.00,2.3563,2.35630,1.000
1,13.600,0.00,2.3062,2.30620,1.000
1,13.650,0.00,2.2562,2.25620,1.000
1,13.700,0.00,2.2063,2.20630,1.000
1,13.750,0.01,2.1564,2.15640,1.000
1,13.800,0.00,2.1062,2.10620,1.000
1,13.850,0.00,2.0561,2.05610,1.000
1,13.900,0.00,2.0061,2.00610,1.000
1,13.950,0.00,1.9564,1.95640,1.000
1,14.000,0.00,1.9062,1.90620,1.000
1,14.050,0.00,1.8562,1.85620,1.000
1,14.100,0.00,1.8062,1.80620,1.000
1,14.150,0.00,1.7563,1.75630,1.000
1,14.200,0.00,1.7062,1.70620,1.000
1,14.250,0.00,1.6561,1.65610,1.000
1,14.300,0.00,1.6062,1.60620,1.000
1,14.350,0.00,1.5562,1.55620,1.000
1,14.400,0.00,1.5063,1.50630,1.000
1,14.450,0.00,1.4562,1.45620,1.000
1,14.500,0.00,1.4062,1.40620,1.000
1,14.550,0.00,1.3562,1.35620,1.000
1,14.600,0.00,1.3062,1.30620,1.000
1,14.650,0.00,1.2560,1.25600,1.000
1,14.700,0.00,1.2062,1.20620,1.000
1,14.750,0.00,1.1562,1.15620,1.000
1,14.800,0.00,1.1063,1.10630,1.000
1,14.850,0.00,1.0560,1.05600,1.000
1,14.900,0.00,1.0062,1.00620,1.000
1,14.950,0.00,0.9562,0.95620,1.000
1,15.000,0.00,0.9063,0.90630,1.000
1,15.050,0.00,0.8561,0.85610,1.000
1,15.100,0.00,0.8061,0.80610,1.000
1,15.150,0.00,0.7562,0.75620,1.000
1,15.200,0.00,0.7063,0.70630,1.000
1,15.250,0.00,0.6561,0.65610,1.000
1,15.300,0.00,0.6060,0.60600,1.000
1,15.350,0.00,0.5562,0.55620,1.000
1,15.400,0.00,0.5062,0.50620,1.000
1,15.450,0.00,0.4560,0.45600,1.000
1,15.500,0.00,0.4061,0.40610,1.000
1,15.550,0.00,0.3562,0.35620,1.000
1,15.600,0.00,0.3062,0.30620,1.000
1,15.650,0.00,0.2561,0.25610,1.000
1,15.700,0.00,0.2061,0.20610,1.000
1,15.750,0.00,0.1561,0.15610,1.000
1,15.800,0.00,0.1061,0.10610,1.000
1,15.850,0.00,0.0558,0.05580,1.000
1,15.900,0.00,0.0061,0.00610,1.000
1,16.000,0.00,-0.0494,-0.04940,1.000
1,16.050,0.00,-0.0067,-0.00670,1.000
1,16.100,0.00,-0.0004,-0.00040,1.000
1,16.150,0.00,-0.0004,-0.00040,1.000
1,16.200,0.00,-0.0004,-0.00040,1.000
1,16.250,0.00,-0.0004,-0.00040,1.000
1,16.300,0.00,-0.0004,-0.00040,1.000
1,16.350,0.00,-0.0004,-0.00040,1.000
1,16.400,0.00,-0.0004,-0.00040,1.000
1,16.450,0.00,-0.0004,-0.00040,1.000
1,16.500,0.00,-0.0004,-0.00040,1.000
1,16.550,0.00,-0.0004,-0.00040,1.000
1,16.600,0.00,-0.0004,-0.00040,1.000
1,16.650,0.00,-0.0004,-0.00040,1.000
1,16.700,0.00,-0.0004,-0.00040,1.000
1,16.750,0.00,-0.0004,-0.00040,1.000
1,16.800,0.00,-0.0004,-0.00040,1.000
1,16.850,0.00,-0.0004,-0.00040,1.000
1,16.900,0.00,-0.0004,-0.00040,1.000
1,16.950,0.00,-0.0004,-0.00040,1.000
1,17.000,0.00,-0.0004,-0.00040,1.000
1,17.050,0.00,-0.0004,-0.00040,1.000
1,17.100,0.00,-0.0004,-0.00040,1.000
1,17.150,0.00,-0.0004,-0.00040,1.000
1,17.200,0.00,-0.0004,-0.00040,1.000
1,17.250,0.00,-0.0004,-0.00040,1.000
1,17.300,0.00,-0.0004,-0.00040,1.000
1,17.350,0.00,-0.0003,-0.00030,1.000
1,17.400,0.00,-0.0003,-0.00030,1.000
1,17.450,0.00,-0.0003,-0.00030,1.000
1,17.500,0.00,-0.0003,-0.00030,1.000
1,17.550,0.00,-0.0003,-0.00030,1.000
1,17.600,0.00,-0.0003,-0.00030,1.000
1,17.650,0.00,-0.0003,-0.00030,1.000
1,17.700,0.00,-0.0003,-0.00030,1.000
1,17.750,0.00,-0.0003,-0.00030,1.000
1,17.800,0.01,-0.0003,-0.00030,1.000
1,17.850,0.01,-0.0003,-0.00030,1.000
1,17.900,0.00,-0.0003,-0.00030,1.000
1,17.950,0.00,-0.0003,-0.00030,1.000
1,18.000,0.00,-0.0003,-0.00030,1.000
1,18.050,0.00,-0.0003,-0.00030,1.000
1,18.100,0.00,-0.0003,-0.00030,1.000
1,18.150,0.00,-0.0003,-0.00030,1.000
1,18.200,0.00,-0.0003,-0.00030,1.000
1,18.250,0.00,-0.0003,-0.00030,1.000
1,18.300,0.00,-0.0003,-0.00030,1.000
1,18.350,0.00,-0.0003,-0.00030,1.000
1,18.400,0.00,-0.0003,-0.00030,1.000
1,18.450,0.01,-0.0003,-0.00030,1.000
1,18.500,0.00,-0.0003,-0.00030,1.000
1,18.550,0.00,-0.0003,-0.00030,1.000
1,18.600,0.00,-0.0003,-0.00030,1.000
1,18.650,0.00,-0.0003,-0.00030,1.000
1,18.700,0.00,-0.0003,-0.00030,1.000
1,18.750,0.00,-0.0003,-0.00030,1.000
1,18.800,0.00,-0.0003,-0.00030,1.000
1,18.850,0.00,-0.0003,-0.00030,1.000
1,18.900,0.00,-0.0003,-0.00030,1.000
1,18.950,0.00,-0.0003,-0.00030,1.000
1,19.050,0.01,-0.0003,-0.00030,1.000
1,19.100,0.00,-0.0002,-0.00020,1.000
1,19.150,0.00,-0.0002,-0.00020,1.000
1,19.200,0.00,-0.0002,-0.00020,1.000
1,19.250,0.00,-0.0002,-0.00020,1.000
1,19.300,0.00,-0.0002,-0.00020,1.000
1,19.350,0.00,-0.0002,-0.00020,1.000
1,19.400,0.00,-0.0002,-0.00020,1.000
1,19.450,0.00,-0.0002,-0.00020,1.000
1,19.500,0.01,-0.0002,-0.00020,1.000
1,19.550,0.00,-0.0002,-0.00020,1.000
1,19.600,0.00,-0.0002,-0.00020,1.000
1,19.650,0.00,-0.0002,-0.00020,1.000
1,19.700,0.00,-0.0002,-0.00020,1.000
1,19.750,0.00,-0.0002,-0.00020,1.000
1,19.800,0.00,-0.0002,-0.00020,1.000
1,19.850,0.00,-0.0002,-0.00020,1.000
1,19.900,0.01,-0.0002,-0.00020,1.000
1,19.950,0.00,-0.0002,-0.00020,1.000
2,20.150,0.00,0.0192,0.01930,2.000
2,20.200,0.00,0.0696,0.06970,2.000
2,20.250,0.00,0.1194,0.11950,2.000
2,20.300,0.00,0.1695,0.16960,2.000
2,20.350,0.00,0.2196,0.21970,2.000
2,20.400,0.00,0.2696,0.26970,2.000
2,20.450,0.00,0.3198,0.31990,2.000
2,20.500,0.00,0.3695,0.36960,2.000
2,20.550,0.00,0.4196,0.41970,2.000
2,20.600,0.00,0.4696,0.46970,2.000
2,20.650,0.00,0.5196,0.51970,2.000
