""
"Test Method","Radhen_Load_Cntrl_Cmprsn_250N_12-7.msm"
"Sample I. D.","Sample1.mss"
"Specimen Number","8"

"TheCycle_Output ()","_Time (s)","_Load (N)","_Extension (mm)","RealTimeDepth (mm)","CycleNumber ()"

1,0.250,0.00,0.0122,0.01220,1.000
1,0.300,-0.01,0.0616,0.06160,1.000
1,0.350,0.00,0.1114,0.11140,1.000
1,0.400,0.00,0.1616,0.16160,1.000
1,0.450,0.00,0.2116,0.21160,1.000
1,0.500,0.00,0.2617,0.26170,1.000
1,0.550,0.00,0.3117,0.31170,1.000
1,0.600,-0.01,0.3618,0.36180,1.000
1,0.650,0.00,0.4118,0.41180,1.000
1,0.700,0.00,0.4619,0.46190,1.000
1,0.750,0.00,0.5117,0.51170,1.000
1,0.800,0.00,0.5617,0.56170,1.000
1,0.850,0.00,0.6119,0.61190,1.000
1,0.900,0.00,0.6618,0.66180,1.000
1,0.950,0.00,0.7118,0.71180,1.000
1,1.000,-0.01,0.7618,0.76180,1.000
1,1.050,0.00,0.8118,0.81180,1.000
1,1.100,-0.01,0.8620,0.86200,1.000
1,1.150,0.00,0.9118,0.91180,1.000
1,1.200,0.00,0.9618,0.96180,1.000
1,1.250,-0.01,1.0119,1.01190,1.000
1,1.300,0.00,1.0618,1.06180,1.000
1,1.350,0.00,1.1116,1.11160,1.000
1,1.400,0.00,1.1618,1.16180,1.000
1,1.450,-0.01,1.2118,1.21180,1.000
1,1.500,0.00,1.2619,1.26190,1.000
1,1.550,0.00,1.3117,1.31170,1.000
1,1.600,-0.01,1.3618,1.36180,1.000
1,1.650,0.00,1.4117,1.41170,1.000
1,1.700,0.00,1.4618,1.46180,1.000
1,1.750,0.00,1.5117,1.51170,1.000
1,1.800,-0.01,1.5618,1.56180,1.000
1,1.850,-0.01,1.6119,1.61190,1.000
1,1.900,0.00,1.6619,1.66190,1.000
1,1.950,-0.01,1.7118,1.71180,1.000
1,2.000,-0.01,1.7617,1.76170,1.000
1,2.050,-0.01,1.8119,1.81190,1.000
1,2.100,-0.01,1.8619,1.86190,1.000
1,2.150,0.00,1.9117,1.91170,1.000
1,2.200,0.00,1.9618,1.96180,1.000
1,2.250,0.00,2.0118,2.01180,1.000
1,2.300,0.00,2.0619,2.06190,1.000
1,2.350,0.00,2.1117,2.11170,1.000
1,2.400,-0.01,2.1619,2.16190,1.000
1,2.450,0.00,2.2118,2.21180,1.000
1,2.500,0.00,2.2618,2.26180,1.000
1,2.550,0.00,2.3117,2.31170,1.000
1,2.600,0.00,2.3618,2.36180,1.000
1,2.650,0.00,2.4117,2.41170,1.000
1,2.700,-0.01,2.4620,2.46200,1.000
1,2.750,0.00,2.5119,2.51190,1.000
1,2.800,0.00,2.5617,2.56170,1.000
1,2.850,0.00,2.6119,2.61190,1.000
1,2.900,0.00,2.6618,2.66180,1.000
1,2.950,0.00,2.7119,2.71190,1.000
1,3.000,0.00,2.7617,2.76170,1.000
1,3.050,0.00,2.8118,2.81180,1.000
1,3.100,0.00,2.8619,2.86190,1.000
1,3.150,0.00,2.9118,2.91180,1.000
1,3.200,0.00,2.9618,2.96180,1.000
1,3.250,0.00,3.0118,3.01180,1.000
1,3.300,0.00,3.0618,3.06180,1.000
1,3.350,0.00,3.1118,3.11180,1.000
1,3.400,0.00,3.1617,3.16170,1.000
1,3.450,0.00,3.2119,3.21190,1.000
1,3.500,0.00,3.2620,3.26200,1.000
1,3.550,0.00,3.3118,3.31180,1.000
1,3.600,0.00,3.3618,3.36180,1.000
1,3.650,-0.01,3.4118,3.41180,1.000
1,3.700,0.00,3.4619,3.46190,1.000
1,3.750,0.00,3.5118,3.51180,1.000
1,3.800,-0.01,3.5617,3.56170,1.000
1,3.850,-0.01,3.6118,3.61180,1.000
1,3.900,0.00,3.6618,3.66180,1.000
1,3.950,0.00,3.7118,3.71180,1.000
1,4.000,0.00,3.7617,3.76170,1.000
1,4.050,0.00,3.8119,3.81190,1.000
1,4.100,0.00,3.8620,3.86200,1.000
1,4.150,-0.01,3.9120,3.91200,1.000
1,4.200,0.00,3.9618,3.96180,1.000
1,4.250,0.00,4.0119,4.01190,1.000
1,4.300,0.00,4.0619,4.06190,1.000
1,4.350,0.00,4.1119,4.11190,1.000
1,4.400,0.00,4.1618,4.16180,1.000
1,4.450,0.00,4.2120,4.21200,1.000
1,4.500,0.00,4.2619,4.26190,1.000
1,4.550,0.00,4.3119,4.31190,1.000
1,4.600,-0.01,4.3617,4.36170,1.000
1,4.650,-0.01,4.4118,4.41180,1.000
1,4.700,0.00,4.4620,4.46200,1.000
1,4.750,0.00,4.5120,4.51200,1.000
1,4.800,-0.01,4.5618,4.56180,1.000
1,4.850,-0.01,4.6118,4.61180,1.000
1,4.900,0.00,4.6619,4.66190,1.000
1,4.950,-0.01,4.7120,4.71200,1.000
1,5.000,0.00,4.7618,4.76180,1.000
1,5.050,0.00,4.8120,4.81200,1.000
1,5.100,0.00,4.8619,4.86190,1.000
1,5.150,0.00,4.9119,4.91190,1.000
1,5.200,0.00,4.9618,4.96180,1.000
1,5.250,0.00,5.0118,5.01180,1.000
1,5.300,0.00,5.0620,5.06200,1.000
1,5.350,0.00,5.1120,5.11200,1.000
1,5.400,0.00,5.1618,5.16180,1.000
1,5.450,0.00,5.2119,5.21190,1.000
1,5.500,0.00,5.2619,5.26190,1.000
1,5.550,-0.01,5.3120,5.31200,1.000
1,5.600,0.00,5.3619,5.36190,1.000
1,5.650,0.00,5.4120,5.41200,1.000
1,5.700,0.00,5.4620,5.46200,1.000
1,5.750,0.00,5.5122,5.51220,1.000
1,5.800,0.00,5.5620,5.56200,1.000
1,5.850,0.00,5.6119,5.61190,1.000
1,5.900,0.00,5.6620,5.66200,1.000
1,5.950,0.00,5.7120,5.71200,1.000
1,6.000,0.00,5.7618,5.76180,1.000
1,6.050,0.00,5.8118,5.81180,1.000
1,6.100,0.00,5.8619,5.86190,1.000
1,6.150,0.00,5.9118,5.91180,1.000
1,6.200,0.00,5.9618,5.96180,1.000
1,6.250,0.00,6.0119,6.01190,1.000
1,6.300,-0.01,6.0619,6.06190,1.000
1,6.350,0.00,6.1121,6.11210,1.000
1,6.400,0.00,6.1619,6.16190,1.000
1,6.450,0.00,6.2118,6.21180,1.000
1,6.500,0.00,6.2619,6.26190,1.000
1,6.550,-0.01,6.3120,6.31200,1.000
1,6.600,0.00,6.3619,6.36190,1.000
1,6.650,0.00,6.4120,6.41200,1.000
1,6.700,0.00,6.4619,6.46190,1.000
1,6.750,0.02,6.5121,6.51210,1.000
1,6.800,0.06,6.5619,6.56190,1.000
1,6.850,0.11,6.6119,6.61190,1.000
1,6.900,0.19,6.6620,6.66200,1.000
1,6.950,0.27,6.7121,6.71210,1.000
1,7.000,0.37,6.7619,6.76190,1.000
