""
"Test Method","Radhen_Load_Cntrl_Cmprsn_250N_12-7.msm"
"Sample I. D.","Sample1.mss"
"Specimen Number","5"

"TheCycle_Output ()","_Time (s)","_Load (N)","_Extension (mm)","RealTimeDepth (mm)","CycleNumber ()"

0,0.170,0.01,0.0000,-0.14290,0.000
1,0.180,0.00,0.0000,0.00000,1.000
1,0.200,0.00,0.0000,0.00000,1.000
1,0.210,0.01,0.0000,0.00000,1.000
1,0.220,0.01,0.0002,0.00020,1.000
1,0.230,0.01,0.0034,0.00340,1.000
1,0.240,0.01,0.0087,0.00870,1.000
1,0.250,0.01,0.0134,0.01340,1.000
1,0.260,0.01,0.0186,0.01860,1.000
1,0.270,0.01,0.0235,0.02350,1.000
1,0.280,0.00,0.0286,0.02860,1.000
1,0.290,0.01,0.0334,0.03340,1.000
1,0.300,0.01,0.0384,0.03840,1.000
1,0.310,0.00,0.0433,0.04330,1.000
1,0.320,0.01,0.0483,0.04830,1.000
1,0.330,0.01,0.0533,0.05330,1.000
1,0.340,0.01,0.0584,0.05840,1.000
1,0.350,0.01,0.0635,0.06350,1.000
1,0.360,0.01,0.0684,0.06840,1.000
1,0.370,0.01,0.0734,0.07340,1.000
1,0.380,0.01,0.0784,0.07840,1.000
1,0.390,0.01,0.0833,0.08330,1.000
1,0.400,0.00,0.0884,0.08840,1.000
1,0.410,0.01,0.0933,0.09330,1.000
1,0.420,0.01,0.0985,0.09850,1.000
1,0.430,0.01,0.1034,0.10340,1.000
1,0.440,0.01,0.1086,0.10860,1.000
1,0.450,0.01,0.1134,0.11340,1.000
1,0.460,0.01,0.1184,0.11840,1.000
1,0.470,0.01,0.1233,0.12330,1.000
1,0.480,0.01,0.1283,0.12830,1.000
1,0.490,0.01,0.1333,0.13330,1.000
1,0.500,0.01,0.1384,0.13840,1.000
1,0.510,0.01,0.1434,0.14340,1.000
1,0.520,0.01,0.1485,0.14850,1.000
1,0.530,0.01,0.1534,0.15340,1.000
1,0.540,0.01,0.1583,0.15830,1.000
1,0.550,0.01,0.1634,0.16340,1.000
1,0.560,0.01,0.1683,0.16830,1.000
1,0.570,0.01,0.1734,0.17340,1.000
1,0.580,0.01,0.1784,0.17840,1.000
1,0.590,0.00,0.1835,0.18350,1.000
1,0.600,0.01,0.1884,0.18840,1.000
1,0.610,0.01,0.1935,0.19350,1.000
1,0.620,0.01,0.1983,0.19830,1.000
1,0.630,0.01,0.2034,0.20340,1.000
