""
"Test Method","Radhen_Load_Cntrl_Cmprsn_250N_12-7.msm"
"Sample I. D.","Sample1.mss"
"Specimen Number","10"

"TheCycle_Output ()","_Time (s)","_Load (N)","_Extension (mm)","RealTimeDepth (mm)","CycleNumber ()"

0,0.160,-0.02,0.0000,-1.86720,0.000
1,0.170,-0.01,0.0000,0.00000,1.000
1,0.190,-0.01,0.0000,0.00000,1.000
1,0.200,-0.01,0.0000,0.00000,1.000
1,0.210,-0.01,0.0002,0.00020,1.000
1,0.220,-0.01,0.0030,0.00300,1.000
1,0.230,-0.01,0.0083,0.00830,1.000
1,0.240,-0.01,0.0163,0.01630,1.000
1,0.250,-0.01,0.0265,0.02650,1.000
1,0.260,-0.01,0.0365,0.03650,1.000
1,0.270,-0.01,0.0463,0.04630,1.000
1,0.280,-0.01,0.0563,0.05630,1.000
1,0.290,-0.01,0.0663,0.06630,1.000
1,0.300,-0.01,0.0765,0.07650,1.000
1,0.310,-0.01,0.0863,0.08630,1.000
1,0.320,-0.01,0.0964,0.09640,1.000
1,0.330,0.00,0.1064,0.10640,1.000
1,0.340,-0.01,0.1165,0.11650,1.000
1,0.350,-0.01,0.1263,0.12630,1.000
1,0.360,-0.01,0.1364,0.13640,1.000
1,0.370,-0.01,0.1464,0.14640,1.000
1,0.380,-0.01,0.1565,0.15650,1.000
1,0.390,-0.01,0.1663,0.16630,1.000
1,0.400,-0.01,0.1764,0.17640,1.000
1,0.410,-0.01,0.1864,0.18640,1.000
1,0.420,-0.01,0.1966,0.19660,1.000
1,0.430,-0.01,0.2064,0.20640,1.000
1,0.440,-0.01,0.2164,0.21640,1.000
1,0.450,-0.01,0.2264,0.22640,1.000
1,0.460,-0.01,0.2366,0.23660,1.000
1,0.470,-0.01,0.2464,0.24640,1.000
1,0.480,-0.01,0.2564,0.25640,1.000
1,0.490,-0.01,0.2665,0.26650,1.000
1,0.500,-0.01,0.2765,0.27650,1.000
1,0.510,-0.01,0.2865,0.28650,1.000
1,0.520,-0.01,0.2964,0.29640,1.000
1,0.530,-0.01,0.3066,0.30660,1.000
1,0.540,-0.01,0.3166,0.31660,1.000
1,0.550,-0.01,0.3266,0.32660,1.000
1,0.560,-0.01,0.3364,0.33640,1.000
1,0.570,-0.01,0.3466,0.34660,1.000
1,0.580,-0.01,0.3566,0.35660,1.000
1,0.590,-0.01,0.3666,0.36660,1.000
1,0.600,-0.01,0.3764,0.37640,1.000
1,0.610,-0.01,0.3866,0.38660,1.000
1,0.620,-0.01,0.3966,0.39660,1.000
1,0.630,-0.01,0.4066,0.40660,1.000
1,0.640,-0.01,0.4165,0.41650,1.000
1,0.650,-0.01,0.4265,0.42650,1.000
1,0.660,-0.01,0.4367,0.43670,1.000
1,0.670,-0.01,0.4465,0.44650,1.000
1,0.680,-0.01,0.4565,0.45650,1.000
1,0.690,-0.01,0.4665,0.46650,1.000
1,0.700,-0.01,0.4766,0.47660,1.000
1,0.710,-0.01,0.4865,0.48650,1.000
1,0.720,0.00,0.4965,0.49650,1.000
1,0.730,-0.01,0.5065,0.50650,1.000
1,0.740,-0.01,0.5166,0.51660,1.000
1,0.750,-0.01,0.5265,0.52650,1.000
1,0.760,-0.01,0.5365,0.53650,1.000
1,0.770,-0.01,0.5465,0.54650,1.000
1,0.780,-0.01,0.5566,0.55660,1.000
1,0.790,-0.01,0.5665,0.56650,1.000
1,0.800,-0.01,0.5764,0.57640,1.000
1,0.810,-0.01,0.5865,0.58650,1.000
1,0.820,-0.01,0.5965,0.59650,1.000
1,0.830,-0.01,0.6065,0.60650,1.000
1,0.840,-0.01,0.6164,0.61640,1.000
1,0.850,0.00,0.6265,0.62650,1.000
1,0.860,-0.01,0.6366,0.63660,1.000
1,0.870,-0.01,0.6464,0.64640,1.000
1,0.880,-0.01,0.6564,0.65640,1.000
1,0.890,-0.01,0.6666,0.66660,1.000
1,0.900,-0.01,0.6765,0.67650,1.000
1,0.910,-0.01,0.6866,0.68660,1.000
1,0.920,-0.01,0.6964,0.69640,1.000
1,0.930,-0.01,0.7066,0.70660,1.000
1,0.940,-0.01,0.7165,0.71650,1.000
1,0.950,-0.01,0.7266,0.72660,1.000
1,0.960,-0.01,0.7364,0.73640,1.000
1,0.970,-0.01,0.7466,0.74660,1.000
1,0.980,-0.01,0.7565,0.75650,1.000
1,0.990,-0.01,0.7666,0.76660,1.000
1,1.000,-0.01,0.7764,0.77640,1.000
1,1.010,-0.01,0.7866,0.78660,1.000
1,1.020,-0.01,0.7966,0.79660,1.000
1,1.030,-0.01,0.8065,0.80650,1.000
1,1.040,-0.01,0.8165,0.81650,1.000
1,1.050,-0.01,0.8266,0.82660,1.000
1,1.060,-0.01,0.8367,0.83670,1.000
1,1.070,-0.01,0.8465,0.84650,1.000
1,1.080,-0.01,0.8565,0.85650,1.000
1,1.090,-0.01,0.8665,0.86650,1.000
1,1.100,-0.01,0.8766,0.87660,1.000
1,1.110,-0.01,0.8865,0.88650,1.000
1,1.120,-0.01,0.8965,0.89650,1.000
1,1.130,-0.01,0.9066,0.90660,1.000
1,1.140,-0.01,0.9167,0.91670,1.000
1,1.150,-0.01,0.9266,0.92660,1.000
1,1.160,-0.01,0.9365,0.93650,1.000
1,1.170,-0.01,0.9465,0.94650,1.000
1,1.180,-0.01,0.9567,0.95670,1.000
1,1.190,-0.01,0.9665,0.96650,1.000
1,1.200,-0.01,0.9765,0.97650,1.000
1,1.210,-0.01,0.9866,0.98660,1.000
1,1.220,-0.02,0.9966,0.99660,1.000
1,1.230,-0.01,1.0066,1.00660,1.000
1,1.240,-0.01,1.0165,1.01650,1.000
1,1.250,-0.01,1.0266,1.02660,1.000
1,1.260,-0.01,1.0366,1.03660,1.000
1,1.270,-0.01,1.0467,1.04670,1.000
1,1.280,-0.01,1.0565,1.05650,1.000
1,1.290,-0.01,1.0667,1.06670,1.000
1,1.300,-0.01,1.0766,1.07660,1.000
1,1.310,-0.01,1.0867,1.08670,1.000
1,1.320,-0.01,1.0965,1.09650,1.000
1,1.330,-0.01,1.1068,1.10680,1.000
1,1.340,-0.01,1.1167,1.11670,1.000
1,1.350,-0.01,1.1268,1.12680,1.000
1,1.360,-0.01,1.1365,1.13650,1.000
1,1.370,-0.01,1.1468,1.14680,1.000
1,1.380,-0.01,1.1568,1.15680,1.000
1,1.390,-0.01,1.1669,1.16690,1.000
1,1.400,-0.01,1.1766,1.17660,1.000
1,1.410,-0.01,1.1869,1.18690,1.000
1,1.420,-0.01,1.1968,1.19680,1.000
1,1.430,-0.01,1.2069,1.20690,1.000
1,1.440,-0.01,1.2166,1.21660,1.000
1,1.450,-0.01,1.2267,1.22670,1.000
1,1.460,-0.01,1.2368,1.23680,1.000
1,1.470,-0.01,1.2467,1.24670,1.000
1,1.480,0.00,1.2566,1.25660,1.000
1,1.490,-0.01,1.2667,1.26670,1.000
1,1.500,-0.01,1.2768,1.27680,1.000
1,1.510,-0.01,1.2866,1.28660,1.000
1,1.520,-0.01,1.2965,1.29650,1.000
1,1.530,-0.01,1.3065,1.30650,1.000
1,1.540,-0.01,1.3165,1.31650,1.000
1,1.550,-0.01,1.3266,1.32660,1.000
1,1.560,-0.01,1.3363,1.33630,1.000
1,1.570,-0.01,1.3464,1.34640,1.000
1,1.580,-0.01,1.3566,1.35660,1.000
1,1.590,-0.01,1.3664,1.36640,1.000
1,1.600,-0.01,1.3764,1.37640,1.000
1,1.610,-0.01,1.3865,1.38650,1.000
1,1.620,-0.01,1.3965,1.39650,1.000
1,1.630,-0.01,1.4065,1.40650,1.000
1,1.640,-0.01,1.4164,1.41640,1.000
1,1.650,-0.01,1.4265,1.42650,1.000
1,1.660,-0.01,1.4366,1.43660,1.000
1,1.670,-0.01,1.4466,1.44660,1.000
1,1.680,-0.01,1.4565,1.45650,1.000
1,1.690,-0.01,1.4665,1.46650,1.000
1,1.700,-0.02,1.4767,1.47670,1.000
1,1.710,-0.01,1.4866,1.48660,1.000
1,1.720,-0.01,1.4966,1.49660,1.000
1,1.730,-0.01,1.5066,1.50660,1.000
1,1.740,-0.01,1.5167,1.51670,1.000
1,1.750,-0.01,1.5266,1.52660,1.000
1,1.760,-0.01,1.5365,1.53650,1.000
1,1.770,-0.01,1.5467,1.54670,1.000
1,1.780,-0.01,1.5566,1.55660,1.000
1,1.790,-0.01,1.5667,1.56670,1.000
1,1.800,-0.01,1.5766,1.57660,1.000
1,1.810,-0.01,1.5866,1.58660,1.000
