Loop Time (ms)	IR (16 bit)	Force (N)	Force (N)	Color	Speed (mm/s)	Spatial (mm)	Angle (deg)
268.000	24087.000	1544.690	50.000	2.000	1.000	0.000	0.000
3282.000	24630.000	1545.200	50.000	2.000	1.000	0.000	0.000
69.000	25208.000	1545.720	50.000	2.000	1.000	0.000	0.000
58.000	25789.000	1546.480	50.000	2.000	1.000	0.000	0.000
81.000	26358.000	1547.630	50.000	2.000	1.000	0.000	0.000
64.000	26910.000	1549.040	50.000	2.000	1.000	0.000	0.000
63.000	27429.000	1550.960	50.000	2.000	1.000	0.000	0.000
65.000	27916.000	1553.380	50.000	2.000	1.000	0.000	0.000
63.000	28340.000	1556.450	50.000	2.000	1.000	0.000	0.000
65.000	28670.000	1559.900	50.000	2.000	1.000	0.000	0.000
63.000	28857.000	1563.350	50.000	2.000	1.000	0.000	0.000
64.000	29004.000	1567.570	50.000	2.000	1.000	0.000	0.000
64.000	29211.000	1571.660	50.000	2.000	1.000	0.000	0.000
64.000	29496.000	1576.130	50.000	2.000	1.000	0.000	0.000
64.000	29841.000	1580.740	50.000	2.000	1.000	0.000	0.000
80.000	30218.000	1585.080	50.000	2.000	1.000	0.000	0.000
64.000	30612.000	1589.560	50.000	2.000	1.000	0.000	0.000
63.000	31015.000	1593.770	50.000	2.000	1.000	0.000	0.000
64.000	31433.000	1598.250	50.000	2.000	1.000	0.000	0.000
64.000	31888.000	1602.210	50.000	2.000	1.000	0.000	0.000
65.000	32345.000	1605.790	50.000	2.000	1.000	0.000	0.000
64.000	32772.000	1609.620	50.000	2.000	1.000	0.000	0.000
63.000	33155.000	1613.200	50.000	2.000	1.000	0.000	0.000
65.000	33422.000	1615.120	50.000	2.000	1.000	0.000	0.000
63.000	33250.000	1611.540	50.000	2.000	1.000	0.000	0.000
65.000	32943.000	1606.550	50.000	2.000	1.000	0.000	0.000
63.000	32587.000	1601.190	50.000	2.000	1.000	0.000	0.000
80.000	32177.000	1595.690	50.000	2.000	1.000	0.000	0.000
64.000	31751.000	1589.810	50.000	2.000	1.000	0.000	0.000
64.000	31323.000	1583.680	50.000	2.000	1.000	0.000	0.000
64.000	30898.000	1577.800	50.000	2.000	1.000	0.000	0.000
63.000	30475.000	1571.530	50.000	2.000	1.000	0.000	0.000
64.000	30074.000	1565.400	50.000	2.000	1.000	0.000	0.000
64.000	29721.000	1559.140	50.000	2.000	1.000	0.000	0.000
64.000	29478.000	1553.000	50.000	2.000	1.000	0.000	0.000
64.000	29592.000	1546.990	50.000	2.000	1.000	0.000	0.000
64.000	29842.000	1540.990	50.000	2.000	1.000	0.000	0.000
65.000	29812.000	1535.360	50.000	2.000	1.000	0.000	0.000
63.000	29345.000	1529.990	50.000	2.000	1.000	0.000	0.000
80.000	28640.000	1525.010	50.000	2.000	1.000	0.000	0.000
63.000	27923.000	1520.410	50.000	2.000	1.000	0.000	0.000
64.000	27242.000	1516.830	50.000	2.000	1.000	0.000	0.000
65.000	26610.000	1514.150	50.000	2.000	1.000	0.000	0.000
63.000	26020.000	1512.480	50.000	2.000	1.000	0.000	0.000
65.000	25524.000	1511.460	50.000	2.000	1.000	0.000	0.000
64.000	24995.000	1511.330	50.000	2.000	1.000	0.000	0.000
64.000	24535.000	1511.850	50.000	2.000	1.000	0.000	0.000
63.000	24141.000	1512.740	50.000	2.000	1.000	0.000	0.000
64.000	23772.000	1513.890	50.000	2.000	1.000	0.000	0.000
64.000	23419.000	1515.170	50.000	2.000	1.000	0.000	0.000
