""
"Test Method","Radhen_Load_Cntrl_Cmprsn_250N_12-7.msm"
"Sample I. D.","Sample1.mss"
"Specimen Number","10"

"TheCycle_Output ()","_Time (s)","_Load (N)","_Extension (mm)","RealTimeDepth (mm)","CycleNumber ()"

1,0.267,0.01,0.0572,0.05720,1.000
1,0.333,0.01,0.1239,0.12387,1.000
1,0.400,0.01,0.1907,0.19070,1.000
1,0.467,0.01,0.2574,0.25737,1.000
1,0.533,0.01,0.3240,0.32403,1.000
1,0.600,0.01,0.3909,0.39090,1.000
1,0.667,0.01,0.4574,0.45737,1.000
1,0.733,0.01,0.5240,0.52400,1.000
1,0.800,0.00,0.5909,0.59090,1.000
1,0.867,0.00,0.6574,0.65743,1.000
1,0.933,0.01,0.7240,0.72403,1.000
1,1.000,0.01,0.7910,0.79100,1.000
1,1.067,0.01,0.8575,0.85753,1.000
1,1.133,0.00,0.9240,0.92403,1.000
1,1.200,0.01,0.9908,0.99080,1.000
1,1.267,0.01,1.0574,1.05737,1.000
1,1.333,0.01,1.1241,1.12407,1.000
1,1.400,0.01,1.1907,1.19070,1.000
1,1.467,0.01,1.2573,1.25733,1.000
1,1.533,0.01,1.3240,1.32403,1.000
1,1.600,0.00,1.3909,1.39090,1.000
1,1.667,0.01,1.4574,1.45743,1.000
1,1.733,0.01,1.5241,1.52407,1.000
1,1.800,0.01,1.5909,1.59090,1.000
1,1.867,0.02,1.6575,1.65747,1.000
1,1.933,0.05,1.7242,1.72417,1.000
1,2.000,0.09,1.7909,1.79090,1.000
1,2.067,0.17,1.8574,1.85740,1.000
1,2.133,0.28,1.9241,1.92413,1.000
1,2.200,0.42,1.9910,1.99100,1.000
1,2.267,0.60,2.0575,2.05753,1.000
1,2.333,0.80,2.1243,2.12427,1.000
1,2.400,1.03,2.1909,2.19090,1.000
1,2.533,1.03,2.1781,2.17813,1.000
1,2.600,0.75,2.1117,2.11170,1.000
1,2.667,0.54,2.0449,2.04487,1.000
1,2.733,0.35,1.9782,1.97823,1.000
1,2.800,0.22,1.9116,1.91160,1.000
1,2.867,0.12,1.8448,1.84477,1.000
1,2.933,0.05,1.7782,1.77820,1.000
1,3.000,0.03,1.7117,1.71170,1.000
1,3.067,0.01,1.6448,1.64483,1.000
1,3.133,0.01,1.5782,1.57817,1.000
1,3.200,0.01,1.5116,1.51160,1.000
1,3.267,0.01,1.4448,1.44480,1.000
1,3.333,0.01,1.3783,1.37830,1.000
1,3.400,0.01,1.3116,1.31160,1.000
1,3.467,0.01,1.2447,1.24473,1.000
1,3.533,0.01,1.1782,1.17817,1.000
1,3.600,0.00,1.1116,1.11160,1.000
1,3.667,0.01,1.0447,1.04470,1.000
1,3.733,0.01,0.9781,0.97810,1.000
1,3.800,0.01,0.9116,0.91160,1.000
1,3.867,0.01,0.8448,0.84480,1.000
1,3.933,0.01,0.7782,0.77820,1.000
1,4.000,0.01,0.7115,0.71150,1.000
1,4.067,0.01,0.6448,0.64477,1.000
1,4.133,0.01,0.5781,0.57810,1.000
1,4.200,0.01,0.5115,0.51150,1.000
1,4.267,0.01,0.4447,0.44470,1.000
1,4.333,0.01,0.3782,0.37817,1.000
1,4.400,0.01,0.3115,0.31150,1.000
1,4.467,0.01,0.2447,0.24470,1.000
1,4.533,0.01,0.1781,0.17807,1.000
1,4.600,0.01,0.1114,0.11140,1.000
1,4.667,0.01,0.0446,0.04460,1.000
1,4.867,0.01,-0.0001,-0.00013,1.000
1,4.933,0.01,-0.0002,-0.00020,1.000
1,5.000,0.01,-0.0002,-0.00020,1.000
1,5.067,0.01,-0.0002,-0.00020,1.000
1,5.133,0.01,-0.0002,-0.00020,1.000
1,5.200,0.01,-0.0002,-0.00020,1.000
1,5.267,0.01,-0.0002,-0.00020,1.000
1,5.333,0.00,-0.0002,-0.00020,1.000
1,5.400,0.01,-0.0002,-0.00020,1.000
1,5.467,0.01,-0.0002,-0.00020,1.000
1,5.533,0.00,-0.0002,-0.00020,1.000
1,5.600,0.00,-0.0002,-0.00020,1.000
1,5.667,0.01,-0.0002,-0.00020,1.000
1,5.733,0.01,-0.0002,-0.00020,1.000
1,5.800,0.01,-0.0002,-0.00020,1.000
1,5.867,0.01,-0.0002,-0.00020,1.000
1,5.933,0.01,-0.0002,-0.00020,1.000
1,6.000,0.00,-0.0002,-0.00020,1.000
1,6.067,0.01,-0.0002,-0.00020,1.000
1,6.133,0.00,-0.0002,-0.00020,1.000
1,6.200,0.01,-0.0001,-0.00010,1.000
1,6.267,0.00,-0.0001,-0.00010,1.000
1,6.333,0.01,-0.0001,-0.00010,1.000
1,6.400,0.00,-0.0001,-0.00010,1.000
1,6.467,0.01,-0.0001,-0.00010,1.000
1,6.533,0.01,-0.0001,-0.00010,1.000
1,6.600,0.01,-0.0001,-0.00010,1.000
1,6.667,0.01,-0.0001,-0.00010,1.000
1,6.733,0.01,-0.0001,-0.00010,1.000
1,6.800,0.00,-0.0001,-0.00010,1.000
1,6.867,0.01,-0.0001,-0.00010,1.000
1,6.933,0.01,-0.0001,-0.00010,1.000
1,7.000,0.00,-0.0001,-0.00010,1.000
1,7.067,0.01,-0.0001,-0.00010,1.000
1,7.133,0.01,-0.0001,-0.00010,1.000
1,7.200,0.01,-0.0001,-0.00010,1.000
1,7.267,0.01,-0.0001,-0.00010,1.000
1,7.333,0.00,-0.0001,-0.00010,1.000
1,7.400,0.01,-0.0001,-0.00010,1.000
1,7.467,0.00,-0.0001,-0.00010,1.000
1,7.533,0.00,-0.0001,-0.00010,1.000
1,7.600,0.00,-0.0001,-0.00010,1.000
1,7.667,0.00,-0.0001,-0.00010,1.000
1,7.733,0.00,-0.0001,-0.00010,1.000
1,7.800,0.01,-0.0001,-0.00010,1.000
1,7.933,0.01,-0.0001,-0.00010,1.000
1,8.000,0.00,-0.0001,-0.00010,1.000
1,8.067,0.01,-0.0001,-0.00010,1.000
1,8.133,0.00,-0.0001,-0.00010,1.000
1,8.200,0.01,-0.0001,-0.00010,1.000
1,8.267,0.01,-0.0001,-0.00010,1.000
1,8.333,0.00,-0.0001,-0.00010,1.000
1,8.400,0.00,-0.0001,-0.00010,1.000
1,8.467,0.00,-0.0001,-0.00010,1.000
1,8.533,0.00,-0.0001,-0.00010,1.000
1,8.600,0.00,-0.0001,-0.00010,1.000
1,8.667,0.00,-0.0001,-0.00010,1.000
1,8.733,0.00,-0.0001,-0.00010,1.000
1,8.800,0.01,-0.0001,-0.00010,1.000
2,9.000,0.00,0.0507,0.05070,2.000
2,9.067,0.00,0.1173,0.11727,2.000
2,9.133,0.00,0.1840,0.18400,2.000
2,9.200,0.00,0.2507,0.25070,2.000
2,9.267,0.00,0.3174,0.31737,2.000
2,9.333,0.00,0.3841,0.38410,2.000
2,9.400,0.00,0.4506,0.45060,2.000
2,9.467,0.00,0.5174,0.51737,2.000
2,9.533,0.00,0.5841,0.58407,2.000
2,9.600,0.00,0.6507,0.65070,2.000
2,9.667,0.00,0.7175,0.71747,2.000
2,9.733,0.00,0.7842,0.78423,2.000
2,9.800,0.00,0.8507,0.85070,2.000
2,9.867,0.00,0.9175,0.91750,2.000
2,9.933,0.00,0.9840,0.98403,2.000
2,10.000,0.00,1.0507,1.05070,2.000
2,10.067,0.00,1.1175,1.11747,2.000
2,10.133,0.00,1.1841,1.18410,2.000
2,10.200,0.00,1.2506,1.25060,2.000
2,10.267,0.00,1.3174,1.31740,2.000
2,10.333,0.00,1.3842,1.38417,2.000
2,10.400,0.00,1.4506,1.45060,2.000
2,10.467,0.00,1.5175,1.51747,2.000
2,10.533,0.00,1.5841,1.58413,2.000
2,10.600,0.01,1.6507,1.65070,2.000
2,10.667,0.04,1.7176,1.71757,2.000
2,10.733,0.08,1.7841,1.78413,2.000
2,10.800,0.15,1.8506,1.85060,2.000
2,10.867,0.26,1.9175,1.91747,2.000
2,10.933,0.39,1.9842,1.98417,2.000
2,11.000,0.57,2.0508,2.05080,2.000
2,11.067,0.77,2.1176,2.11763,2.000
2,11.133,1.00,2.1843,2.18427,2.000
2,11.267,1.06,2.1848,2.18483,2.000
2,11.333,0.77,2.1183,2.11827,2.000
2,11.400,0.54,2.0515,2.05150,2.000
2,11.467,0.36,1.9849,1.98490,2.000
2,11.533,0.22,1.9182,1.91820,2.000
2,11.600,0.12,1.8513,1.85130,2.000
2,11.667,0.05,1.7849,1.78487,2.000
2,11.733,0.02,1.7183,1.71827,2.000
2,11.800,0.01,1.6515,1.65150,2.000
2,11.867,0.00,1.5849,1.58493,2.000
2,11.933,0.00,1.5182,1.51817,2.000
2,12.000,0.00,1.4513,1.45130,2.000
2,12.067,0.00,1.3849,1.38490,2.000
2,12.133,0.00,1.3182,1.31817,2.000
2,12.200,0.00,1.2513,1.25130,2.000
2,12.267,0.00,1.1849,1.18487,2.000
2,12.333,0.00,1.1181,1.11807,2.000
2,12.400,0.00,1.0512,1.05120,2.000
2,12.467,0.00,0.9848,0.98480,2.000
2,12.533,0.00,0.9181,0.91807,2.000
2,12.600,0.00,0.8514,0.85140,2.000
2,12.667,0.00,0.7849,0.78493,2.000
2,12.733,0.00,0.7182,0.71817,2.000
2,12.800,0.00,0.6515,0.65150,2.000
2,12.867,0.00,0.5848,0.58483,2.000
2,12.933,0.00,0.5181,0.51810,2.000
2,13.000,0.00,0.4515,0.45150,2.000
2,13.067,0.00,0.3848,0.38483,2.000
2,13.133,0.00,0.3180,0.31800,2.000
2,13.200,0.00,0.2513,0.25130,2.000
2,13.267,0.00,0.1847,0.18473,2.000
2,13.333,0.00,0.1180,0.11797,2.000
2,13.400,0.00,0.0514,0.05140,2.000
2,13.467,0.00,-0.0152,-0.01520,2.000
2,13.600,0.00,-0.0006,-0.00060,2.000
2,13.667,0.00,-0.0002,-0.00020,2.000
2,13.733,0.00,-0.0002,-0.00020,2.000
2,13.800,0.00,-0.0002,-0.00020,2.000
2,13.867,0.00,-0.0002,-0.00020,2.000
2,13.933,0.00,-0.0002,-0.00020,2.000
2,14.000,0.00,-0.0002,-0.00020,2.000
2,14.067,0.00,-0.0002,-0.00020,2.000
2,14.133,0.00,-0.0002,-0.00020,2.000
2,14.200,0.00,-0.0002,-0.00020,2.000
2,14.267,0.00,-0.0002,-0.00020,2.000
2,14.333,0.00,-0.0002,-0.00020,2.000
2,14.400,0.00,-0.0002,-0.00020,2.000
2,14.467,0.00,-0.0002,-0.00020,2.000
2,14.533,0.00,-0.0002,-0.00020,2.000
2,14.600,0.00,-0.0002,-0.00020,2.000
2,14.667,0.00,-0.0002,-0.00020,2.000
2,14.733,0.00,-0.0002,-0.00020,2.000
2,14.800,0.00,-0.0002,-0.00020,2.000
2,14.867,0.00,-0.0002,-0.00020,2.000
2,14.933,0.00,-0.0002,-0.00020,2.000
2,15.000,0.00,-0.0002,-0.00020,2.000
2,15.067,0.00,-0.0001,-0.00010,2.000
2,15.133,0.00,-0.0001,-0.00010,2.000
2,15.200,0.00,-0.0001,-0.00010,2.000
2,15.267,0.00,-0.0001,-0.00010,2.000
2,15.333,0.00,-0.0001,-0.00010,2.000
2,15.400,0.00,-0.0001,-0.00010,2.000
2,15.467,0.00,-0.0001,-0.00010,2.000
2,15.533,0.00,-0.0001,-0.00010,2.000
2,15.600,0.00,-0.0001,-0.00010,2.000
2,15.667,0.00,-0.0001,-0.00010,2.000
2,15.733,0.00,-0.0001,-0.00010,2.000
2,15.800,0.00,-0.0001,-0.00010,2.000
2,15.867,0.00,-0.0001,-0.00010,2.000
2,15.933,0.00,-0.0001,-0.00010,2.000
2,16.000,0.00,-0.0001,-0.00010,2.000
2,16.067,0.00,-0.0001,-0.00010,2.000
2,16.133,0.00,-0.0001,-0.00010,2.000
2,16.200,0.00,-0.0001,-0.00010,2.000
2,16.267,0.00,-0.0001,-0.00010,2.000
2,16.333,0.00,-0.0001,-0.00010,2.000
