""
"Test Method","Radhen_Load_Cntrl_Cmprsn_250N_12-7.msm"
"Sample I. D.","Sample1.mss"
"Specimen Number","8"

"TheCycle_Output ()","_Time (s)","_Load (N)","_Extension (mm)","RealTimeDepth (mm)","CycleNumber ()"

1,0.333,0.00,0.0916,0.09163,1.000
1,0.400,0.00,0.1584,0.15840,1.000
1,0.467,0.00,0.2251,0.22510,1.000
1,0.533,0.00,0.2919,0.29190,1.000
1,0.600,0.00,0.3584,0.35840,1.000
1,0.667,0.00,0.4252,0.42517,1.000
1,0.733,0.00,0.4919,0.49190,1.000
1,0.800,0.00,0.5585,0.55850,1.000
1,0.867,0.00,0.6252,0.62517,1.000
1,0.933,0.00,0.6920,0.69197,1.000
1,1.000,0.00,0.7585,0.75850,1.000
1,1.067,0.00,0.8251,0.82510,1.000
1,1.133,0.00,0.8919,0.89190,1.000
1,1.200,0.01,0.9586,0.95860,1.000
1,1.267,0.02,1.0252,1.02523,1.000
1,1.333,0.04,1.0920,1.09203,1.000
1,1.400,0.06,1.1586,1.15860,1.000
1,1.467,0.09,1.2251,1.22513,1.000
1,1.533,0.13,1.2919,1.29190,1.000
1,1.600,0.17,1.3585,1.35850,1.000
1,1.667,0.20,1.4251,1.42513,1.000
1,1.733,0.25,1.4919,1.49193,1.000
1,1.800,0.31,1.5586,1.55860,1.000
1,1.867,0.39,1.6252,1.62523,1.000
1,1.933,0.47,1.6920,1.69200,1.000
1,2.000,0.57,1.7585,1.75850,1.000
1,2.067,0.68,1.8253,1.82533,1.000
1,2.133,0.81,1.8921,1.89213,1.000
1,2.200,0.96,1.9586,1.95860,1.000
1,2.267,1.13,2.0252,2.02523,1.000
1,2.333,1.32,2.0920,2.09197,1.000
1,2.400,1.55,2.1586,2.15860,1.000
1,2.467,1.81,2.2253,2.22533,1.000
1,2.533,2.10,2.2921,2.29207,1.000
1,2.600,2.42,2.3587,2.35870,1.000
1,2.667,2.77,2.4254,2.42543,1.000
1,2.733,3.15,2.4921,2.49213,1.000
1,2.800,3.56,2.5588,2.55880,1.000
1,2.867,3.99,2.6254,2.62540,1.000
1,2.933,4.45,2.6920,2.69197,1.000
1,3.000,4.95,2.7586,2.75860,1.000
1,3.067,5.49,2.8253,2.82527,1.000
1,3.133,6.08,2.8920,2.89203,1.000
