""
"Test Method","Radhen_Load_Cntrl_Cmprsn_250N_12-7.msm"
"Sample I. D.","Sample1.mss"
"Specimen Number","12"

"TheCycle_Output ()","_Time (s)","_Load (N)","_Extension (mm)","RealTimeDepth (mm)","CycleNumber ()"

1,0.267,0.00,0.0583,0.05833,1.000
1,0.333,0.00,0.1249,0.12487,1.000
1,0.400,0.00,0.1916,0.19160,1.000
1,0.467,0.00,0.2585,0.25850,1.000
1,0.533,0.00,0.3250,0.32503,1.000
1,0.600,0.00,0.3917,0.39170,1.000
1,0.667,0.00,0.4585,0.45853,1.000
1,0.733,0.00,0.5251,0.52510,1.000
1,0.800,0.00,0.5918,0.59180,1.000
1,0.867,0.00,0.6585,0.65853,1.000
1,0.933,0.00,0.7251,0.72507,1.000
1,1.000,0.00,0.7919,0.79190,1.000
1,1.067,0.00,0.8585,0.85850,1.000
1,1.133,0.00,0.9251,0.92507,1.000
1,1.200,0.00,0.9918,0.99180,1.000
1,1.267,0.00,1.0586,1.05857,1.000
1,1.333,0.00,1.1252,1.12517,1.000
1,1.400,0.00,1.1920,1.19200,1.000
1,1.467,0.00,1.2586,1.25860,1.000
1,1.533,0.00,1.3250,1.32503,1.000
1,1.600,0.01,1.3918,1.39180,1.000
1,1.667,0.00,1.4585,1.45853,1.000
1,1.733,0.01,1.5250,1.52500,1.000
1,1.800,0.00,1.5918,1.59180,1.000
1,1.867,0.00,1.6586,1.65857,1.000
1,1.933,0.00,1.7251,1.72513,1.000
1,2.000,0.00,1.7920,1.79200,1.000
1,2.067,0.00,1.8585,1.85850,1.000
1,2.133,0.01,1.9252,1.92517,1.000
1,2.200,0.03,1.9919,1.99190,1.000
1,2.267,0.06,2.0586,2.05860,1.000
1,2.333,0.11,2.1251,2.12513,1.000
1,2.400,0.20,2.1919,2.19190,1.000
1,2.467,0.32,2.2585,2.25853,1.000
1,2.533,0.47,2.3252,2.32520,1.000
1,2.600,0.65,2.3920,2.39200,1.000
1,2.667,0.86,2.4586,2.45860,1.000
1,2.733,1.09,2.5252,2.52520,1.000
1,2.800,1.37,2.5921,2.59210,1.000
1,2.867,1.68,2.6586,2.65860,1.000
1,2.933,2.03,2.7252,2.72520,1.000
1,3.000,2.41,2.7920,2.79200,1.000
1,3.067,2.83,2.8585,2.85847,1.000
1,3.133,3.29,2.9251,2.92513,1.000
1,3.200,3.81,2.9919,2.99190,1.000
1,3.267,4.36,3.0585,3.05853,1.000
1,3.333,4.96,3.1251,3.12513,1.000
1,3.467,5.01,3.1258,3.12577,1.000
1,3.533,4.22,3.0593,3.05927,1.000
1,3.600,3.56,2.9926,2.99260,1.000
1,3.667,2.99,2.9258,2.92583,1.000
1,3.733,2.49,2.8592,2.85920,1.000
1,3.800,2.06,2.7926,2.79260,1.000
1,3.867,1.69,2.7259,2.72593,1.000
1,3.933,1.36,2.6593,2.65933,1.000
1,4.000,1.07,2.5927,2.59270,1.000
1,4.067,0.82,2.5259,2.52590,1.000
1,4.133,0.62,2.4593,2.45930,1.000
1,4.200,0.44,2.3926,2.39260,1.000
1,4.267,0.29,2.3259,2.32590,1.000
1,4.333,0.17,2.2593,2.25930,1.000
1,4.400,0.09,2.1925,2.19250,1.000
1,4.467,0.04,2.1258,2.12577,1.000
1,4.533,0.02,2.0593,2.05933,1.000
1,4.600,0.00,1.9926,1.99260,1.000
1,4.667,0.00,1.9258,1.92580,1.000
1,4.733,0.00,1.8592,1.85923,1.000
1,4.800,0.00,1.7926,1.79260,1.000
1,4.867,0.00,1.7259,1.72590,1.000
1,4.933,0.00,1.6592,1.65923,1.000
1,5.000,0.00,1.5925,1.59250,1.000
1,5.067,0.00,1.5258,1.52577,1.000
1,5.133,0.00,1.4592,1.45923,1.000
1,5.200,0.00,1.3925,1.39250,1.000
1,5.267,0.00,1.3257,1.32570,1.000
