""
"Test Method","Radhen_Load_Cntrl_Cmprsn_250N_12-7.msm"
"Sample I. D.","Sample1.mss"
"Specimen Number","46"

"TheCycle_Output ()","_Time (s)","_Load (N)","_Extension (mm)","RealTimeDepth (mm)","CycleNumber ()"

1,0.333,0.00,0.1863,0.18627,1.000
1,0.400,-0.01,0.3866,0.38660,1.000
1,0.467,-0.01,0.5865,0.58653,1.000
1,0.533,0.00,0.7866,0.78663,1.000
1,0.600,0.00,0.9866,0.98660,1.000
1,0.667,0.00,1.1867,1.18670,1.000
1,0.733,0.00,1.3867,1.38667,1.000
1,0.800,-0.01,1.5866,1.58660,1.000
1,0.867,0.00,1.7866,1.78663,1.000
1,0.933,0.00,1.9866,1.98657,1.000
1,1.000,0.01,2.1866,2.18660,1.000
1,1.067,0.02,2.3867,2.38667,1.000
1,1.133,0.10,2.5868,2.58677,1.000
1,1.200,0.37,2.7866,2.78660,1.000
1,1.267,0.90,2.9868,2.98680,1.000
1,1.333,1.69,3.1868,3.18680,1.000
1,1.400,2.77,3.3866,3.38660,1.000
1,1.467,4.15,3.5867,3.58670,1.000
1,1.533,5.88,3.7867,3.78670,1.000
1,1.600,7.99,3.9867,3.98670,1.000
1,1.667,10.55,4.1867,4.18667,1.000
1,1.733,13.60,4.3868,4.38677,1.000
1,1.800,17.24,4.5866,4.58660,1.000
1,2.000,27.28,4.9983,4.99830,1.000
1,2.067,24.60,4.9380,4.93803,1.000
1,2.133,18.83,4.7695,4.76953,1.000
1,2.200,13.41,4.5697,4.56970,1.000
1,2.267,9.61,4.3696,4.36960,1.000
1,2.333,6.84,4.1696,4.16963,1.000
1,2.400,4.84,3.9697,3.96970,1.000
1,2.467,3.38,3.7695,3.76953,1.000
1,2.533,2.27,3.5696,3.56960,1.000
1,2.600,1.42,3.3696,3.36960,1.000
1,2.667,0.79,3.1697,3.16967,1.000
1,2.733,0.35,2.9697,2.96970,1.000
1,2.800,0.08,2.7696,2.76960,1.000
1,2.867,-0.01,2.5696,2.56957,1.000
1,2.933,0.00,2.3696,2.36960,1.000
1,3.000,0.00,2.1696,2.16960,1.000
1,3.067,0.00,1.9695,1.96953,1.000
1,3.133,-0.01,1.7695,1.76950,1.000
1,3.200,0.00,1.5696,1.56960,1.000
1,3.267,0.00,1.3695,1.36947,1.000
1,3.333,0.00,1.1695,1.16950,1.000
1,3.400,0.00,0.9695,0.96950,1.000
1,3.467,0.00,0.7696,0.76963,1.000
1,3.533,0.00,0.5694,0.56940,1.000
1,3.600,0.00,0.3695,0.36950,1.000
1,3.667,0.00,0.1694,0.16937,1.000
1,3.867,0.00,-0.2518,-0.25180,1.000
1,3.933,0.00,-0.1974,-0.19743,1.000
1,4.000,-0.01,-0.0571,-0.05710,1.000
1,4.067,-0.01,0.0000,-0.00003,1.000
1,4.133,0.00,-0.0002,-0.00020,1.000
1,4.200,0.00,-0.0002,-0.00020,1.000
1,4.267,0.00,-0.0002,-0.00020,1.000
1,4.333,-0.01,-0.0002,-0.00020,1.000
1,4.400,0.00,-0.0002,-0.00020,1.000
1,4.467,0.00,-0.0002,-0.00020,1.000
1,4.533,0.00,-0.0002,-0.00020,1.000
1,4.600,0.00,-0.0002,-0.00020,1.000
1,4.667,0.00,-0.0002,-0.00020,1.000
1,4.733,0.00,-0.0002,-0.00020,1.000
1,4.800,0.00,-0.0002,-0.00020,1.000
1,4.867,0.00,-0.0002,-0.00020,1.000
1,4.933,0.00,-0.0002,-0.00020,1.000
1,5.000,0.00,-0.0001,-0.00010,1.000
1,5.067,0.00,-0.0001,-0.00010,1.000
1,5.133,-0.01,-0.0001,-0.00010,1.000
1,5.200,0.00,-0.0001,-0.00010,1.000
1,5.267,0.00,-0.0001,-0.00010,1.000
1,5.333,0.00,-0.0001,-0.00010,1.000
1,5.400,0.00,-0.0001,-0.00010,1.000
1,5.467,0.00,-0.0001,-0.00010,1.000
1,5.533,0.00,-0.0001,-0.00010,1.000
1,5.600,0.00,-0.0001,-0.00010,1.000
1,5.667,0.00,-0.0001,-0.00010,1.000
1,5.733,0.00,-0.0001,-0.00010,1.000
1,5.800,0.00,-0.0001,-0.00010,1.000
1,5.867,0.00,-0.0001,-0.00010,1.000
1,5.933,0.00,-0.0001,-0.00010,1.000
1,6.000,0.00,-0.0001,-0.00010,1.000
1,6.067,0.00,-0.0001,-0.00010,1.000
1,6.133,0.00,-0.0001,-0.00010,1.000
1,6.200,0.00,-0.0001,-0.00010,1.000
1,6.267,0.00,-0.0001,-0.00010,1.000
