""
"Test Method","Radhen_Load_Cntrl_Cmprsn_250N_12-7.msm"
"Sample I. D.","Sample1.mss"
"Specimen Number","37"

"TheCycle_Output ()","_Time (s)","_Load (N)","_Extension (mm)","RealTimeDepth (mm)","CycleNumber ()"

1,0.267,0.00,0.0580,0.05803,1.000
1,0.333,0.00,0.1246,0.12463,1.000
1,0.400,-0.01,0.1916,0.19160,1.000
1,0.467,0.00,0.2581,0.25813,1.000
1,0.533,0.00,0.3247,0.32473,1.000
1,0.600,-0.01,0.3916,0.39160,1.000
1,0.667,0.00,0.4581,0.45813,1.000
1,0.733,0.00,0.5248,0.52483,1.000
1,0.800,0.00,0.5916,0.59160,1.000
1,0.867,0.00,0.6582,0.65823,1.000
1,0.933,-0.01,0.7248,0.72483,1.000
1,1.000,-0.02,0.7917,0.79170,1.000
1,1.067,0.00,0.8582,0.85820,1.000
1,1.133,-0.01,0.9248,0.92483,1.000
1,1.200,0.00,0.9915,0.99150,1.000
1,1.267,-0.01,1.0582,1.05820,1.000
1,1.333,-0.01,1.1250,1.12497,1.000
1,1.400,0.00,1.1917,1.19170,1.000
1,1.467,-0.01,1.2583,1.25830,1.000
1,1.533,0.00,1.3250,1.32497,1.000
1,1.600,0.00,1.3917,1.39170,1.000
1,1.667,0.00,1.4581,1.45813,1.000
1,1.733,0.00,1.5248,1.52483,1.000
1,1.800,-0.01,1.5916,1.59160,1.000
1,1.867,-0.01,1.6583,1.65830,1.000
1,1.933,-0.01,1.7249,1.72493,1.000
1,2.000,0.00,1.7917,1.79170,1.000
1,2.067,-0.01,1.8582,1.85817,1.000
1,2.133,-0.01,1.9249,1.92493,1.000
1,2.200,-0.01,1.9918,1.99180,1.000
1,2.267,0.00,2.0583,2.05833,1.000
1,2.333,0.00,2.1249,2.12493,1.000
1,2.400,0.00,2.1917,2.19170,1.000
1,2.467,-0.01,2.2583,2.25830,1.000
1,2.533,0.00,2.3250,2.32497,1.000
1,2.600,0.00,2.3917,2.39170,1.000
1,2.667,0.01,2.4583,2.45827,1.000
1,2.733,-0.01,2.5249,2.52490,1.000
1,2.800,-0.02,2.5916,2.59160,1.000
1,2.867,-0.01,2.6583,2.65827,1.000
1,2.933,-0.01,2.7250,2.72497,1.000
1,3.000,0.00,2.7919,2.79190,1.000
1,3.067,-0.01,2.8583,2.85833,1.000
1,3.133,0.00,2.9250,2.92497,1.000
1,3.200,0.01,2.9917,2.99170,1.000
1,3.267,0.00,3.0583,3.05833,1.000
1,3.333,0.00,3.1251,3.12513,1.000
1,3.400,-0.01,3.1918,3.19180,1.000
1,3.467,-0.01,3.2584,3.25843,1.000
1,3.533,-0.01,3.3251,3.32513,1.000
1,3.600,0.00,3.3917,3.39170,1.000
1,3.667,0.00,3.4584,3.45837,1.000
1,3.733,0.00,3.5251,3.52507,1.000
1,3.800,-0.01,3.5918,3.59180,1.000
1,3.867,0.00,3.6585,3.65850,1.000
1,3.933,-0.01,3.7252,3.72523,1.000
1,4.000,0.00,3.7919,3.79190,1.000
1,4.067,-0.01,3.8583,3.85833,1.000
1,4.133,0.00,3.9250,3.92500,1.000
1,4.200,0.00,3.9918,3.99180,1.000
1,4.267,0.00,4.0583,4.05833,1.000
1,4.333,0.01,4.1251,4.12507,1.000
1,4.400,0.00,4.1918,4.19180,1.000
1,4.467,0.01,4.2584,4.25840,1.000
1,4.533,0.01,4.3252,4.32517,1.000
1,4.600,0.02,4.3917,4.39170,1.000
1,4.667,0.03,4.4584,4.45837,1.000
1,4.733,0.07,4.5252,4.52523,1.000
1,4.800,0.11,4.5918,4.59180,1.000
1,4.867,0.18,4.6584,4.65843,1.000
1,4.933,0.27,4.7251,4.72513,1.000
1,5.000,0.40,4.7918,4.79180,1.000
1,5.067,0.53,4.8584,4.85837,1.000
1,5.133,0.71,4.9252,4.92520,1.000
1,5.200,0.91,4.9920,4.99200,1.000
1,5.267,1.14,5.0585,5.05853,1.000
1,5.333,1.40,5.1253,5.12530,1.000
1,5.400,1.68,5.1920,5.19200,1.000
