Loop Time (ms)	IR (16 bit)	Force (N)	Force (N)	Color	Speed (mm/s)	Spatial (mm)	Angle (deg)
273.000	7368.000	1567.930	50.000	0.000	10.000	0.000	0.000
3283.000	7369.000	1567.930	50.000	0.000	10.000	0.000	0.000
64.000	7363.000	1567.930	50.000	0.000	10.000	0.000	0.000
63.000	7362.000	1567.930	50.000	0.000	10.000	0.000	0.000
80.000	7366.000	1567.930	50.000	0.000	10.000	0.000	0.000
64.000	7358.000	1567.930	50.000	0.000	10.000	0.000	0.000
64.000	7368.000	1567.930	50.000	0.000	10.000	0.000	0.000
64.000	7363.000	1567.810	50.000	0.000	10.000	0.000	0.000
63.000	7369.000	1567.930	50.000	0.000	10.000	0.000	0.000
64.000	7364.000	1567.930	50.000	0.000	10.000	0.000	0.000
64.000	7364.000	1567.930	50.000	0.000	10.000	0.000	0.000
64.000	7364.000	1567.930	50.000	0.000	10.000	0.000	0.000
64.000	7365.000	1567.930	50.000	0.000	10.000	0.000	0.000
64.000	7363.000	1567.930	50.000	0.000	10.000	0.000	0.000
64.000	7367.000	1567.810	50.000	0.000	10.000	0.000	0.000
64.000	7365.000	1567.930	50.000	0.000	10.000	0.000	0.000
80.000	7363.000	1567.930	50.000	0.000	10.000	0.000	0.000
64.000	7360.000	1567.930	50.000	0.000	10.000	0.000	0.000
64.000	7366.000	1567.810	50.000	0.000	10.000	0.000	0.000
64.000	7367.000	1567.930	50.000	0.000	10.000	0.000	0.000
64.000	7364.000	1567.930	50.000	0.000	10.000	0.000	0.000
63.000	7361.000	1568.060	50.000	0.000	10.000	0.000	0.000
65.000	7365.000	1567.930	50.000	0.000	10.000	0.000	0.000
63.000	7360.000	1567.930	50.000	0.000	10.000	0.000	0.000
64.000	7366.000	1567.810	50.000	0.000	10.000	0.000	0.000
65.000	7366.000	1567.810	50.000	0.000	10.000	0.000	0.000
64.000	7368.000	1567.930	50.000	0.000	10.000	0.000	0.000
80.000	7365.000	1567.810	50.000	0.000	10.000	0.000	0.000
63.000	7361.000	1567.930	50.000	0.000	10.000	0.000	0.000
64.000	7361.000	1567.810	50.000	0.000	10.000	0.000	0.000
64.000	7364.000	1567.810	50.000	0.000	10.000	0.000	0.000
64.000	7367.000	1567.810	50.000	0.000	10.000	0.000	0.000
64.000	7369.000	1567.930	50.000	0.000	10.000	0.000	0.000
64.000	7362.000	1567.930	50.000	0.000	10.000	0.000	0.000
64.000	7365.000	1567.930	50.000	0.000	10.000	0.000	0.000
63.000	7369.000	1567.930	50.000	0.000	10.000	0.000	0.000
64.000	7364.000	1567.930	50.000	0.000	10.000	0.000	0.000
64.000	7368.000	1567.930	50.000	0.000	10.000	0.000	0.000
64.000	7362.000	1567.930	50.000	0.000	10.000	0.000	0.000
80.000	7367.000	1567.930	50.000	0.000	10.000	0.000	0.000
65.000	7360.000	1567.810	50.000	0.000	10.000	0.000	0.000
63.000	7362.000	1567.930	50.000	0.000	10.000	0.000	0.000
64.000	7365.000	1567.810	50.000	0.000	10.000	0.000	0.000
64.000	7361.000	1567.810	50.000	0.000	10.000	0.000	0.000
63.000	7364.000	1567.810	50.000	0.000	10.000	0.000	0.000
64.000	7369.000	1567.930	50.000	0.000	10.000	0.000	0.000
65.000	7360.000	1567.930	50.000	0.000	10.000	0.000	0.000
63.000	7366.000	1567.810	50.000	0.000	10.000	0.000	0.000
65.000	7364.000	1567.930	50.000	0.000	10.000	0.000	0.000
63.000	7361.000	1567.810	50.000	0.000	10.000	0.000	0.000
65.000	7364.000	1567.930	50.000	0.000	10.000	0.000	0.000
79.000	7363.000	1567.930	50.000	0.000	10.000	0.000	0.000
64.000	7363.000	1567.930	50.000	0.000	10.000	0.000	0.000
64.000	7362.000	1567.810	50.000	0.000	10.000	0.000	0.000
64.000	7363.000	1567.930	50.000	0.000	10.000	0.000	0.000
