Loop Time (ms)	IR (16 bit)	Force (N)	Force (N)	Color	Speed (mm/s)	Spatial (mm)	Angle (deg)
254.000	7822.000	1570.480	5.000	0.000	1.000	0.000	0.000
3282.000	7821.000	1570.350	5.000	0.000	1.000	0.000	0.000
64.000	7829.000	1570.480	5.000	0.000	1.000	0.000	0.000
80.000	7822.000	1570.480	5.000	0.000	1.000	0.000	0.000
63.000	7824.000	1570.610	5.000	0.000	1.000	0.000	0.000
64.000	7823.000	1570.480	5.000	0.000	1.000	0.000	0.000
64.000	7820.000	1570.480	5.000	0.000	1.000	0.000	0.000
64.000	7820.000	1570.480	5.000	0.000	1.000	0.000	0.000
64.000	7821.000	1570.480	5.000	0.000	1.000	0.000	0.000
65.000	7819.000	1570.480	5.000	0.000	1.000	0.000	0.000
63.000	7822.000	1570.480	5.000	0.000	1.000	0.000	0.000
64.000	7820.000	1570.480	5.000	0.000	1.000	0.000	0.000
64.000	7820.000	1570.480	5.000	0.000	1.000	0.000	0.000
64.000	7822.000	1570.480	5.000	0.000	1.000	0.000	0.000
64.000	7822.000	1570.350	5.000	0.000	1.000	0.000	0.000
80.000	7820.000	1570.480	5.000	0.000	1.000	0.000	0.000
64.000	7825.000	1570.480	5.000	0.000	1.000	0.000	0.000
64.000	7822.000	1570.480	5.000	0.000	1.000	0.000	0.000
64.000	7822.000	1570.480	5.000	0.000	1.000	0.000	0.000
63.000	7826.000	1570.480	5.000	0.000	1.000	0.000	0.000
65.000	7822.000	1570.480	5.000	0.000	1.000	0.000	0.000
63.000	7822.000	1570.610	5.000	0.000	1.000	0.000	0.000
65.000	7826.000	1570.480	5.000	0.000	1.000	0.000	0.000
63.000	7826.000	1570.480	5.000	0.000	1.000	0.000	0.000
65.000	7822.000	1570.480	5.000	0.000	1.000	0.000	0.000
63.000	7823.000	1570.480	5.000	0.000	1.000	0.000	0.000
80.000	7820.000	1570.480	5.000	0.000	1.000	0.000	0.000
64.000	7822.000	1570.480	5.000	0.000	1.000	0.000	0.000
64.000	7822.000	1570.480	5.000	0.000	1.000	0.000	0.000
64.000	7825.000	1570.480	5.000	0.000	1.000	0.000	0.000
64.000	7816.000	1570.610	5.000	0.000	1.000	0.000	0.000
64.000	7821.000	1570.480	5.000	0.000	1.000	0.000	0.000
63.000	7823.000	1570.480	5.000	0.000	1.000	0.000	0.000
64.000	7819.000	1570.480	5.000	0.000	1.000	0.000	0.000
65.000	7822.000	1570.480	5.000	0.000	1.000	0.000	0.000
63.000	7820.000	1570.480	5.000	0.000	1.000	0.000	0.000
64.000	7825.000	1570.480	5.000	0.000	1.000	0.000	0.000
64.000	7821.000	1570.480	5.000	0.000	1.000	0.000	0.000
80.000	7820.000	1570.480	5.000	0.000	1.000	0.000	0.000
64.000	7822.000	1570.480	5.000	0.000	1.000	0.000	0.000
64.000	7823.000	1570.480	5.000	0.000	1.000	0.000	0.000
64.000	7824.000	1570.610	5.000	0.000	1.000	0.000	0.000
64.000	7822.000	1570.480	5.000	0.000	1.000	0.000	0.000
63.000	7819.000	1570.480	5.000	0.000	1.000	0.000	0.000
65.000	7821.000	1570.610	5.000	0.000	1.000	0.000	0.000
63.000	7823.000	1570.350	5.000	0.000	1.000	0.000	0.000
64.000	7820.000	1570.480	5.000	0.000	1.000	0.000	0.000
65.000	7819.000	1570.480	5.000	0.000	1.000	0.000	0.000
63.000	7821.000	1570.480	5.000	0.000	1.000	0.000	0.000
