Loop Time (ms)	IR (16 bit)	Force (N)	Force (N)	Color	Speed (mm/s)	Spatial (mm)	Angle (deg)
257.000	7408.000	1568.190	20.000	0.000	3.000	0.000	0.000
3283.000	7407.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7407.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7409.000	1568.320	20.000	0.000	3.000	0.000	0.000
80.000	7412.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7408.000	1568.320	20.000	0.000	3.000	0.000	0.000
64.000	7403.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7403.000	1568.190	20.000	0.000	3.000	0.000	0.000
63.000	7405.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7403.000	1568.320	20.000	0.000	3.000	0.000	0.000
65.000	7403.000	1568.320	20.000	0.000	3.000	0.000	0.000
64.000	7409.000	1568.190	20.000	0.000	3.000	0.000	0.000
63.000	7404.000	1568.190	20.000	0.000	3.000	0.000	0.000
65.000	7404.000	1568.320	20.000	0.000	3.000	0.000	0.000
64.000	7404.000	1568.190	20.000	0.000	3.000	0.000	0.000
63.000	7406.000	1568.190	20.000	0.000	3.000	0.000	0.000
80.000	7408.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7399.000	1568.320	20.000	0.000	3.000	0.000	0.000
64.000	7400.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7398.000	1568.190	20.000	0.000	3.000	0.000	0.000
63.000	7403.000	1568.190	20.000	0.000	3.000	0.000	0.000
65.000	7403.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7401.000	1568.320	20.000	0.000	3.000	0.000	0.000
63.000	7398.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7401.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7400.000	1568.190	20.000	0.000	3.000	0.000	0.000
65.000	7409.000	1568.190	20.000	0.000	3.000	0.000	0.000
63.000	7402.000	1568.190	20.000	0.000	3.000	0.000	0.000
80.000	7401.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7394.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7398.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7404.000	1568.320	20.000	0.000	3.000	0.000	0.000
64.000	7404.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7403.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7402.000	1568.320	20.000	0.000	3.000	0.000	0.000
64.000	7404.000	1568.320	20.000	0.000	3.000	0.000	0.000
63.000	7401.000	1568.320	20.000	0.000	3.000	0.000	0.000
65.000	7399.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7407.000	1568.190	20.000	0.000	3.000	0.000	0.000
79.000	7401.000	1568.320	20.000	0.000	3.000	0.000	0.000
65.000	7402.000	1568.190	20.000	0.000	3.000	0.000	0.000
63.000	7398.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7400.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7399.000	1568.320	20.000	0.000	3.000	0.000	0.000
64.000	7400.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7403.000	1568.320	20.000	0.000	3.000	0.000	0.000
64.000	7401.000	1568.190	20.000	0.000	3.000	0.000	0.000
63.000	7399.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7399.000	1568.190	20.000	0.000	3.000	0.000	0.000
65.000	7401.000	1568.190	20.000	0.000	3.000	0.000	0.000
63.000	7404.000	1568.320	20.000	0.000	3.000	0.000	0.000
81.000	7408.000	1568.190	20.000	0.000	3.000	0.000	0.000
63.000	7400.000	1568.320	20.000	0.000	3.000	0.000	0.000
64.000	7401.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7399.000	1568.320	20.000	0.000	3.000	0.000	0.000
64.000	7400.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7400.000	1568.320	20.000	0.000	3.000	0.000	0.000
64.000	7396.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7403.000	1568.190	20.000	0.000	3.000	0.000	0.000
63.000	7401.000	1568.190	20.000	0.000	3.000	0.000	0.000
65.000	7402.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7402.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7401.000	1568.190	20.000	0.000	3.000	0.000	0.000
79.000	7400.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7399.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7403.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7403.000	1568.060	20.000	0.000	3.000	0.000	0.000
64.000	7400.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7396.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7397.000	1568.060	20.000	0.000	3.000	0.000	0.000
64.000	7400.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7400.000	1568.190	20.000	0.000	3.000	0.000	0.000
63.000	7400.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7397.000	1568.060	20.000	0.000	3.000	0.000	0.000
80.000	7397.000	1568.190	20.000	0.000	3.000	0.000	0.000
65.000	7407.000	1568.190	20.000	0.000	3.000	0.000	0.000
63.000	7437.000	1568.190	20.000	0.000	3.000	0.000	0.000
65.000	7481.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7535.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7585.000	1568.320	20.000	0.000	3.000	0.000	0.000
63.000	7651.000	1568.320	20.000	0.000	3.000	0.000	0.000
64.000	7723.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7801.000	1568.320	20.000	0.000	3.000	0.000	0.000
64.000	7890.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	7990.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	8106.000	1568.190	20.000	0.000	3.000	0.000	0.000
80.000	8254.000	1568.190	20.000	0.000	3.000	0.000	0.000
64.000	8428.000	1568.320	20.000	0.000	3.000	0.000	0.000
63.000	8662.000	1568.320	20.000	0.000	3.000	0.000	0.000
65.000	9448.000	1568.440	20.000	0.000	3.000	0.000	0.000
64.000	10136.000	1569.210	20.000	0.000	3.000	0.000	0.000
63.000	10515.000	1574.300	20.000	0.000	3.000	0.000	0.000
64.000	10731.000	1578.500	20.000	0.000	3.000	0.000	0.000
64.000	10767.000	1578.890	20.000	0.000	3.000	0.000	0.000
64.000	10787.000	1579.520	20.000	0.000	3.000	0.000	0.000
64.000	10890.000	1579.900	20.000	0.000	3.000	0.000	0.000
64.000	11163.000	1580.670	20.000	0.000	3.000	0.000	0.000
64.000	11560.000	1581.310	20.000	0.000	3.000	0.000	0.000
79.000	12371.000	1582.070	20.000	0.000	3.000	0.000	0.000
65.000	13511.000	1582.830	20.000	0.000	3.000	0.000	0.000
63.000	14681.000	1583.600	20.000	0.000	3.000	0.000	0.000
64.000	15191.000	1583.850	20.000	0.000	3.000	0.000	0.000
65.000	15182.000	1583.470	20.000	0.000	3.000	0.000	0.000
64.000	14855.000	1582.580	20.000	0.000	3.000	0.000	0.000
63.000	14424.000	1581.690	20.000	0.000	3.000	0.000	0.000
64.000	14054.000	1580.670	20.000	0.000	3.000	0.000	0.000
64.000	13742.000	1580.160	20.000	0.000	3.000	0.000	0.000
64.000	13453.000	1580.030	20.000	0.000	3.000	0.000	0.000
64.000	13143.000	1579.400	20.000	0.000	3.000	0.000	0.000
79.000	12744.000	1578.890	20.000	0.000	3.000	0.000	0.000
64.000	12108.000	1578.760	20.000	0.000	3.000	0.000	0.000
64.000	11484.000	1578.630	20.000	0.000	3.000	0.000	0.000
65.000	11038.000	1578.500	20.000	0.000	3.000	0.000	0.000
63.000	10657.000	1578.380	20.000	0.000	3.000	0.000	0.000
64.000	10450.000	1578.250	20.000	0.000	3.000	0.000	0.000
64.000	10195.000	1578.120	20.000	0.000	3.000	0.000	0.000
64.000	9830.000	1577.990	20.000	0.000	3.000	0.000	0.000
65.000	8271.000	1577.990	20.000	0.000	3.000	0.000	0.000
63.000	7794.000	1577.740	20.000	0.000	3.000	0.000	0.000
64.000	7522.000	1577.360	20.000	0.000	3.000	0.000	0.000
64.000	7373.000	1577.360	20.000	0.000	3.000	0.000	0.000
80.000	7289.000	1577.100	20.000	0.000	3.000	0.000	0.000
64.000	7225.000	1576.720	20.000	0.000	3.000	0.000	0.000
64.000	7161.000	1576.340	20.000	0.000	3.000	0.000	0.000
64.000	7112.000	1575.960	20.000	0.000	3.000	0.000	0.000
64.000	7085.000	1575.320	20.000	0.000	3.000	0.000	0.000
64.000	7047.000	1574.940	20.000	0.000	3.000	0.000	0.000
63.000	7022.000	1574.430	20.000	0.000	3.000	0.000	0.000
64.000	7001.000	1574.050	20.000	0.000	3.000	0.000	0.000
65.000	6984.000	1573.540	20.000	0.000	3.000	0.000	0.000
63.000	6991.000	1573.160	20.000	0.000	3.000	0.000	0.000
64.000	7018.000	1572.520	20.000	0.000	3.000	0.000	0.000
64.000	7055.000	1572.260	20.000	0.000	3.000	0.000	0.000
80.000	6926.000	1571.630	20.000	0.000	3.000	0.000	0.000
64.000	6866.000	1571.370	20.000	0.000	3.000	0.000	0.000
64.000	6834.000	1570.990	20.000	0.000	3.000	0.000	0.000
65.000	6820.000	1570.740	20.000	0.000	3.000	0.000	0.000
