""
"Test Method","Radhen_Load_Cntrl_Cmprsn_250N_12-7.msm"
"Sample I. D.","Sample1.mss"
"Specimen Number","5"

"TheCycle_Output ()","_Time (s)","_Load (N)","_Extension (mm)","RealTimeDepth (mm)","CycleNumber ()"

1,0.312,0.00,0.1020,0.10205,1.000
1,0.375,0.00,0.1646,0.16460,1.000
1,0.438,0.00,0.2273,0.22728,1.000
1,0.500,0.00,0.2897,0.28970,1.000
1,0.562,0.01,0.3522,0.35222,1.000
1,0.625,0.00,0.4146,0.41460,1.000
1,0.688,0.00,0.4771,0.47715,1.000
1,0.750,0.00,0.5397,0.53970,1.000
1,0.812,0.00,0.6023,0.60232,1.000
1,0.875,0.00,0.6648,0.66480,1.000
1,0.938,0.00,0.7272,0.72725,1.000
1,1.000,0.01,0.7898,0.78980,1.000
1,1.062,0.01,0.8522,0.85220,1.000
1,1.125,0.01,0.9148,0.91475,1.000
1,1.188,0.00,0.9773,0.97728,1.000
1,1.250,0.00,1.0399,1.03990,1.000
1,1.312,0.00,1.1023,1.10230,1.000
1,1.375,0.00,1.1648,1.16475,1.000
1,1.438,0.00,1.2273,1.22730,1.000
1,1.500,0.01,1.2897,1.28970,1.000
1,1.562,0.01,1.3524,1.35238,1.000
1,1.625,0.01,1.4148,1.41485,1.000
1,1.688,0.00,1.4774,1.47738,1.000
1,1.750,0.00,1.5398,1.53980,1.000
1,1.812,0.00,1.6025,1.60248,1.000
1,1.875,0.01,1.6650,1.66495,1.000
1,1.938,0.01,1.7273,1.72732,1.000
1,2.000,0.00,1.7898,1.78980,1.000
1,2.062,0.00,1.8523,1.85225,1.000
1,2.125,0.01,1.9148,1.91480,1.000
1,2.188,0.00,1.9772,1.97720,1.000
1,2.250,0.00,2.0398,2.03980,1.000
1,2.312,0.00,2.1023,2.10230,1.000
1,2.375,0.00,2.1648,2.16480,1.000
1,2.438,0.00,2.2274,2.22735,1.000
1,2.500,0.01,2.2898,2.28980,1.000
1,2.562,0.00,2.3525,2.35248,1.000
1,2.625,0.00,2.4148,2.41480,1.000
1,2.688,0.00,2.4774,2.47738,1.000
1,2.750,0.00,2.5397,2.53970,1.000
1,2.812,0.00,2.6024,2.60235,1.000
1,2.875,0.00,2.6648,2.66485,1.000
1,2.938,0.00,2.7273,2.72728,1.000
1,3.000,0.00,2.7900,2.79000,1.000
1,3.062,0.00,2.8523,2.85230,1.000
1,3.125,0.00,2.9148,2.91485,1.000
1,3.188,0.00,2.9774,2.97735,1.000
1,3.250,0.01,3.0399,3.03990,1.000
1,3.312,0.01,3.1024,3.10235,1.000
1,3.375,0.02,3.1650,3.16495,1.000
1,3.438,0.03,3.2273,3.22728,1.000
1,3.500,0.04,3.2898,3.28980,1.000
1,3.562,0.05,3.3524,3.35238,1.000
1,3.625,0.07,3.4148,3.41480,1.000
1,3.688,0.09,3.4775,3.47748,1.000
1,3.750,0.13,3.5398,3.53980,1.000
1,3.812,0.18,3.6025,3.60250,1.000
1,3.875,0.26,3.6650,3.66495,1.000
1,3.938,0.34,3.7275,3.72750,1.000
1,4.000,0.46,3.7900,3.79000,1.000
1,4.062,0.58,3.8524,3.85242,1.000
1,4.125,0.73,3.9149,3.91490,1.000
1,4.188,0.91,3.9773,3.97732,1.000
1,4.250,1.12,4.0400,4.04000,1.000
1,4.312,1.36,4.1022,4.10222,1.000
1,4.375,1.63,4.1649,4.16485,1.000
1,4.438,1.93,4.2274,4.22737,1.000
1,4.500,2.25,4.2899,4.28990,1.000
1,4.562,2.62,4.3523,4.35235,1.000
1,4.625,3.02,4.4149,4.41490,1.000
1,4.688,3.45,4.4774,4.47745,1.000
1,4.750,3.93,4.5398,4.53980,1.000
1,4.812,4.45,4.6025,4.60248,1.000
1,4.875,5.00,4.6648,4.66475,1.000
1,4.938,5.60,4.7273,4.72732,1.000
1,5.000,6.26,4.7899,4.78990,1.000
1,5.062,6.97,4.8523,4.85228,1.000
1,5.125,7.71,4.9150,4.91495,1.000
1,5.188,8.52,4.9773,4.97732,1.000
