""
"Test Method","Radhen_Load_Cntrl_Cmprsn_250N_12-7.msm"
"Sample I. D.","Sample1.mss"
"Specimen Number","1"

"TheCycle_Output ()","_Time (s)","_Load (N)","_Extension (mm)","RealTimeDepth (mm)","CycleNumber ()"

1,0.250,0.01,0.0255,0.02550,1.000
1,0.300,0.00,0.0755,0.07550,1.000
1,0.350,0.00,0.1256,0.12560,1.000
1,0.400,0.00,0.1754,0.17540,1.000
1,0.450,0.01,0.2255,0.22550,1.000
1,0.500,0.01,0.2757,0.27570,1.000
1,0.550,0.01,0.3257,0.32570,1.000
1,0.600,0.01,0.3755,0.37550,1.000
1,0.650,0.00,0.4257,0.42570,1.000
1,0.700,0.00,0.4757,0.47570,1.000
1,0.750,0.01,0.5258,0.52580,1.000
1,0.800,0.01,0.5756,0.57560,1.000
1,0.850,0.01,0.6257,0.62570,1.000
1,0.900,0.00,0.6758,0.67580,1.000
1,0.950,0.00,0.7258,0.72580,1.000
1,1.000,0.01,0.7756,0.77560,1.000
1,1.050,0.01,0.8256,0.82560,1.000
1,1.100,0.00,0.8757,0.87570,1.000
1,1.150,0.01,0.9257,0.92570,1.000
1,1.200,0.00,0.9756,0.97560,1.000
1,1.250,0.01,1.0257,1.02570,1.000
1,1.300,0.01,1.0758,1.07580,1.000
1,1.350,0.01,1.1258,1.12580,1.000
1,1.400,0.01,1.1756,1.17560,1.000
1,1.450,0.00,1.2255,1.22550,1.000
1,1.500,0.00,1.2756,1.27560,1.000
1,1.550,0.00,1.3258,1.32580,1.000
1,1.600,0.01,1.3757,1.37570,1.000
1,1.650,0.01,1.4256,1.42560,1.000
1,1.700,0.01,1.4757,1.47570,1.000
1,1.750,0.01,1.5257,1.52570,1.000
1,1.800,0.01,1.5755,1.57550,1.000
1,1.850,0.01,1.6256,1.62560,1.000
1,1.900,0.01,1.6757,1.67570,1.000
1,1.950,0.01,1.7259,1.72590,1.000
1,2.000,0.01,1.7757,1.77570,1.000
1,2.050,0.00,1.8257,1.82570,1.000
1,2.100,0.01,1.8758,1.87580,1.000
1,2.150,0.01,1.9259,1.92590,1.000
1,2.200,0.01,1.9757,1.97570,1.000
1,2.250,0.01,2.0258,2.02580,1.000
1,2.300,0.01,2.0757,2.07570,1.000
1,2.350,0.00,2.1258,2.12580,1.000
1,2.400,0.01,2.1755,2.17550,1.000
1,2.450,0.01,2.2256,2.22560,1.000
1,2.500,0.01,2.2757,2.27570,1.000
1,2.550,0.01,2.3258,2.32580,1.000
1,2.600,0.00,2.3757,2.37570,1.000
1,2.650,0.01,2.4257,2.42570,1.000
1,2.700,0.00,2.4758,2.47580,1.000
1,2.750,0.00,2.5258,2.52580,1.000
1,2.800,0.01,2.5758,2.57580,1.000
1,2.850,0.00,2.6258,2.62580,1.000
1,2.900,0.01,2.6758,2.67580,1.000
1,2.950,0.00,2.7258,2.72580,1.000
1,3.000,0.00,2.7757,2.77570,1.000
1,3.050,0.00,2.8257,2.82570,1.000
1,3.100,0.00,2.8759,2.87590,1.000
1,3.150,0.00,2.9259,2.92590,1.000
1,3.200,0.00,2.9758,2.97580,1.000
1,3.250,0.00,3.0256,3.02560,1.000
1,3.300,0.00,3.0756,3.07560,1.000
1,3.350,0.00,3.1258,3.12580,1.000
1,3.400,0.00,3.1758,3.17580,1.000
1,3.450,0.00,3.2256,3.22560,1.000
1,3.500,0.00,3.2758,3.27580,1.000
1,3.550,0.01,3.3259,3.32590,1.000
1,3.600,0.00,3.3758,3.37580,1.000
1,3.650,0.00,3.4257,3.42570,1.000
1,3.700,0.01,3.4759,3.47590,1.000
1,3.750,0.00,3.5260,3.52600,1.000
1,3.800,0.01,3.5758,3.57580,1.000
1,3.850,0.01,3.6257,3.62570,1.000
1,3.900,0.01,3.6758,3.67580,1.000
1,3.950,0.01,3.7258,3.72580,1.000
1,4.000,0.01,3.7758,3.77580,1.000
1,4.050,0.00,3.8257,3.82570,1.000
1,4.100,0.01,3.8758,3.87580,1.000
1,4.150,0.01,3.9259,3.92590,1.000
1,4.200,0.00,3.9759,3.97590,1.000
1,4.250,0.01,4.0257,4.02570,1.000
1,4.300,0.00,4.0758,4.07580,1.000
1,4.350,0.00,4.1259,4.12590,1.000
1,4.400,0.01,4.1759,4.17590,1.000
1,4.450,0.01,4.2257,4.22570,1.000
1,4.500,0.01,4.2758,4.27580,1.000
1,4.550,0.01,4.3260,4.32600,1.000
1,4.600,0.01,4.3759,4.37590,1.000
1,4.650,0.01,4.4259,4.42590,1.000
1,4.700,0.01,4.4758,4.47580,1.000
1,4.750,0.01,4.5258,4.52580,1.000
1,4.800,0.01,4.5758,4.57580,1.000
1,4.850,0.01,4.6257,4.62570,1.000
1,4.900,0.01,4.6758,4.67580,1.000
1,4.950,0.03,4.7258,4.72580,1.000
1,5.000,0.04,4.7760,4.77600,1.000
1,5.050,0.07,4.8258,4.82580,1.000
1,5.100,0.11,4.8759,4.87590,1.000
1,5.150,0.16,4.9260,4.92600,1.000
1,5.200,0.22,4.9761,4.97610,1.000
1,5.250,0.30,5.0258,5.02580,1.000
1,5.300,0.39,5.0758,5.07580,1.000
1,5.350,0.51,5.1259,5.12590,1.000
1,5.400,0.63,5.1758,5.17580,1.000
1,5.450,0.77,5.2258,5.22580,1.000
1,5.500,0.93,5.2758,5.27580,1.000
1,5.550,1.10,5.3259,5.32590,1.000
1,5.600,1.30,5.3758,5.37580,1.000
1,5.650,1.53,5.4257,5.42570,1.000
1,5.700,1.78,5.4759,5.47590,1.000
1,5.750,2.05,5.5260,5.52600,1.000
1,5.800,2.33,5.5761,5.57610,1.000
1,5.850,2.65,5.6261,5.62610,1.000
1,5.900,2.98,5.6759,5.67590,1.000
1,5.950,3.33,5.7259,5.72590,1.000
1,6.000,3.70,5.7759,5.77590,1.000
1,6.050,4.10,5.8257,5.82570,1.000
1,6.100,4.53,5.8758,5.87580,1.000
1,6.150,4.98,5.9258,5.92580,1.000
1,6.200,5.47,5.9760,5.97600,1.000
1,6.250,5.97,6.0257,6.02570,1.000
1,6.300,6.52,6.0758,6.07580,1.000
1,6.350,7.09,6.1258,6.12580,1.000
1,6.400,7.69,6.1760,6.17600,1.000
1,6.450,8.34,6.2258,6.22580,1.000
1,6.500,9.00,6.2758,6.27580,1.000
1,6.550,9.71,6.3259,6.32590,1.000
1,6.600,10.45,6.3760,6.37600,1.000
1,6.650,11.24,6.4259,6.42590,1.000
1,6.700,12.07,6.4759,6.47590,1.000
1,6.750,12.94,6.5259,6.52590,1.000
1,6.800,13.87,6.5759,6.57590,1.000
1,6.850,14.86,6.6257,6.62570,1.000
1,6.900,15.88,6.6758,6.67580,1.000
1,6.950,16.96,6.7260,6.72600,1.000
1,7.000,18.12,6.7760,6.77600,1.000
1,7.050,19.32,6.8259,6.82590,1.000
1,7.100,20.59,6.8759,6.87590,1.000
1,7.150,21.91,6.9258,6.92580,1.000
1,7.200,23.33,6.9760,6.97600,1.000
1,7.250,24.82,7.0259,7.02590,1.000
1,7.300,26.38,7.0759,7.07590,1.000
1,7.350,28.02,7.1258,7.12580,1.000
1,7.400,29.76,7.1759,7.17590,1.000
1,7.500,31.64,7.2206,7.22060,1.000
1,7.550,28.89,7.1728,7.17280,1.000
1,7.600,26.19,7.1227,7.12270,1.000
1,7.650,23.90,7.0726,7.07260,1.000
1,7.700,21.87,7.0227,7.02270,1.000
1,7.750,20.04,6.9727,6.97270,1.000
1,7.800,18.41,6.9228,6.92280,1.000
1,7.850,16.91,6.8727,6.87270,1.000
1,7.900,15.53,6.8227,6.82270,1.000
1,7.950,14.28,6.7727,6.77270,1.000
1,8.000,13.13,6.7228,6.72280,1.000
1,8.050,12.06,6.6725,6.67250,1.000
1,8.100,11.08,6.6226,6.62260,1.000
1,8.150,10.18,6.5728,6.57280,1.000
1,8.200,9.35,6.5228,6.52280,1.000
1,8.250,8.58,6.4725,6.47250,1.000
1,8.300,7.87,6.4227,6.42270,1.000
1,8.350,7.22,6.3727,6.37270,1.000
1,8.400,6.62,6.3227,6.32270,1.000
1,8.450,6.06,6.2726,6.27260,1.000
1,8.500,5.54,6.2228,6.22280,1.000
1,8.550,5.05,6.1726,6.17260,1.000
1,8.600,4.61,6.1227,6.12270,1.000
1,8.650,4.19,6.0724,6.07240,1.000
1,8.700,3.80,6.0225,6.02250,1.000
1,8.750,3.44,5.9726,5.97260,1.000
1,8.800,3.10,5.9226,5.92260,1.000
1,8.850,2.78,5.8724,5.87240,1.000
1,8.900,2.49,5.8225,5.82250,1.000
1,8.950,2.21,5.7726,5.77260,1.000
1,9.000,1.96,5.7226,5.72260,1.000
1,9.050,1.73,5.6725,5.67250,1.000
1,9.100,1.51,5.6227,5.62270,1.000
1,9.150,1.31,5.5727,5.57270,1.000
1,9.200,1.12,5.5227,5.52270,1.000
1,9.250,0.95,5.4724,5.47240,1.000
1,9.300,0.79,5.4225,5.42250,1.000
1,9.350,0.66,5.3725,5.37250,1.000
1,9.400,0.55,5.3225,5.32250,1.000
1,9.450,0.44,5.2724,5.27240,1.000
1,9.500,0.35,5.2224,5.22240,1.000
1,9.550,0.27,5.1725,5.17250,1.000
1,9.600,0.20,5.1226,5.12260,1.000
1,9.650,0.15,5.0725,5.07250,1.000
1,9.700,0.10,5.0225,5.02250,1.000
1,9.750,0.06,4.9726,4.97260,1.000
1,9.800,0.04,4.9226,4.92260,1.000
1,9.850,0.02,4.8724,4.87240,1.000
1,9.900,0.01,4.8224,4.82240,1.000
1,9.950,0.00,4.7726,4.77260,1.000
1,10.000,0.00,4.7225,4.72250,1.000
1,10.050,0.00,4.6723,4.67230,1.000
1,10.100,0.01,4.6225,4.62250,1.000
1,10.150,0.01,4.5725,4.57250,1.000
1,10.200,0.01,4.5224,4.52240,1.000
1,10.250,0.01,4.4723,4.47230,1.000
1,10.300,0.00,4.4225,4.42250,1.000
1,10.350,0.01,4.3726,4.37260,1.000
1,10.400,0.01,4.3226,4.32260,1.000
1,10.450,0.00,4.2725,4.27250,1.000
1,10.500,0.01,4.2225,4.22250,1.000
1,10.550,0.00,4.1725,4.17250,1.000
1,10.600,0.01,4.1226,4.12260,1.000
1,10.650,0.00,4.0725,4.07250,1.000
1,10.700,0.01,4.0224,4.02240,1.000
1,10.750,0.01,3.9724,3.97240,1.000
1,10.800,0.00,3.9225,3.92250,1.000
1,10.850,0.00,3.8723,3.87230,1.000
1,10.900,0.00,3.8224,3.82240,1.000
1,10.950,0.01,3.7724,3.77240,1.000
1,11.000,0.01,3.7225,3.72250,1.000
1,11.050,0.01,3.6723,3.67230,1.000
1,11.100,0.01,3.6224,3.62240,1.000
1,11.150,0.01,3.5724,3.57240,1.000
1,11.200,0.01,3.5225,3.52250,1.000
1,11.250,0.01,3.4724,3.47240,1.000
1,11.300,0.01,3.4223,3.42230,1.000
1,11.350,0.01,3.3724,3.37240,1.000
1,11.400,0.01,3.3225,3.32250,1.000
1,11.450,0.01,3.2723,3.27230,1.000
1,11.500,0.00,3.2223,3.22230,1.000
1,11.550,0.01,3.1723,3.17230,1.000
1,11.600,0.01,3.1223,3.12230,1.000
1,11.650,0.01,3.0722,3.07220,1.000
1,11.700,0.00,3.0222,3.02220,1.000
1,11.750,0.00,2.9724,2.97240,1.000
1,11.800,0.01,2.9226,2.92260,1.000
1,11.850,0.01,2.8724,2.87240,1.000
1,11.900,0.01,2.8223,2.82230,1.000
1,11.950,0.01,2.7723,2.77230,1.000
1,12.000,0.01,2.7224,2.72240,1.000
1,12.050,0.01,2.6723,2.67230,1.000
1,12.100,0.01,2.6224,2.62240,1.000
1,12.150,0.01,2.5724,2.57240,1.000
1,12.200,0.01,2.5223,2.52230,1.000
1,12.250,0.01,2.4723,2.47230,1.000
1,12.300,0.00,2.4222,2.42220,1.000
1,12.350,0.00,2.3723,2.37230,1.000
1,12.400,0.00,2.3224,2.32240,1.000
1,12.450,0.00,2.2723,2.27230,1.000
1,12.500,0.01,2.2221,2.22210,1.000
1,12.550,0.01,2.1721,2.17210,1.000
1,12.600,0.01,2.1223,2.12230,1.000
1,12.650,0.01,2.0724,2.07240,1.000
1,12.700,0.01,2.0221,2.02210,1.000
1,12.750,0.01,1.9724,1.97240,1.000
1,12.800,0.01,1.9224,1.92240,1.000
1,12.850,0.00,1.8723,1.87230,1.000
1,12.900,0.01,1.8222,1.82220,1.000
1,12.950,0.00,1.7723,1.77230,1.000
1,13.000,0.01,1.7223,1.72230,1.000
1,13.050,0.01,1.6722,1.67220,1.000
1,13.100,0.00,1.6222,1.62220,1.000
1,13.150,0.00,1.5722,1.57220,1.000
1,13.200,0.01,1.5222,1.52220,1.000
1,13.250,0.01,1.4722,1.47220,1.000
1,13.300,0.00,1.4221,1.42210,1.000
1,13.350,0.01,1.3722,1.37220,1.000
1,13.400,0.01,1.3222,1.32220,1.000
1,13.450,0.00,1.2722,1.27220,1.000
1,13.500,0.00,1.2220,1.22200,1.000
1,13.550,0.00,1.1722,1.17220,1.000
1,13.600,0.01,1.1223,1.12230,1.000
1,13.650,0.00,1.0724,1.07240,1.000
1,13.700,0.01,1.0221,1.02210,1.000
1,13.750,0.00,0.9723,0.97230,1.000
1,13.800,0.01,0.9222,0.92220,1.000
1,13.850,0.00,0.8722,0.87220,1.000
1,13.900,0.01,0.8222,0.82220,1.000
1,13.950,0.01,0.7723,0.77230,1.000
1,14.000,0.01,0.7223,0.72230,1.000
1,14.050,0.01,0.6723,0.67230,1.000
1,14.100,0.01,0.6221,0.62210,1.000
1,14.150,0.01,0.5721,0.57210,1.000
1,14.200,0.01,0.5223,0.52230,1.000
1,14.250,0.01,0.4723,0.47230,1.000
1,14.300,0.01,0.4221,0.42210,1.000
1,14.350,0.01,0.3721,0.37210,1.000
1,14.400,0.01,0.3223,0.32230,1.000
1,14.450,0.01,0.2721,0.27210,1.000
1,14.500,0.01,0.2220,0.22200,1.000
1,14.550,0.01,0.1721,0.17210,1.000
1,14.600,0.01,0.1221,0.12210,1.000
1,14.650,0.01,0.0721,0.07210,1.000
1,14.700,0.01,0.0219,0.02190,1.000
1,14.800,0.01,-0.0376,-0.03760,1.000
1,14.850,0.00,-0.0023,-0.00230,1.000
1,14.900,0.01,-0.0003,-0.00030,1.000
1,14.950,0.01,-0.0003,-0.00030,1.000
1,15.000,0.00,-0.0002,-0.00020,1.000
1,15.050,0.01,-0.0002,-0.00020,1.000
1,15.100,0.01,-0.0002,-0.00020,1.000
1,15.150,0.01,-0.0002,-0.00020,1.000
1,15.200,0.00,-0.0002,-0.00020,1.000
1,15.250,0.00,-0.0002,-0.00020,1.000
1,15.300,0.01,-0.0002,-0.00020,1.000
1,15.350,0.01,-0.0002,-0.00020,1.000
1,15.400,0.01,-0.0002,-0.00020,1.000
1,15.450,0.01,-0.0002,-0.00020,1.000
1,15.500,0.00,-0.0002,-0.00020,1.000
1,15.550,0.01,-0.0002,-0.00020,1.000
1,15.600,0.01,-0.0002,-0.00020,1.000
1,15.650,0.01,-0.0002,-0.00020,1.000
1,15.700,0.01,-0.0002,-0.00020,1.000
1,15.750,0.01,-0.0002,-0.00020,1.000
1,15.800,0.01,-0.0002,-0.00020,1.000
1,15.850,0.00,-0.0002,-0.00020,1.000
1,15.900,0.00,-0.0002,-0.00020,1.000
1,15.950,0.01,-0.0002,-0.00020,1.000
1,16.000,0.01,-0.0002,-0.00020,1.000
1,16.050,0.00,-0.0002,-0.00020,1.000
1,16.100,0.01,-0.0002,-0.00020,1.000
1,16.150,0.01,-0.0002,-0.00020,1.000
1,16.200,0.01,-0.0002,-0.00020,1.000
1,16.250,0.01,-0.0002,-0.00020,1.000
1,16.300,0.01,-0.0002,-0.00020,1.000
1,16.350,0.01,-0.0002,-0.00020,1.000
1,16.400,0.01,-0.0002,-0.00020,1.000
1,16.450,0.00,-0.0002,-0.00020,1.000
1,16.500,0.01,-0.0002,-0.00020,1.000
1,16.550,0.01,-0.0002,-0.00020,1.000
1,16.600,0.01,-0.0002,-0.00020,1.000
1,16.650,0.01,-0.0002,-0.00020,1.000
1,16.700,0.01,-0.0002,-0.00020,1.000
1,16.750,0.01,-0.0002,-0.00020,1.000
1,16.800,0.01,-0.0002,-0.00020,1.000
1,16.850,0.01,-0.0002,-0.00020,1.000
1,16.900,0.01,-0.0002,-0.00020,1.000
1,16.950,0.01,-0.0002,-0.00020,1.000
1,17.000,0.01,-0.0002,-0.00020,1.000
1,17.050,0.01,-0.0002,-0.00020,1.000
1,17.100,0.01,-0.0002,-0.00020,1.000
1,17.150,0.01,-0.0002,-0.00020,1.000
1,17.200,0.00,-0.0002,-0.00020,1.000
1,17.250,0.00,-0.0002,-0.00020,1.000
1,17.300,0.00,-0.0002,-0.00020,1.000
1,17.350,0.00,-0.0002,-0.00020,1.000
1,17.400,0.00,-0.0002,-0.00020,1.000
1,17.450,0.01,-0.0002,-0.00020,1.000
1,17.500,0.01,-0.0002,-0.00020,1.000
1,17.550,0.00,-0.0002,-0.00020,1.000
1,17.600,0.00,-0.0002,-0.00020,1.000
1,17.650,0.01,-0.0002,-0.00020,1.000
1,17.700,0.01,-0.0002,-0.00020,1.000
1,17.750,0.01,-0.0002,-0.00020,1.000
1,17.850,0.01,-0.0002,-0.00020,1.000
1,17.900,0.01,-0.0002,-0.00020,1.000
1,17.950,0.01,-0.0002,-0.00020,1.000
1,18.000,0.01,-0.0002,-0.00020,1.000
1,18.050,0.01,-0.0002,-0.00020,1.000
1,18.100,0.00,-0.0002,-0.00020,1.000
1,18.150,0.00,-0.0002,-0.00020,1.000
1,18.200,0.00,-0.0002,-0.00020,1.000
1,18.250,0.01,-0.0002,-0.00020,1.000
1,18.300,0.01,-0.0002,-0.00020,1.000
1,18.350,0.01,-0.0002,-0.00020,1.000
1,18.400,0.01,-0.0002,-0.00020,1.000
1,18.450,0.00,-0.0002,-0.00020,1.000
1,18.500,0.01,-0.0002,-0.00020,1.000
1,18.550,0.01,-0.0002,-0.00020,1.000
1,18.600,0.01,-0.0002,-0.00020,1.000
1,18.650,0.01,-0.0002,-0.00020,1.000
1,18.700,0.00,-0.0002,-0.00020,1.000
1,18.750,0.01,-0.0001,-0.00010,1.000
1,18.800,0.01,-0.0001,-0.00010,1.000
2,19.000,-0.01,0.0255,0.02550,2.000
2,19.050,-0.01,0.0754,0.07540,2.000
2,19.100,0.00,0.1255,0.12550,2.000
2,19.150,-0.01,0.1754,0.17540,2.000
2,19.200,0.00,0.2255,0.22550,2.000
2,19.250,0.00,0.2755,0.27550,2.000
2,19.300,0.00,0.3257,0.32570,2.000
2,19.350,0.00,0.3756,0.37560,2.000
2,19.400,-0.01,0.4255,0.42550,2.000
2,19.450,-0.01,0.4756,0.47560,2.000
2,19.500,-0.01,0.5257,0.52570,2.000
2,19.550,-0.01,0.5755,0.57550,2.000
2,19.600,-0.01,0.6255,0.62550,2.000
2,19.650,-0.01,0.6757,0.67570,2.000
2,19.700,0.00,0.7258,0.72580,2.000
2,19.750,-0.01,0.7755,0.77550,2.000
2,19.800,0.00,0.8255,0.82550,2.000
2,19.850,0.00,0.8756,0.87560,2.000
2,19.900,0.00,0.9256,0.92560,2.000
2,19.950,-0.01,0.9755,0.97550,2.000
2,20.000,-0.01,1.0256,1.02560,2.000
2,20.050,0.00,1.0758,1.07580,2.000
2,20.100,0.00,1.1257,1.12570,2.000
2,20.150,-0.01,1.1755,1.17550,2.000
2,20.200,-0.01,1.2255,1.22550,2.000
2,20.250,0.00,1.2756,1.27560,2.000
2,20.300,0.00,1.3257,1.32570,2.000
2,20.350,0.00,1.3755,1.37550,2.000
2,20.400,0.00,1.4256,1.42560,2.000
2,20.450,-0.01,1.4756,1.47560,2.000
2,20.500,0.00,1.5256,1.52560,2.000
2,20.550,0.00,1.5755,1.57550,2.000
2,20.600,0.00,1.6255,1.62550,2.000
2,20.650,-0.01,1.6756,1.67560,2.000
2,20.700,0.00,1.7257,1.72570,2.000
2,20.750,0.00,1.7756,1.77560,2.000
2,20.800,0.00,1.8256,1.82560,2.000
2,20.850,-0.01,1.8758,1.87580,2.000
2,20.900,0.00,1.9258,1.92580,2.000
2,20.950,0.00,1.9756,1.97560,2.000
2,21.000,-0.01,2.0257,2.02570,2.000
2,21.050,0.00,2.0756,2.07560,2.000
2,21.100,0.00,2.1257,2.12570,2.000
2,21.150,0.00,2.1755,2.17550,2.000
2,21.200,0.00,2.2256,2.22560,2.000
2,21.250,-0.01,2.2757,2.27570,2.000
2,21.300,0.00,2.3258,2.32580,2.000
2,21.350,-0.01,2.3756,2.37560,2.000
2,21.400,-0.01,2.4256,2.42560,2.000
2,21.450,0.00,2.4757,2.47570,2.000
2,21.500,-0.01,2.5258,2.52580,2.000
2,21.550,0.00,2.5758,2.57580,2.000
2,21.600,-0.01,2.6256,2.62560,2.000
2,21.650,-0.01,2.6758,2.67580,2.000
2,21.700,-0.01,2.7258,2.72580,2.000
2,21.750,-0.01,2.7757,2.77570,2.000
2,21.800,0.00,2.8257,2.82570,2.000
2,21.850,-0.01,2.8759,2.87590,2.000
2,21.900,-0.01,2.9259,2.92590,2.000
2,21.950,-0.01,2.9758,2.97580,2.000
2,22.000,0.00,3.0256,3.02560,2.000
2,22.050,-0.01,3.0757,3.07570,2.000
2,22.100,-0.01,3.1258,3.12580,2.000
2,22.150,-0.01,3.1757,3.17570,2.000
2,22.200,0.00,3.2257,3.22570,2.000
2,22.250,-0.01,3.2758,3.27580,2.000
2,22.300,0.00,3.3258,3.32580,2.000
2,22.350,-0.01,3.3757,3.37570,2.000
2,22.400,-0.01,3.4256,3.42560,2.000
2,22.450,-0.01,3.4758,3.47580,2.000
2,22.500,0.00,3.5258,3.52580,2.000
2,22.550,0.00,3.5758,3.57580,2.000
2,22.600,-0.01,3.6257,3.62570,2.000
2,22.650,0.00,3.6757,3.67570,2.000
2,22.700,-0.01,3.7257,3.72570,2.000
2,22.750,-0.01,3.7758,3.77580,2.000
2,22.800,-0.01,3.8256,3.82560,2.000
2,22.850,-0.01,3.8758,3.87580,2.000
2,22.900,-0.01,3.9257,3.92570,2.000
2,22.950,-0.01,3.9759,3.97590,2.000
2,23.000,-0.01,4.0257,4.02570,2.000
2,23.050,0.00,4.0758,4.07580,2.000
2,23.100,-0.01,4.1258,4.12580,2.000
2,23.150,-0.01,4.1757,4.17570,2.000
2,23.200,-0.01,4.2257,4.22570,2.000
2,23.250,-0.01,4.2759,4.27590,2.000
2,23.300,-0.01,4.3259,4.32590,2.000
2,23.350,0.00,4.3759,4.37590,2.000
2,23.400,0.00,4.4257,4.42570,2.000
2,23.450,-0.01,4.4758,4.47580,2.000
2,23.500,-0.01,4.5257,4.52570,2.000
2,23.550,-0.01,4.5758,4.57580,2.000
2,23.600,-0.01,4.6257,4.62570,2.000
2,23.650,0.00,4.6758,4.67580,2.000
2,23.700,0.00,4.7258,4.72580,2.000
2,23.750,0.01,4.7760,4.77600,2.000
2,23.800,0.03,4.8257,4.82570,2.000
2,23.850,0.06,4.8758,4.87580,2.000
2,23.900,0.10,4.9260,4.92600,2.000
2,23.950,0.15,4.9760,4.97600,2.000
2,24.000,0.21,5.0258,5.02580,2.000
2,24.050,0.30,5.0759,5.07590,2.000
2,24.100,0.39,5.1258,5.12580,2.000
2,24.150,0.51,5.1758,5.17580,2.000
2,24.200,0.63,5.2257,5.22570,2.000
2,24.250,0.77,5.2758,5.27580,2.000
2,24.300,0.93,5.3259,5.32590,2.000
2,24.350,1.11,5.3757,5.37570,2.000
2,24.400,1.31,5.4257,5.42570,2.000
2,24.450,1.54,5.4758,5.47580,2.000
2,24.500,1.80,5.5259,5.52590,2.000
2,24.550,2.07,5.5761,5.57610,2.000
2,24.600,2.37,5.6259,5.62590,2.000
2,24.650,2.69,5.6760,5.67600,2.000
2,24.700,3.02,5.7259,5.72590,2.000
2,24.750,3.38,5.7759,5.77590,2.000
2,24.800,3.77,5.8257,5.82570,2.000
2,24.850,4.19,5.8757,5.87570,2.000
2,24.900,4.63,5.9258,5.92580,2.000
2,24.950,5.11,5.9759,5.97590,2.000
2,25.000,5.61,6.0257,6.02570,2.000
2,25.050,6.14,6.0757,6.07570,2.000
2,25.100,6.70,6.1258,6.12580,2.000
2,25.150,7.29,6.1759,6.17590,2.000
2,25.200,7.91,6.2258,6.22580,2.000
2,25.250,8.58,6.2758,6.27580,2.000
2,25.300,9.25,6.3258,6.32580,2.000
2,25.350,9.98,6.3759,6.37590,2.000
2,25.400,10.75,6.4259,6.42590,2.000
2,25.450,11.55,6.4757,6.47570,2.000
2,25.500,12.40,6.5259,6.52590,2.000
2,25.550,13.30,6.5759,6.57590,2.000
2,25.600,14.25,6.6257,6.62570,2.000
2,25.650,15.25,6.6758,6.67580,2.000
2,25.700,16.30,6.7258,6.72580,2.000
2,25.750,17.43,6.7759,6.77590,2.000
