""
"Test Method","Radhen_Load_Cntrl_Cmprsn_250N_12-7.msm"
"Sample I. D.","Sample1.mss"
"Specimen Number","13"

"TheCycle_Output ()","_Time (s)","_Load (N)","_Extension (mm)","RealTimeDepth (mm)","CycleNumber ()"

1,0.150,-0.01,0.0000,0.00000,1.000
1,0.170,0.01,0.0030,0.00300,1.000
1,0.180,0.01,0.0084,0.00840,1.000
1,0.190,0.01,0.0162,0.01620,1.000
1,0.200,0.01,0.0266,0.02660,1.000
1,0.210,0.01,0.0365,0.03650,1.000
1,0.220,0.01,0.0466,0.04660,1.000
1,0.230,0.01,0.0563,0.05630,1.000
1,0.240,0.00,0.0664,0.06640,1.000
1,0.250,0.01,0.0764,0.07640,1.000
1,0.260,0.01,0.0865,0.08650,1.000
1,0.270,0.01,0.0963,0.09630,1.000
1,0.280,0.01,0.1064,0.10640,1.000
1,0.290,0.01,0.1165,0.11650,1.000
1,0.300,0.01,0.1264,0.12640,1.000
1,0.310,0.01,0.1364,0.13640,1.000
1,0.320,0.01,0.1464,0.14640,1.000
1,0.330,0.01,0.1566,0.15660,1.000
1,0.340,0.01,0.1665,0.16650,1.000
1,0.350,0.01,0.1765,0.17650,1.000
1,0.360,0.00,0.1864,0.18640,1.000
1,0.370,0.01,0.1967,0.19670,1.000
1,0.380,0.01,0.2066,0.20660,1.000
1,0.390,0.01,0.2166,0.21660,1.000
1,0.400,0.01,0.2265,0.22650,1.000
1,0.410,0.00,0.2367,0.23670,1.000
1,0.420,0.01,0.2466,0.24660,1.000
1,0.430,0.01,0.2566,0.25660,1.000
1,0.440,0.01,0.2666,0.26660,1.000
1,0.450,0.01,0.2768,0.27680,1.000
1,0.460,0.01,0.2866,0.28660,1.000
1,0.470,0.01,0.2966,0.29660,1.000
1,0.480,0.01,0.3066,0.30660,1.000
1,0.490,0.01,0.3167,0.31670,1.000
1,0.500,0.01,0.3266,0.32660,1.000
1,0.510,0.01,0.3365,0.33650,1.000
1,0.520,0.01,0.3466,0.34660,1.000
1,0.530,0.01,0.3567,0.35670,1.000
1,0.540,0.01,0.3667,0.36670,1.000
1,0.550,0.01,0.3765,0.37650,1.000
1,0.560,0.01,0.3866,0.38660,1.000
1,0.570,0.01,0.3967,0.39670,1.000
1,0.580,0.01,0.4067,0.40670,1.000
1,0.590,0.00,0.4166,0.41660,1.000
1,0.600,0.01,0.4266,0.42660,1.000
1,0.610,0.01,0.4367,0.43670,1.000
1,0.620,0.00,0.4466,0.44660,1.000
1,0.630,0.01,0.4565,0.45650,1.000
1,0.640,0.01,0.4665,0.46650,1.000
1,0.650,0.01,0.4767,0.47670,1.000
1,0.660,0.01,0.4866,0.48660,1.000
1,0.670,0.01,0.4966,0.49660,1.000
1,0.680,0.00,0.5065,0.50650,1.000
1,0.690,0.01,0.5167,0.51670,1.000
1,0.700,0.01,0.5267,0.52670,1.000
1,0.710,0.01,0.5365,0.53650,1.000
1,0.720,0.00,0.5466,0.54660,1.000
1,0.730,0.01,0.5567,0.55670,1.000
1,0.740,0.01,0.5667,0.56670,1.000
1,0.750,0.01,0.5766,0.57660,1.000
1,0.760,0.01,0.5866,0.58660,1.000
1,0.770,0.01,0.5966,0.59660,1.000
1,0.780,0.01,0.6067,0.60670,1.000
1,0.790,0.01,0.6165,0.61650,1.000
1,0.800,0.00,0.6266,0.62660,1.000
1,0.810,0.01,0.6366,0.63660,1.000
1,0.820,0.01,0.6467,0.64670,1.000
1,0.830,0.01,0.6565,0.65650,1.000
1,0.840,0.01,0.6665,0.66650,1.000
1,0.850,0.01,0.6767,0.67670,1.000
1,0.860,0.01,0.6866,0.68660,1.000
1,0.870,0.01,0.6966,0.69660,1.000
1,0.880,0.01,0.7065,0.70650,1.000
1,0.890,0.01,0.7166,0.71660,1.000
1,0.900,0.01,0.7267,0.72670,1.000
1,0.910,0.00,0.7365,0.73650,1.000
1,0.920,0.01,0.7466,0.74660,1.000
1,0.930,0.01,0.7567,0.75670,1.000
1,0.940,0.01,0.7667,0.76670,1.000
1,0.950,0.01,0.7766,0.77660,1.000
1,0.960,0.01,0.7866,0.78660,1.000
1,0.970,0.01,0.7967,0.79670,1.000
1,0.980,0.01,0.8067,0.80670,1.000
1,0.990,0.01,0.8165,0.81650,1.000
1,1.000,0.01,0.8267,0.82670,1.000
1,1.010,0.01,0.8366,0.83660,1.000
1,1.020,0.01,0.8468,0.84680,1.000
1,1.030,0.01,0.8565,0.85650,1.000
1,1.040,0.01,0.8666,0.86660,1.000
1,1.050,0.01,0.8766,0.87660,1.000
1,1.060,0.00,0.8868,0.88680,1.000
1,1.070,0.01,0.8966,0.89660,1.000
1,1.080,0.01,0.9066,0.90660,1.000
1,1.090,0.01,0.9167,0.91670,1.000
1,1.100,0.01,0.9267,0.92670,1.000
1,1.110,0.01,0.9367,0.93670,1.000
1,1.120,0.01,0.9466,0.94660,1.000
1,1.130,0.01,0.9567,0.95670,1.000
1,1.140,0.01,0.9667,0.96670,1.000
1,1.150,0.00,0.9766,0.97660,1.000
1,1.160,0.00,0.9866,0.98660,1.000
1,1.170,0.01,0.9966,0.99660,1.000
1,1.180,0.00,1.0067,1.00670,1.000
