"0,0.170,-0.01,0.0000,0.00010,0.000"
"1,0.180,0.01,0.0000,0.00000,1.000"
"1,0.200,0.01,0.0000,0.00000,1.000"
"1,0.210,0.00,0.0000,0.00000,1.000"
"1,0.220,0.01,0.0001,0.00010,1.000"
"1,0.230,0.00,0.0031,0.00310,1.000"
"1,0.240,0.01,0.0083,0.00830,1.000"
"1,0.250,0.01,0.0162,0.01620,1.000"
"1,0.260,0.00,0.0264,0.02640,1.000"
"1,0.270,0.00,0.0364,0.03640,1.000"
"1,0.280,0.00,0.0464,0.04640,1.000"
"1,0.290,0.00,0.0563,0.05630,1.000"
"1,0.300,0.00,0.0662,0.06620,1.000"
"1,0.310,0.01,0.0764,0.07640,1.000"
"1,0.320,0.00,0.0864,0.08640,1.000"
"1,0.330,0.01,0.0963,0.09630,1.000"
"1,0.340,0.00,0.1063,0.10630,1.000"
"1,0.350,0.00,0.1164,0.11640,1.000"
"1,0.360,0.00,0.1265,0.12650,1.000"
"1,0.370,0.01,0.1363,0.13630,1.000"
"1,0.380,0.00,0.1464,0.14640,1.000"
"1,0.390,0.00,0.1565,0.15650,1.000"
"1,0.400,0.01,0.1665,0.16650,1.000"
"1,0.410,0.00,0.1765,0.17650,1.000"
"1,0.420,0.00,0.1864,0.18640,1.000"
"1,0.430,0.01,0.1965,0.19650,1.000"
"1,0.440,0.01,0.2066,0.20660,1.000"
"1,0.450,0.00,0.2164,0.21640,1.000"
"1,0.460,0.00,0.2265,0.22650,1.000"
"1,0.470,0.01,0.2365,0.23650,1.000"
"1,0.480,0.00,0.2466,0.24660,1.000"
"1,0.490,0.00,0.2565,0.25650,1.000"
"1,0.500,0.00,0.2665,0.26650,1.000"
"1,0.510,0.00,0.2765,0.27650,1.000"
"1,0.520,0.00,0.2867,0.28670,1.000"
"1,0.530,0.00,0.2964,0.29640,1.000"
"1,0.540,0.00,0.3065,0.30650,1.000"
"1,0.550,0.00,0.3165,0.31650,1.000"
"1,0.560,0.00,0.3266,0.32660,1.000"
"1,0.570,0.00,0.3365,0.33650,1.000"
"1,0.580,0.01,0.3464,0.34640,1.000"
