""
"Test Method","Radhen_Load_Cntrl_Cmprsn_250N_12-7.msm"
"Sample I. D.","Sample1.mss"
"Specimen Number","17"

"TheCycle_Output ()","_Time (s)","_Load (N)","_Extension (mm)","RealTimeDepth (mm)","CycleNumber ()"

0,0.170,-0.02,0.0000,0.00000,0.000
1,0.190,-0.02,0.0000,0.00000,1.000
1,0.200,0.00,0.0000,0.00000,1.000
1,0.210,-0.01,0.0004,0.00040,1.000
1,0.220,-0.02,0.0040,0.00400,1.000
1,0.230,-0.02,0.0098,0.00980,1.000
1,0.240,-0.01,0.0184,0.01840,1.000
1,0.250,-0.03,0.0289,0.02890,1.000
1,0.260,-0.01,0.0385,0.03850,1.000
1,0.270,-0.01,0.0486,0.04860,1.000
1,0.280,0.00,0.0586,0.05860,1.000
1,0.290,-0.01,0.0688,0.06880,1.000
1,0.300,-0.01,0.0785,0.07850,1.000
1,0.310,-0.01,0.0886,0.08860,1.000
1,0.320,0.00,0.0986,0.09860,1.000
1,0.330,0.00,0.1087,0.10870,1.000
1,0.340,-0.01,0.1185,0.11850,1.000
1,0.350,-0.01,0.1286,0.12860,1.000
1,0.360,0.00,0.1387,0.13870,1.000
1,0.370,-0.01,0.1487,0.14870,1.000
1,0.380,0.00,0.1587,0.15870,1.000
1,0.390,-0.01,0.1685,0.16850,1.000
1,0.400,-0.01,0.1787,0.17870,1.000
1,0.410,-0.01,0.1888,0.18880,1.000
1,0.420,-0.01,0.1985,0.19850,1.000
1,0.430,-0.01,0.2086,0.20860,1.000
1,0.440,-0.01,0.2186,0.21860,1.000
1,0.450,-0.01,0.2288,0.22880,1.000
1,0.460,-0.01,0.2385,0.23850,1.000
1,0.470,-0.01,0.2486,0.24860,1.000
1,0.480,-0.01,0.2586,0.25860,1.000
1,0.490,-0.01,0.2688,0.26880,1.000
1,0.500,-0.01,0.2786,0.27860,1.000
1,0.510,0.00,0.2886,0.28860,1.000
1,0.520,-0.01,0.2987,0.29870,1.000
1,0.530,-0.01,0.3088,0.30880,1.000
1,0.540,-0.01,0.3186,0.31860,1.000
