""
"Test Method","Radhen_Load_Cntrl_Cmprsn_250N_12-7.msm"
"Sample I. D.","Sample1.mss"
"Specimen Number","19"

"TheCycle_Output ()","_Time (s)","_Load (N)","_Extension (mm)","RealTimeDepth (mm)","CycleNumber ()"

0,0.160,0.02,0.0000,0.00000,0.000
1,0.170,0.02,0.0000,0.00000,1.000
1,0.190,0.02,0.0000,0.00000,1.000
1,0.200,0.01,0.0000,0.00000,1.000
1,0.210,0.03,0.0001,0.00010,1.000
1,0.220,0.01,0.0033,0.00330,1.000
1,0.230,0.02,0.0085,0.00850,1.000
1,0.240,0.01,0.0166,0.01660,1.000
1,0.250,0.02,0.0267,0.02670,1.000
1,0.260,0.02,0.0366,0.03660,1.000
1,0.270,0.02,0.0468,0.04680,1.000
1,0.280,0.02,0.0567,0.05670,1.000
1,0.290,0.02,0.0666,0.06660,1.000
1,0.300,0.02,0.0765,0.07650,1.000
1,0.310,0.02,0.0867,0.08670,1.000
1,0.320,0.02,0.0968,0.09680,1.000
1,0.330,0.02,0.1066,0.10660,1.000
1,0.340,0.02,0.1166,0.11660,1.000
1,0.350,0.02,0.1267,0.12670,1.000
1,0.360,0.02,0.1367,0.13670,1.000
1,0.370,0.02,0.1466,0.14660,1.000
1,0.380,0.02,0.1566,0.15660,1.000
1,0.390,0.02,0.1667,0.16670,1.000
1,0.400,0.02,0.1767,0.17670,1.000
1,0.410,0.02,0.1866,0.18660,1.000
1,0.420,0.02,0.1966,0.19660,1.000
1,0.430,0.01,0.2066,0.20660,1.000
1,0.440,0.02,0.2168,0.21680,1.000
1,0.450,0.02,0.2266,0.22660,1.000
1,0.460,0.02,0.2366,0.23660,1.000
1,0.470,0.01,0.2466,0.24660,1.000
1,0.480,0.02,0.2568,0.25680,1.000
1,0.490,0.02,0.2666,0.26660,1.000
1,0.500,0.02,0.2766,0.27660,1.000
1,0.510,0.02,0.2867,0.28670,1.000
1,0.520,0.02,0.2968,0.29680,1.000
1,0.530,0.02,0.3067,0.30670,1.000
1,0.540,0.02,0.3166,0.31660,1.000
1,0.550,0.01,0.3268,0.32680,1.000
1,0.560,0.01,0.3368,0.33680,1.000
1,0.570,0.02,0.3468,0.34680,1.000
1,0.580,0.02,0.3566,0.35660,1.000
1,0.590,0.02,0.3668,0.36680,1.000
1,0.600,0.02,0.3768,0.37680,1.000
1,0.610,0.01,0.3867,0.38670,1.000
1,0.620,0.02,0.3967,0.39670,1.000
1,0.630,0.02,0.4067,0.40670,1.000
1,0.640,0.02,0.4169,0.41690,1.000
1,0.650,0.03,0.4267,0.42670,1.000
1,0.660,0.01,0.4367,0.43670,1.000
1,0.670,0.02,0.4467,0.44670,1.000
1,0.680,0.02,0.4569,0.45690,1.000
1,0.690,0.02,0.4667,0.46670,1.000
1,0.700,0.02,0.4767,0.47670,1.000
1,0.710,0.02,0.4868,0.48680,1.000
1,0.720,0.03,0.4969,0.49690,1.000
1,0.730,0.02,0.5067,0.50670,1.000
1,0.740,0.02,0.5167,0.51670,1.000
1,0.750,0.02,0.5267,0.52670,1.000
1,0.760,0.01,0.5368,0.53680,1.000
1,0.770,0.00,0.5466,0.54660,1.000
1,0.780,0.01,0.5567,0.55670,1.000
1,0.790,0.01,0.5667,0.56670,1.000
1,0.800,0.02,0.5768,0.57680,1.000
1,0.810,0.02,0.5866,0.58660,1.000
1,0.820,0.00,0.5966,0.59660,1.000
1,0.830,0.02,0.6067,0.60670,1.000
1,0.840,0.02,0.6168,0.61680,1.000
1,0.850,0.02,0.6266,0.62660,1.000
1,0.860,0.02,0.6366,0.63660,1.000
1,0.870,0.02,0.6467,0.64670,1.000
1,0.880,0.02,0.6567,0.65670,1.000
1,0.890,0.02,0.6666,0.66660,1.000
1,0.900,0.02,0.6766,0.67660,1.000
1,0.910,0.01,0.6866,0.68660,1.000
1,0.920,0.02,0.6968,0.69680,1.000
1,0.930,0.02,0.7066,0.70660,1.000
1,0.940,0.03,0.7166,0.71660,1.000
1,0.950,0.03,0.7267,0.72670,1.000
1,0.960,0.02,0.7369,0.73690,1.000
1,0.970,0.01,0.7467,0.74670,1.000
1,0.980,0.02,0.7567,0.75670,1.000
1,0.990,0.02,0.7668,0.76680,1.000
1,1.000,0.02,0.7769,0.77690,1.000
1,1.010,0.01,0.7868,0.78680,1.000
1,1.020,0.01,0.7968,0.79680,1.000
1,1.030,0.02,0.8068,0.80680,1.000
1,1.040,0.02,0.8169,0.81690,1.000
1,1.050,0.03,0.8268,0.82680,1.000
1,1.060,0.01,0.8368,0.83680,1.000
1,1.070,0.02,0.8468,0.84680,1.000
1,1.080,0.01,0.8570,0.85700,1.000
1,1.090,0.02,0.8668,0.86680,1.000
1,1.100,0.02,0.8768,0.87680,1.000
1,1.110,0.02,0.8868,0.88680,1.000
1,1.120,0.02,0.8970,0.89700,1.000
1,1.130,0.01,0.9068,0.90680,1.000
1,1.140,0.02,0.9167,0.91670,1.000
1,1.150,0.02,0.9269,0.92690,1.000
1,1.160,0.02,0.9368,0.93680,1.000
1,1.170,0.02,0.9469,0.94690,1.000
1,1.180,0.01,0.9567,0.95670,1.000
1,1.190,0.02,0.9669,0.96690,1.000
1,1.200,0.01,0.9768,0.97680,1.000
1,1.210,0.02,0.9868,0.98680,1.000
1,1.220,0.02,0.9967,0.99670,1.000
1,1.230,0.02,1.0069,1.00690,1.000
1,1.240,0.01,1.0168,1.01680,1.000
1,1.250,0.01,1.0268,1.02680,1.000
1,1.260,0.02,1.0367,1.03670,1.000
1,1.270,0.02,1.0468,1.04680,1.000
1,1.280,0.02,1.0568,1.05680,1.000
