%time,field0,field1
1561004648177153110,28792.0,6236144.0
1561004648227313995,28773.0,6236144.0
1561004648277256011,28787.0,6236144.0
1561004648327415943,28774.0,6236144.0
1561004648377557992,28789.0,6236144.0
1561004648427604913,28779.0,6235632.0
1561004648477622032,28786.0,6236144.0
1561004648527856111,28793.0,6236144.0
1561004648577848911,28786.0,6235120.0
1561004648627585887,28790.0,6235120.0
1561004648677865982,28776.0,6236144.0
1561004648727847099,28791.0,6235120.0
1561004648754350900,28791.0,6236144.0
1561004648804532051,28794.0,6236656.0
1561004648854227066,28789.0,6235632.0
1561004648904227018,28791.0,6235120.0
1561004648954552888,28788.0,6235632.0
1561004649004527091,28793.0,6236144.0
1561004649054630041,28787.0,6235632.0
1561004649104571104,28790.0,6236144.0
1561004649154611110,28782.0,6236656.0
1561004649204438924,28783.0,6235632.0
1561004649230973958,28783.0,6235120.0
1561004649304227113,28792.0,6236144.0
1561004649354484081,28790.0,6235632.0
1561004649381128072,28778.0,6235632.0
1561004649454509973,28792.0,6236656.0
1561004649504575967,28786.0,6236144.0
1561004649554338932,28798.0,6235632.0
1561004649604338884,28778.0,6236656.0
1561004649654225111,28790.0,6236144.0
1561004649704189062,28779.0,6235632.0
1561004649731091976,28788.0,6235120.0
1561004649781138896,28794.0,6235632.0
1561004649831127882,28788.0,6235120.0
1561004649880947113,28796.0,6235120.0
1561004649931005001,28790.0,6235632.0
1561004649981152057,28787.0,6235632.0
1561004650031068086,28783.0,6235632.0
1561004650081104040,28791.0,6235632.0
1561004650130902051,28794.0,6235120.0
1561004650157129049,28788.0,6236144.0
1561004650207300901,28781.0,6236144.0
1561004650257220029,28780.0,6235632.0
1561004650307322978,28783.0,6236144.0
1561004650357152938,28783.0,6235120.0
1561004650383796930,28766.0,6235632.0
1561004650433800935,28781.0,6236144.0
1561004650530456066,28784.0,6236144.0
1561004650580429077,28782.0,6235120.0
1561004650630705118,28783.0,6236656.0
1561004650680569887,28797.0,6235632.0
1561004650730747938,28782.0,6236144.0
1561004650780750989,28778.0,6236656.0
1561004650831058025,28780.0,6236656.0
1561004650880517005,28798.0,6236144.0
1561004650930607080,28776.0,6235632.0
1561004650957165002,28784.0,6234608.0
1561004651030575990,28798.0,6236144.0
1561004651080586910,28795.0,6235632.0
1561004651130721092,28791.0,6235632.0
1561004651157430887,28783.0,6235632.0
1561004651231095075,28779.0,6235120.0
1561004651280790090,28793.0,6236144.0
1561004651307205915,28804.0,6236144.0
1561004651357189893,28792.0,6235632.0
1561004651407193899,28784.0,6235632.0
1561004651457101106,28778.0,6235120.0
1561004651507220029,28791.0,6235632.0
1561004651557169914,28792.0,6235632.0
1561004651607213020,28776.0,6236144.0
1561004651634057044,28793.0,6235632.0
1561004651707355022,28770.0,6234608.0
1561004651757519960,28780.0,6235120.0
1561004651807254076,28791.0,6236144.0
1561004651834017038,28791.0,6234608.0
1561004651884066104,28794.0,6235632.0
1561004651934437990,28797.0,6235632.0
1561004651983875989,28792.0,6236144.0
1561004652034156084,28802.0,6235120.0
1561004652084667921,28790.0,6235120.0
1561004652133683919,28798.0,6236144.0
1561004652183787107,28790.0,6236144.0
1561004652233660936,28787.0,6235120.0
1561004652260335922,28774.0,6236144.0
1561004652310632944,28784.0,6235632.0
1561004652384249925,28796.0,6236144.0
1561004652433835983,28797.0,6234608.0
1561004652460380077,28793.0,6236144.0
1561004652510567903,28807.0,6236144.0
1561004652560630083,28792.0,6237168.0
1561004652610894918,28785.0,6235632.0
1561004652661005020,28804.0,6237168.0
1561004652711215019,28800.0,6235120.0
1561004652760890007,28794.0,6236144.0
1561004652810956001,28788.0,6235632.0
1561004652860863924,28792.0,6235120.0
1561004652910562038,28791.0,6236656.0
1561004652960568904,28782.0,6235120.0
1561004652987363100,28782.0,6236144.0
1561004653060960054,28789.0,6235632.0
1561004653087131977,28790.0,6236144.0
1561004653137286901,28802.0,6235632.0
1561004653187410116,28797.0,6235120.0
1561004653237494945,28802.0,6235632.0
1561004653287405014,28788.0,6236144.0
1561004653337364912,28787.0,6235632.0
1561004653387343883,28794.0,6237680.0
1561004653437508106,28791.0,6235632.0
1561004653487562894,28786.0,6235120.0
1561004653537024974,28799.0,6237168.0
1561004653563798904,28804.0,6235632.0
1561004653613759994,28787.0,6236144.0
1561004653663959026,28790.0,6234608.0
1561004653737529993,28782.0,6235632.0
1561004653787817955,28783.0,6235632.0
1561004653814237117,28783.0,6235120.0
1561004653887240886,28783.0,6235632.0
1561004653913902997,28794.0,6235632.0
1561004653963740110,28805.0,6235632.0
1561004654037221908,28806.0,6235120.0
1561004654063946962,28805.0,6235632.0
1561004654113801956,28801.0,6235632.0
1561004654163857936,28798.0,6235632.0
1561004654214186906,28796.0,6236144.0
1561004654264066934,28782.0,6235632.0
1561004654290514945,28782.0,6234608.0
1561004654340663909,28796.0,6235632.0
1561004654390934944,28791.0,6235120.0
1561004654440466880,28806.0,6236144.0
1561004654490464925,28802.0,6235120.0
1561004654540709972,28794.0,6236144.0
1561004654590984106,28789.0,6235632.0
1561004654640790939,28801.0,6235120.0
1561004654690650939,28793.0,6234608.0
1561004654740726947,28779.0,6235632.0
1561004654790819883,28795.0,6235120.0
1561004654840745925,28790.0,6236144.0
1561004654890711069,28784.0,6236144.0
1561004654940957069,28784.0,6236656.0
1561004654990914106,28788.0,6235632.0
1561004655017436981,28791.0,6235632.0
1561004655067583084,28785.0,6235632.0
1561004655117446899,28790.0,6236144.0
1561004655167354106,28788.0,6235120.0
1561004655217652082,28806.0,6235120.0
1561004655267467975,28799.0,6235632.0
1561004655317528963,28787.0,6235120.0
1561004655367624998,28788.0,6236144.0
1561004655417162895,28778.0,6235632.0
1561004655443829059,28787.0,6235120.0
1561004655493876934,28795.0,6236656.0
1561004655543755054,28785.0,6235632.0
1561004655617245912,28796.0,6235632.0
1561004655643902063,28792.0,6236144.0
1561004655693885087,28782.0,6235120.0
1561004655744230985,28780.0,6235632.0
1561004655793834924,28782.0,6236144.0
1561004655843761920,28780.0,6236144.0
1561004655893876075,28785.0,6235632.0
1561004655920492887,28780.0,6235632.0
1561004655994133949,28785.0,6236159.0
1561004656044301986,28771.0,6235120.0
1561004656093745946,28786.0,6235632.0
1561004656120493888,28789.0,6236144.0
1561004656170502901,28794.0,6236144.0
1561004656220554113,28788.0,6236144.0
1561004656240686893,28782.0,6235632.0
1561004656267227888,28782.0,6235632.0
1561004656317430973,28784.0,6234608.0
1561004656367284059,28791.0,6235632.0
1561004656417618036,28795.0,6235120.0
1561004656467226982,28804.0,6236144.0
1561004656517478942,28798.0,6235632.0
1561004656567478895,28785.0,6236144.0
1561004656617258071,28774.0,6234608.0
1561004656643805027,28789.0,6235632.0
1561004656693897962,28774.0,6235120.0
1561004656744112968,28790.0,6236144.0
1561004656794146060,28796.0,6235120.0
1561004656844023942,28790.0,6236144.0
1561004656893743038,28798.0,6236144.0
1561004656944093942,28799.0,6234096.0
1561004656993782997,28797.0,6235120.0
1561004657043983936,28784.0,6236144.0
1561004657070432901,28797.0,6235120.0
1561004657120460987,28784.0,6235632.0
1561004657170475006,28775.0,6236656.0
1561004657220590114,28791.0,6236656.0
1561004657270498037,28783.0,6236656.0
1561004657320444107,28786.0,6235120.0
1561004657370510101,28787.0,6235632.0
1561004657420583963,28783.0,6235120.0
1561004657470396041,28791.0,6235120.0
1561004657520457029,28786.0,6235120.0
1561004657570470094,28773.0,6235120.0
1561004657620425939,28789.0,6235632.0
1561004657647160053,28789.0,6235632.0
1561004657720518112,28789.0,6236656.0
1561004657747208118,28790.0,6236144.0
1561004657797118902,28781.0,6235120.0
1561004657847234964,28792.0,6236656.0
1561004657897166013,28799.0,6236144.0
1561004657947103977,28790.0,6236144.0
1561004657997170925,28802.0,6235632.0
1561004658047328948,28784.0,6235632.0
1561004658073817014,28775.0,6236144.0
1561004658147152900,28782.0,6235632.0
1561004658197279930,28794.0,6236656.0
1561004658223845005,28790.0,6235120.0
1561004658273823022,28772.0,6236144.0
1561004658323842048,28785.0,6236144.0
1561004658373914003,28781.0,6236144.0
1561004658423813104,28800.0,6236656.0
1561004658473859071,28795.0,6235632.0
1561004658523833990,28794.0,6235632.0
1561004658573801040,28792.0,6236144.0
1561004658623826026,28791.0,6236144.0
1561004658673753023,28794.0,6235632.0
1561004658723917007,28788.0,6235632.0
1561004658750519037,28790.0,6235632.0
1561004658823827981,28784.0,6235632.0
1561004658873861074,28783.0,6236656.0
1561004658923835992,28791.0,6235120.0
1561004658950699090,28791.0,6235632.0
1561004659000833034,28800.0,6235632.0
1561004659050436973,28784.0,6235632.0
1561004659100557088,28796.0,6236656.0
1561004659150669097,28782.0,6235632.0
1561004659200628042,28785.0,6235632.0
1561004659250593900,28786.0,6236144.0
1561004659300576925,28778.0,6235120.0
1561004659350883007,28788.0,6235120.0
1561004659400906085,28777.0,6235120.0
1561004659451026916,28783.0,6235632.0
1561004659500528097,28791.0,6236144.0
1561004659527173995,28790.0,6236144.0
1561004659577192068,28795.0,6235120.0
1561004659627233028,28782.0,6235120.0
1561004659677248001,28783.0,6234608.0
1561004659750861883,28777.0,6235120.0
1561004659777487993,28791.0,6235632.0
1561004659827440977,28776.0,6235632.0
1561004659877247095,28773.0,6235120.0
1561004659950517892,28787.0,6236144.0
1561004660000536918,28784.0,6235632.0
1561004660050489902,28780.0,6235120.0
1561004660100816965,28789.0,6236144.0
1561004660151396036,28789.0,6236656.0
1561004660200932025,28782.0,6235632.0
1561004660250489950,28779.0,6236144.0
1561004660277419090,28793.0,6235120.0
1561004660350915908,28788.0,6236144.0
1561004660377474069,28788.0,6235632.0
1561004660427716016,28799.0,6235120.0
1561004660477354049,28796.0,6236144.0
1561004660527745008,28784.0,6235632.0
1561004660577733993,28775.0,6237168.0
1561004660627804040,28780.0,6235632.0
1561004660677750110,28765.0,6237168.0
1561004660727689027,28791.0,6235632.0
1561004660777731895,28783.0,6236656.0
1561004660803734064,28792.0,6235120.0
1561004660877279043,28784.0,6236144.0
1561004660927326917,28790.0,6236144.0
1561004660977611064,28781.0,6234096.0
1561004661027498006,28776.0,6237168.0
1561004661054195880,28776.0,6236144.0
1561004661127640962,28778.0,6235120.0
1561004661177575111,28780.0,6236144.0
1561004661227468013,28779.0,6235632.0
