Loop Time (ms)	IR (16 bit)	Force (N)
260	9669	1529.99
53	9671	1529.99
81	9675	1529.99
63	9672	1530.12
65	9675	1529.99
63	9673	1530.12
64	9673	1530.12
64	9675	1530.25
64	9676	1529.99
65	9679	1530.12
63	9679	1529.99
65	9682	1530.12
63	9685	1529.99
64	9684	1530.12
80	9682	1530.12
65	9681	1529.99
63	9688	1530.12
64	9689	1529.99
64	9689	1530.12
64	9691	1529.99
64	9690	1529.99
65	9692	1530.12
63	9692	1529.99
64	9694	1530.12
64	9692	1530.12
64	9693	1530.12
80	9694	1529.99
64	9694	1530.12
64	9697	1530.12
64	9697	1530.12
64	9701	1530.25
64	9705	1530.12
63	9705	1529.99
66	9702	1530.12
63	9704	1530.12
64	9708	1530.12
64	9708	1530.12
64	9706	1530.12
80	9709	1530.12
63	9709	1530.12
65	9713	1530.12
63	9712	1530.12
64	9715	1530.12
65	9714	1530.12
63	9711	1530.12
64	9716	1530.12
64	9717	1530.12
64	9720	1530.12
64	9714	1530.12
64	9722	1530.12
80	9719	1530.25
64	9718	1530.12
64	9720	1530.12
64	9726	1530.25
64	9723	1530.25
64	9721	1530.38
64	9725	1530.25
63	9723	1530.25
65	9728	1530.25
63	9727	1530.12
64	9733	1530.12
65	9733	1530.25
63	9730	1530.25
81	9730	1530.25
63	9734	1530.25
64	9736	1530.25
64	9737	1530.25
65	9740	1530.25
63	9734	1530.12
65	9736	1530.25
64	9737	1530.12
64	9743	1530.25
64	9738	1530.12
63	9739	1530.12
64	9741	1530.25
80	9742	1530.25
64	9743	1530.25
64	9738	1530.25
64	9741	1530.25
64	9750	1530.38
63	9746	1530.25
64	9747	1530.25
65	9752	1530.25
63	9748	1530.25
65	9747	1530.25
64	9748	1530.25
64	9752	1530.25
80	9750	1530.25
64	9748	1530.38
64	9754	1530.25
64	9752	1530.25
63	9752	1530.38
64	9756	1530.38
64	9757	1530.25
64	9752	1530.38
65	9755	1530.25
64	9759	1530.25
64	9757	1530.25
63	9757	1530.25
80	9761	1530.25
64	9759	1530.25
64	9759	1530.25
64	9763	1530.38
64	9760	1530.25
64	9766	1530.25
64	9761	1530.25
65	9758	1530.25
63	9762	1530.25
64	9764	1530.38
65	9762	1530.25
63	9765	1530.25
80	9767	1530.25
64	9768	1530.38
64	9770	1530.38
64	9769	1530.25
63	9770	1530.38
65	9773	1530.25
64	9769	1530.38
63	9771	1530.38
64	9773	1530.38
65	9768	1530.25
64	9780	1530.25
63	9775	1530.38
80	9776	1530.38
65	9774	1530.38
64	9782	1530.25
63	9775	1530.25
66	9781	1530.25
63	9779	1530.25
64	9781	1530.38
63	9781	1530.38
64	9779	1530.38
64	9781	1530.38
64	9783	1530.38
65	9782	1530.51
79	9779	1530.25
65	9788	1530.51
63	9783	1530.38
64	9782	1530.38
64	9780	1530.38
64	9787	1530.38
64	9788	1530.51
64	9786	1530.38
64	9794	1530.38
64	9786	1530.38
64	9792	1530.38
64	9788	1530.38
80	9794	1530.38
65	9795	1530.25
62	9787	1530.38
64	9792	1530.38
65	9795	1530.38
64	9795	1530.38
63	9796	1530.38
64	9794	1530.38
67	9796	1530.38
61	9800	1530.38
65	9794	1530.38
64	9799	1530.38
80	9807	1530.25
63	9815	1530.38
82	9830	1530.51
60	9845	1530.38
50	9858	1530.38
64	9871	1530.38
64	9880	1530.38
64	9898	1530.51
64	9917	1530.38
63	9930	1530.25
65	9946	1530.38
64	9955	1530.38
80	9978	1530.38
64	9995	1530.38
64	10011	1530.51
64	10031	1530.38
64	10044	1530.38
64	10065	1530.38
64	10084	1530.38
64	10106	1530.38
64	10121	1530.38
64	10143	1530.51
64	10165	1530.51
63	10187	1530.51
80	10208	1530.51
64	10234	1530.51
65	10253	1530.38
64	10277	1530.51
64	10304	1530.38
64	10327	1530.38
64	10355	1530.38
63	10384	1530.38
65	10413	1530.51
64	10439	1530.38
64	10472	1530.38
63	10507	1530.51
81	10534	1530.38
63	10567	1530.51
64	10605	1530.51
65	10635	1530.51
63	10676	1530.51
64	10704	1530.38
64	10749	1530.51
64	10791	1530.51
64	10823	1530.38
64	10874	1530.38
64	10911	1530.51
64	10962	1530.76
80	10995	1531.02
64	11036	1531.4
64	11088	1531.78
64	11140	1532.3
64	11195	1532.81
