Loop Time (ms)	IR (16 bit)	Force (N)
258	10376	1532.3
71	10374	1532.42
64	10377	1532.3
64	10378	1532.3
64	10373	1532.42
64	10373	1532.3
64	10372	1532.3
64	10379	1532.3
64	10379	1532.3
64	10374	1532.42
80	10377	1532.42
64	10374	1532.42
64	10375	1532.3
64	10375	1532.42
63	10379	1532.3
64	10380	1532.42
64	10378	1532.42
64	10379	1532.3
65	10373	1532.3
63	10377	1532.3
64	10375	1532.3
64	10379	1532.3
80	10376	1532.3
64	10381	1532.42
64	10379	1532.42
64	10381	1532.42
64	10379	1532.42
64	10378	1532.42
64	10380	1532.42
64	10383	1532.42
64	10382	1532.3
64	10381	1532.3
64	10389	1532.3
63	10406	1532.3
80	10426	1532.42
65	10438	1532.3
64	10450	1532.42
64	10469	1532.3
64	10481	1532.3
64	10498	1532.3
63	10515	1532.3
64	10532	1532.3
64	10545	1532.42
64	10567	1532.42
64	10582	1532.42
64	10607	1532.42
80	10618	1532.42
64	10640	1532.42
65	10661	1532.42
64	10682	1532.42
63	10702	1532.3
64	10728	1532.42
64	10746	1532.3
64	10773	1532.3
65	10796	1532.3
62	10822	1532.42
64	10851	1532.42
65	10872	1532.55
80	10901	1532.42
64	10933	1532.42
63	10960	1532.42
65	10985	1532.42
64	11013	1532.3
64	11046	1532.42
64	11083	1532.3
64	11113	1532.3
64	11155	1532.3
63	11186	1532.42
65	11224	1532.42
63	11260	1532.42
81	11300	1532.42
64	11338	1532.3
63	11380	1532.42
64	11424	1532.3
64	11467	1532.3
64	11512	1532.42
65	11554	1532.3
63	11605	1532.42
64	11656	1532.42
65	11697	1532.42
63	11747	1532.81
64	11795	1533.19
80	11849	1533.57
64	11903	1534.08
64	11965	1534.72
64	12028	1535.36
64	12113	1536.26
64	12191	1537.15
64	12284	1538.17
64	12386	1539.45
63	12493	1540.73
65	12602	1542.14
64	12699	1543.54
64	12779	1545.2
79	12801	1545.84
64	12792	1544.31
65	12689	1542.78
63	12541	1541.24
64	12417	1539.96
64	12314	1538.69
65	12224	1537.66
63	12141	1536.77
65	12063	1535.75
63	11990	1534.98
64	11932	1534.34
64	11875	1533.83
65	11825	1533.45
79	11774	1533.06
64	11740	1532.93
64	11690	1532.68
65	11639	1532.81
63	11590	1532.68
65	11543	1532.68
63	11497	1532.68
64	11450	1532.68
65	11416	1532.55
63	11374	1532.81
64	11332	1532.68
63	11295	1532.68
80	11253	1532.68
65	11219	1532.68
63	11185	1532.68
65	11146	1532.68
64	11118	1532.68
64	11087	1532.68
63	11049	1532.55
64	11017	1532.68
65	10987	1532.55
64	10960	1532.68
64	10934	1532.68
63	10909	1532.68
81	10882	1532.55
63	10857	1532.68
65	10832	1532.68
64	10804	1532.55
63	10786	1532.68
65	10760	1532.68
64	10738	1532.68
64	10713	1532.68
63	10700	1532.68
64	10678	1532.68
64	10659	1532.68
64	10638	1532.68
80	10618	1532.68
64	10606	1532.55
64	10588	1532.68
64	10568	1532.68
64	10554	1532.68
64	10540	1532.68
64	10521	1532.68
64	10504	1532.68
64	10494	1532.68
64	10475	1532.55
64	10463	1532.68
63	10451	1532.68
80	10437	1532.68
65	10421	1532.68
64	10407	1532.81
64	10407	1532.68
64	10416	1532.68
63	10418	1532.68
64	10417	1532.55
65	10416	1532.68
64	10415	1532.68
64	10418	1532.68
64	10415	1532.68
64	10417	1532.81
80	10418	1532.68
63	10419	1532.68
64	10421	1532.68
65	10420	1532.68
63	10416	1532.81
64	10420	1532.68
64	10423	1532.68
64	10421	1532.81
64	10422	1532.68
63	10420	1532.68
65	10421	1532.55
64	10420	1532.68
80	10423	1532.55
64	10421	1532.68
64	10420	1532.68
64	10424	1532.68
64	10424	1532.55
64	10423	1532.81
64	10423	1532.68
64	10422	1532.68
63	10424	1532.68
65	10422	1532.68
63	10424	1532.81
64	10424	1532.68
80	10425	1532.68
65	10425	1532.81
63	10422	1532.68
64	10425	1532.68
64	10425	1532.68
