Loop Time (ms)	IR (16 bit)	Force (N)
20	10171	1529.74
44	10171	1529.61
64	10167	1529.74
64	10170	1529.74
64	10169	1529.74
64	10176	1529.74
64	10169	1529.87
64	10173	1529.74
64	10172	1529.74
64	10173	1529.74
64	10171	1529.74
64	10177	1529.74
80	10172	1529.74
64	10173	1529.74
64	10178	1529.87
64	10179	1529.74
63	10172	1529.74
64	10176	1529.87
64	10174	1529.74
65	10180	1529.74
63	10175	1529.74
65	10178	1529.74
64	10177	1529.74
64	10176	1529.74
80	10176	1529.74
63	10182	1529.74
64	10176	1529.74
64	10179	1529.87
64	10181	1529.74
64	10180	1529.74
64	10180	1529.74
64	10181	1529.74
64	10185	1529.74
65	10181	1529.87
63	10189	1529.87
64	10185	1529.87
79	10185	1529.74
65	10185	1529.87
64	10185	1529.74
64	10191	1529.74
64	10185	1529.61
64	10184	1529.74
64	10185	1529.74
64	10187	1529.74
63	10186	1529.87
65	10190	1529.74
63	10185	1529.87
65	10187	1529.87
80	10189	1529.74
63	10192	1529.74
64	10190	1529.74
64	10189	1529.74
65	10192	1529.74
64	10190	1529.87
63	10188	1529.87
65	10190	1529.87
65	10190	1529.74
62	10194	1529.87
65	10193	1529.74
64	10195	1529.87
79	10190	1529.74
64	10193	1529.61
64	10194	1529.74
64	10197	1529.74
64	10199	1529.74
64	10196	1529.74
64	10194	1529.87
63	10194	1529.87
65	10194	1529.87
64	10192	1529.87
64	10197	1529.74
64	10192	1529.87
80	10196	1529.74
64	10196	1529.87
63	10198	1529.87
65	10192	1529.87
63	10197	1529.87
65	10198	1529.87
64	10193	1529.74
63	10196	1529.87
64	10195	1529.74
65	10198	1529.87
64	10199	1529.87
64	10201	1529.87
80	10199	1529.87
63	10199	1529.87
64	10202	1529.87
65	10199	1529.87
63	10198	1529.74
64	10198	1529.74
65	10202	1529.87
63	10201	1529.87
64	10202	1529.87
65	10199	1529.87
63	10203	1529.99
64	10201	1529.87
80	10204	1529.87
63	10203	1529.87
66	10207	1529.87
63	10207	1529.74
63	10206	1529.87
64	10207	1529.87
66	10205	1529.87
63	10205	1529.87
63	10207	1529.87
65	10209	1529.87
64	10208	1529.87
63	10206	1529.87
82	10210	1529.87
63	10208	1529.87
64	10213	1529.87
64	10209	1529.87
91	10209	1529.74
36	10206	1529.99
64	10209	1529.87
64	10212	1529.99
64	10210	1529.99
64	10207	1529.87
64	10211	1529.87
64	10210	1529.87
80	10211	1529.87
64	10212	1529.99
64	10209	1529.87
64	10212	1530.12
64	10212	1529.74
64	10212	1529.87
64	10212	1529.87
63	10210	1529.99
65	10213	1529.87
64	10210	1529.87
64	10215	1529.87
63	10214	1529.87
81	10216	1529.99
63	10215	1529.99
65	10216	1529.99
63	10215	1529.87
65	10218	1529.87
64	10217	1529.99
63	10214	1529.87
64	10216	1529.99
64	10217	1529.99
65	10215	1529.87
64	10213	1529.87
64	10217	1529.99
79	10221	1529.87
64	10215	1529.99
64	10218	1529.87
64	10218	1529.87
64	10219	1530.12
64	10222	1529.99
64	10216	1529.99
64	10219	1529.99
64	10217	1529.87
64	10220	1529.99
64	10220	1529.99
63	10217	1529.99
81	10221	1529.87
63	10217	1529.87
65	10223	1529.99
63	10220	1529.87
65	10220	1529.87
64	10222	1529.99
64	10223	1529.99
92	10223	1529.99
36	10223	1529.99
63	10224	1529.99
64	10221	1529.99
65	10225	1529.87
79	10220	1529.99
65	10219	1529.99
64	10223	1529.99
63	10223	1529.99
64	10225	1529.87
64	10224	1529.99
64	10229	1529.99
64	10227	1529.99
64	10227	1529.99
64	10224	1529.99
64	10228	1529.99
64	10227	1529.99
80	10227	1529.99
64	10226	1529.99
63	10227	1529.99
64	10225	1529.99
64	10229	1530.12
65	10228	1530.12
64	10227	1529.99
65	10227	1529.99
63	10231	1529.99
63	10224	1529.99
65	10232	1530.12
64	10228	1529.99
79	10229	1529.99
65	10227	1529.99
63	10231	1529.87
64	10232	1529.99
65	10234	1529.99
64	10235	1529.99
64	10230	1529.99
63	10233	1529.99
64	10231	1530.12
64	10231	1529.99
64	10234	1529.99
65	10231	1529.99
63	10232	1529.99
80	10238	1529.87
64	10236	1529.99
64	10232	1529.99
64	10235	1530.12
64	10236	1529.99
64	10235	1530.12
64	10238	1530.12
64	10236	1529.99
64	10235	1529.87
63	10236	1529.99
65	10234	1530.12
64	10237	1529.99
80	10238	1529.99
63	10237	1530.12
65	10237	1530.12
63	10234	1530.12
65	10236	1529.99
63	10234	1529.99
65	10234	1529.99
63	10236	1529.99
64	10237	1529.99
65	10238	1529.99
63	10243	1530.12
64	10241	1529.99
80	10238	1529.99
64	10239	1529.99
65	10240	1529.99
63	10239	1529.99
64	10239	1529.99
64	10241	1530.12
64	10240	1530.12
64	10237	1529.99
63	10239	1529.87
65	10240	1530.12
64	10240	1529.99
64	10239	1529.99
80	10238	1529.99
64	10242	1530.12
63	10243	1530.12
64	10245	1529.99
64	10243	1529.99
65	10246	1529.99
64	10242	1530.12
64	10246	1529.99
64	10244	1529.99
63	10240	1530.12
64	10243	1529.99
65	10244	1530.12
80	10246	1530.12
64	10246	1530.25
64	10241	1530.12
63	10247	1530.12
64	10246	1530.12
64	10243	1530.12
64	10245	1529.99
65	10250	1530.25
63	10249	1530.12
64	10242	1530.12
64	10244	1529.99
64	10246	1530.12
80	10245	1530.12
64	10246	1530.12
63	10246	1530.25
65	10248	1529.99
64	10247	1530.12
64	10248	1529.99
64	10247	1530.12
63	10250	1530.12
65	10249	1530.12
63	10251	1530.25
64	10248	1530.25
64	10249	1530.12
81	10253	1530.12
64	10245	1529.99
63	10250	1530.12
65	10248	1530.12
63	10250	1530.12
64	10252	1530.12
65	10252	1530.12
64	10249	1530.25
64	10248	1530.12
63	10250	1530.25
64	10249	1529.99
64	10252	1529.99
80	10252	1530.25
64	10252	1530.12
64	10254	1530.12
64	10246	1530.12
64	10255	1530.12
64	10249	1529.99
63	10251	1530.12
65	10253	1530.12
63	10249	1530.12
64	10258	1529.99
65	10256	1530.12
64	10253	1529.99
80	10258	1530.12
64	10255	1530.12
63	10255	1530.12
65	10252	1530.12
63	10253	1529.99
65	10258	1530.12
63	10254	1530.12
64	10260	1529.99
64	10256	1530.12
65	10254	1530.25
64	10260	1530.25
63	10256	1530.12
80	10261	1530.12
64	10263	1530.25
64	10257	1530.12
65	10259	1530.25
63	10258	1530.12
64	10258	1530.12
64	10262	1530.25
64	10259	1530.38
64	10259	1530.12
64	10261	1530.12
64	10259	1529.99
63	10260	1530.12
81	10261	1530.12
63	10263	1530.25
64	10259	1530.12
65	10262	1529.99
63	10260	1530.25
65	10266	1530.12
63	10261	1529.99
64	10260	1529.99
64	10261	1530.12
65	10264	1530.12
63	10265	1530.25
64	10262	1530.12
80	10263	1530.12
65	10263	1530.12
63	10263	1530.25
64	10265	1530.12
64	10259	1530.12
64	10264	1530.12
64	10266	1530.25
64	10262	1530.25
64	10262	1530.25
64	10264	1530.25
64	10263	1530.12
64	10262	1530.12
81	10264	1530.12
63	10262	1530.25
64	10262	1530.12
63	10263	1530.25
65	10266	1530.25
63	10265	1530.25
65	10261	1530.25
63	10269	1530.12
65	10266	1530.12
63	10265	1530.25
65	10265	1530.25
63	10269	1530.12
81	10267	1530.12
63	10271	1530.12
65	10271	1530.12
63	10270	1530.25
64	10278	1530.12
65	10279	1530.12
64	10284	1530.25
64	10288	1530.25
64	10295	1530.25
64	10297	1530.12
63	10303	1530.25
64	10305	1530.38
80	10309	1530.25
64	10317	1530.25
64	10321	1530.12
64	10320	1530.25
64	10330	1530.25
64	10334	1530.25
64	10338	1530.12
64	10345	1530.25
64	10352	1530.25
64	10357	1530.25
64	10361	1530.25
64	10365	1530.25
80	10375	1530.25
64	10383	1530.25
64	10385	1530.25
64	10397	1530.25
64	10403	1530.25
64	10406	1530.25
64	10414	1530.25
63	10422	1530.12
64	10428	1530.12
65	10440	1530.25
63	10447	1530.25
65	10450	1530.25
80	10459	1530.25
64	10467	1530.12
63	10477	1530.25
65	10487	1530.38
63	10491	1530.25
64	10500	1530.12
64	10508	1530.25
64	10519	1530.25
64	10531	1530.25
64	10539	1530.25
63	10551	1530.25
65	10561	1530.25
80	10573	1530.25
64	10582	1530.25
64	10594	1530.25
63	10603	1530.25
65	10619	1530.25
64	10630	1530.12
63	10641	1530.38
65	10654	1530.25
63	10666	1530.25
65	10682	1530.25
64	10698	1530.25
64	10713	1530.25
64	10721	1530.25
80	10737	1530.38
64	10755	1530.25
63	10776	1530.25
64	10790	1530.51
64	10807	1530.76
64	10812	1531.14
64	10821	1531.53
64	10844	1531.78
64	10859	1532.42
64	10865	1532.81
64	10878	1533.57
64	10899	1534.34
80	10913	1535.36
64	10934	1536.39
64	10951	1537.41
64	10971	1538.56
64	10996	1539.58
64	11011	1540.86
64	11004	1542.14
64	10706	1543.54
64	10288	1544.69
63	10061	1546.35
65	9937	1548.02
63	9816	1549.93
81	9694	1552.23
63	9570	1554.53
65	9407	1557.09
64	8395	1559.77
64	6994	1561.31
63	7147	1538.17
65	7350	1523.6
63	7560	1523.6
64	7607	1524.12
65	7647	1525.14
63	7657	1526.67
65	7664	1528.33
80	7662	1529.74
63	7661	1531.14
64	7654	1531.4
65	7655	1529.23
